NLC,mode_label,has_lu,is_lu_only,is_tram_only,is_dlr_only,is_lo_only,is_ezl_only
6814,LO,False,False,False,False,True,False
682,LU,True,True,False,False,False,False
683,LU,True,True,False,False,False,False
684,LU,True,True,False,False,False,False
685,LU,True,True,False,False,False,False
686,"LO,LU",True,False,False,False,False,False
6867,LO,False,False,False,False,True,False
687,LU,True,True,False,False,False,False
6872,EZL,False,False,False,False,False,True
6874,EZL,False,False,False,False,False,True
6876,EZL,False,False,False,False,False,True
6877,EZL,False,False,False,False,False,True
6878,EZL,False,False,False,False,False,True
6879,EZL,False,False,False,False,False,True
688,LU,True,True,False,False,False,False
6881,EZL,False,False,False,False,False,True
6883,EZL,False,False,False,False,False,True
6886,"EZL,LO",False,False,False,False,False,False
6888,EZL,False,False,False,False,False,True
6893,EZL,False,False,False,False,False,True
690,LU,True,True,False,False,False,False
691,LU,True,True,False,False,False,False
6913,LO,False,False,False,False,True,False
6914,LO,False,False,False,False,True,False
6919,LO,False,False,False,False,True,False
692,LU,True,True,False,False,False,False
6926,LO,False,False,False,False,True,False
693,LU,True,True,False,False,False,False
6934,LO,False,False,False,False,True,False
694,LU,True,True,False,False,False,False
6941,LO,False,False,False,False,True,False
6947,LO,False,False,False,False,True,False
6949,LO,False,False,False,False,True,False
695,LU,True,True,False,False,False,False
6952,LO,False,False,False,False,True,False
6954,LO,False,False,False,False,True,False
6956,LO,False,False,False,False,True,False
6958,LO,False,False,False,False,True,False
6959,LO,False,False,False,False,True,False
696,LU,True,True,False,False,False,False
6961,LO,False,False,False,False,True,False
6962,LO,False,False,False,False,True,False
6965,"EZL,LO",False,False,False,False,False,False
6966,LO,False,False,False,False,True,False
6967,LO,False,False,False,False,True,False
6968,LO,False,False,False,False,True,False
697,LU,True,True,False,False,False,False
6970,EZL,False,False,False,False,False,True
6972,LO,False,False,False,False,True,False
6973,LO,False,False,False,False,True,False
6977,LO,False,False,False,False,True,False
6978,LO,False,False,False,False,True,False
6979,LO,False,False,False,False,True,False
698,"LO,LU",True,False,False,False,False,False
700,LU,True,True,False,False,False,False
702,LU,True,True,False,False,False,False
703,LU,True,True,False,False,False,False
704,LU,True,True,False,False,False,False
705,LU,True,True,False,False,False,False
706,LU,True,True,False,False,False,False
707,LU,True,True,False,False,False,False
708,LU,True,True,False,False,False,False
709,"LO,LU",True,False,False,False,False,False
7090,EZL,False,False,False,False,False,True
7091,EZL,False,False,False,False,False,True
710,LU,True,True,False,False,False,False
711,LU,True,True,False,False,False,False
