lsoa21cd,cluster,total_activity,log_total_activity,direction_balance,post_midnight_share,deep_night_share,post_midnight_persistence,weekend_ratio,lnc_grp,imd_score,imd_decile,income_score,employment_score,population_2022,n_source_lsoa11,imd_decile_int,cluster_type,cluster_display
E01003337,1,1102.15307,7.005927785690272,-0.4390762800306857,0.1389303574684049,0.0733465180113321,0.2511920640625024,0.8201082486946457,4,42.165,2,0.538,0.257,1378,1,2,High activity / full-night,C1: High activity / full-night
E01003339,1,1161.37044,7.058216681788193,-0.2419236535760286,0.1322648008847203,0.0688626963847986,0.2219897703883198,0.8291856284160248,5,25.889,4,0.314,0.152,1678,1,4,High activity / full-night,C1: High activity / full-night
E01003340,1,15839.19533,9.67030599673178,-0.094615154291427,0.1986425468243783,0.1168487534524268,0.3893603975384509,0.8446979482040284,2,15.647,6,0.152,0.072,2028,1,6,High activity / full-night,C1: High activity / full-night
E01003342,1,972.01345,6.880397905317597,-0.3441052899010811,0.1081550054682885,0.0576593976143025,0.1790554271532762,0.8876907452330127,4,18.61,5,0.19,0.096,1655,1,5,High activity / full-night,C1: High activity / full-night
E01003344,2,300.5442,5.708916605754137,-0.4473776569303283,0.0828837821525086,0.0391421295104014,0.1312258451421408,0.7724018813367831,4,20.635,5,0.227,0.128,1575,1,5,Partial-night transition,C2: Partial-night transition
E01003346,2,399.11578,5.991753955225413,-0.3627558399219394,0.1309296765966006,0.0861661746373445,0.2094847553188986,0.6209752093115849,5,37.096,2,0.391,0.222,1645,1,2,Partial-night transition,C2: Partial-night transition
E01003347,0,518.24738,6.252380417004445,-0.3668860226558211,0.0688773380774254,0.0438356292317387,0.1057027046691217,0.8264645202156775,6,54.7,1,0.616,0.324,1655,1,1,Low activity / early-stop,C0: Low activity / early-stop
E01003348,3,600.28756,6.3990732893232805,-0.3205491714670882,0.1172986493339958,0.075070387932077,0.2029095697129581,0.88795716540857,5,28.433,3,0.394,0.158,1860,1,3,Medium activity / continuing,C3: Medium activity / continuing
E01003350,0,190.61056,5.255464978840541,-0.4362715266142652,0.1110770568010502,0.062888435981721,0.181008382527069,0.7300245655724227,5,34.734,2,0.398,0.214,1320,1,2,Low activity / early-stop,C0: Low activity / early-stop
E01003351,2,620.074,6.431450237475077,-0.3401778497405148,0.1098667739656879,0.0687968532788022,0.1724222342543532,0.7188207335348027,4,39.095,2,0.479,0.225,1674,1,2,Partial-night transition,C2: Partial-night transition
E01003352,2,165.22239,5.113326590555983,-0.340965349793088,0.0366515095199869,0.0070379081188693,0.0503264510537834,0.5738452593296838,5,32.142,3,0.385,0.199,2330,1,3,Partial-night transition,C2: Partial-night transition
E01003354,2,265.21077,5.5842883634446245,-0.1130258397877281,0.1513946812944286,0.1189057292054919,0.2498320307915963,0.7483225523186884,5,27.018,3,0.283,0.157,2051,1,3,Partial-night transition,C2: Partial-night transition
E01003355,1,1789.23789,7.490103789445793,-0.0054117845671153,0.1206639995758194,0.073685769084624,0.2042201746848752,0.7614744826925517,4,7.034,9,0.087,0.057,1735,1,9,High activity / full-night,C1: High activity / full-night
E01003356,3,584.69965,6.372807115520008,-0.1103070439669324,0.2168681133980497,0.1800097879312908,0.4155566467143657,0.7005558369470489,4,7.519,9,0.114,0.065,1761,1,9,Medium activity / continuing,C3: Medium activity / continuing
E01003358,1,2096.52674,7.648514186770231,0.2712186633021431,0.0714186836462672,0.0222477725230444,0.1183143159826265,0.8717374933715466,4,5.147,10,0.089,0.039,1814,1,10,High activity / full-night,C1: High activity / full-night
E01003359,1,3485.13236,8.156548194378095,-0.0203230961362971,0.0994323727779452,0.0663400112585681,0.1536084011138264,0.6892621615250417,2,15.13,6,0.227,0.091,1747,1,6,High activity / full-night,C1: High activity / full-night
E01003360,1,3662.54199,8.206185715251271,0.032800909949431,0.1388470060926181,0.0752114353233667,0.2462243116097172,0.8493286101491085,3,7.861,9,0.084,0.042,1825,1,9,High activity / full-night,C1: High activity / full-night
E01003361,2,964.76189,6.872917313145467,-0.3654303239527838,0.0718364818494229,0.0446273432297372,0.1097499494205565,0.7633678516489841,5,8.62,8,0.145,0.079,1665,1,8,Partial-night transition,C2: Partial-night transition
E01003363,2,409.4167,6.01717298503646,-0.4166871551648967,0.0586561808543715,0.0192584718698577,0.090353057925567,0.722690818295009,6,4.282,10,0.079,0.041,1688,1,10,Partial-night transition,C2: Partial-night transition
E01003364,2,528.91526,6.272717106970459,-0.3885337700409703,0.0808977793531614,0.0535104999617519,0.124859785386725,0.6638503503706807,6,3.944,10,0.081,0.053,1850,1,10,Partial-night transition,C2: Partial-night transition
E01003366,2,301.63074,5.7125133824472005,-0.4019697064032664,0.0666474511185431,0.0387375305315366,0.1006067356485069,0.7141344172269726,5,14.137,7,0.189,0.122,1834,1,7,Partial-night transition,C2: Partial-night transition
E01003370,1,799.19783,6.684858984597413,-0.3546916412423192,0.1558169270804952,0.0915012744716786,0.2631046075576785,0.7737623059367972,2,14.23,6,0.196,0.078,1939,1,6,High activity / full-night,C1: High activity / full-night
E01003374,1,3700.98941,8.216625632513468,-0.2052057830665341,0.1221561236512697,0.0813354583470694,0.1889250573674214,0.750348917941707,6,29.996,3,0.385,0.202,1918,1,3,High activity / full-night,C1: High activity / full-night
E01003375,3,1729.71251,7.456288458193961,-0.0258810812439576,0.0773464198394448,0.0529316285051323,0.1143371949254197,0.7227383939128893,5,22.858,4,0.313,0.152,1818,1,4,Medium activity / continuing,C3: Medium activity / continuing
E01003376,0,233.48629,5.4573971213584365,-0.298196309513505,0.0586833599523124,0.046508854973883,0.0881219703522451,0.6071116875278987,4,26.354,4,0.378,0.166,1547,1,4,Low activity / early-stop,C0: Low activity / early-stop
E01003377,0,910.88778,6.815516934257661,-0.4011806811152961,0.0742214480031777,0.0557269195114243,0.1166122124899068,0.7256088985808687,6,35.983,2,0.461,0.227,1541,1,2,Low activity / early-stop,C0: Low activity / early-stop
E01003378,0,511.71212,6.23971451806554,-0.4078244619259751,0.0759980240452385,0.0589706767156502,0.1231324263668494,0.7652070227241325,4,20.069,5,0.304,0.144,2228,1,5,Low activity / early-stop,C0: Low activity / early-stop
E01003379,0,133.21158,4.8994175099356045,-0.276439931123105,0.1131287535212779,0.069338266237815,0.1779751072038887,0.4770928323268147,3,33.776,2,0.405,0.181,1989,1,2,Low activity / early-stop,C0: Low activity / early-stop
E01003380,2,870.77709,6.77053376049593,-0.2206049885855402,0.0717223508946474,0.0440167184462788,0.1045622364259969,0.7294485727248553,4,4.967,10,0.078,0.044,1731,1,10,Partial-night transition,C2: Partial-night transition
E01003382,2,292.11263,5.680556937883642,-0.3596447370317401,0.0528854229959177,0.0344895049556741,0.0746418402000267,0.8443799523831176,6,4.347,10,0.083,0.033,1808,1,10,Partial-night transition,C2: Partial-night transition
E01003383,1,1338.30778,7.199908177380908,0.3411514651734297,0.1234867513061905,0.0557169891069451,0.2111193455588587,0.8366932684026925,1,7.372,9,0.065,0.034,1598,1,9,High activity / full-night,C1: High activity / full-night
E01003384,2,583.0761699999999,6.370031402405416,-0.2200077049967588,0.0425843333641983,0.0288017258534163,0.0594598198272325,0.7169299086929246,2,5.257,10,0.082,0.045,1646,1,10,Partial-night transition,C2: Partial-night transition
E01003386,0,172.12937,5.154039118500289,-0.1599858873590254,0.0512392510354276,0.020154840513272,0.0750402309050605,0.5842219896116375,6,19.219,5,0.334,0.115,2265,1,5,Low activity / early-stop,C0: Low activity / early-stop
E01003387,0,484.02297,6.184196250640737,0.312642001267006,0.0392215683482955,0.0209161147868664,0.0570286941675883,0.6079053904684464,5,23.778,4,0.314,0.155,2074,1,4,Low activity / early-stop,C0: Low activity / early-stop
E01003388,2,161.9223,5.093273400038775,-0.0807763970743992,0.0635489985011329,0.0376634966277035,0.0916235098268662,0.6576555463152874,3,21.936,4,0.318,0.129,1685,1,4,Partial-night transition,C2: Partial-night transition
E01003389,1,7476.63925,8.919672412864974,-0.0776300969717109,0.1463003848955264,0.0957727270310654,0.2503468696245988,0.7734350998722589,3,27.638,3,0.32,0.148,1750,1,3,High activity / full-night,C1: High activity / full-night
E01003390,1,2565.31117,7.85022480438613,-0.3704138979755817,0.094545391933876,0.0468858013821379,0.1502185085958007,0.7430311816936674,3,38.703,2,0.47,0.208,1790,1,2,High activity / full-night,C1: High activity / full-night
E01003392,1,4624.6435,8.439370775403265,-0.2489437985868532,0.1262560043817431,0.0749810834067534,0.2086798610622719,0.813360708777126,5,17.388,6,0.246,0.093,1378,1,6,High activity / full-night,C1: High activity / full-night
E01003393,1,3042.27168,8.0206884262272,-0.4691420064101573,0.0991081342215958,0.0302054121609546,0.1711279447983786,0.7287220084096694,4,18.049,5,0.262,0.094,1641,1,5,High activity / full-night,C1: High activity / full-night
E01003394,0,900.91324,6.804518329183658,-0.3041600099028404,0.0398613522429751,0.0156345021636045,0.0594061017587068,0.8322703522933022,4,18.681,5,0.253,0.12,2077,1,5,Low activity / early-stop,C0: Low activity / early-stop
E01003399,3,451.16534,6.114047909405194,-0.3790393118407543,0.1246155123529657,0.0585753329367012,0.203238332589806,0.7239256677146794,6,7.534,9,0.114,0.051,1382,1,9,Medium activity / continuing,C3: Medium activity / continuing
E01003400,1,2162.55592,7.679508406338075,-0.0058120485504023,0.0747265115807964,0.0385351792429025,0.1110873431629342,0.7926119784261736,2,12.441,7,0.112,0.101,1415,1,7,High activity / full-night,C1: High activity / full-night
E01003401,3,1852.80911,7.524997779659888,0.324792471470523,0.0593396801681313,0.0344867961060489,0.0881471272629215,0.6212332786500805,4,6.674,9,0.1,0.051,1393,1,9,Medium activity / continuing,C3: Medium activity / continuing
E01003402,1,2380.60176,7.775528548700286,0.3961316654659618,0.0764227276720151,0.0408444039796055,0.1166150481278511,0.7667455944120289,4,5.48,9,0.058,0.047,1439,1,9,High activity / full-night,C1: High activity / full-night
