,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
balance_21,0.046524210519923545,0.046524210519923545,0.046524210519923545,0.046524210519923545,0.046524210519923545,0.046524210519923545,0.046524210519923545,0.046524210519923545,0.046524210519923545,0.046524210519923545,0.046524210519923545,0.046524210519923545,0.046524210519923545,0.046524210519923545,0.046524210519923545,0.046524210519923545,0.046524210519923545,0.046524210519923545,0.046524210519923545,0.046524210519923545,0.046524210519923545,-0.9770084209183943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balance_22,0.044455422447438706,0.044455422447438706,0.044455422447438706,0.044455422447438706,0.044455422447438706,0.044455422447438706,0.044455422447438706,0.044455422447438706,0.044455422447438706,0.044455422447438706,0.044455422447438706,0.044455422447438706,0.044455422447438706,0.044455422447438706,0.044455422447438706,0.044455422447438706,0.044455422447438706,0.044455422447438706,0.044455422447438706,0.044455422447438706,0.044455422447438706,0.044455422447438706,-0.9780192938436515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balance_23,0.04256282653793743,0.04256282653793743,0.04256282653793743,0.04256282653793743,0.04256282653793743,0.04256282653793743,0.04256282653793743,0.04256282653793743,0.04256282653793743,0.04256282653793743,0.04256282653793743,0.04256282653793743,0.04256282653793743,0.04256282653793743,0.04256282653793743,0.04256282653793743,0.04256282653793743,0.04256282653793743,0.04256282653793743,0.04256282653793743,0.04256282653793743,0.04256282653793743,0.04256282653793743,-0.9789450103725609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balance_24,0.040824829046386304,0.040824829046386304,0.040824829046386304,0.040824829046386304,0.040824829046386304,0.040824829046386304,0.040824829046386304,0.040824829046386304,0.040824829046386304,0.040824829046386304,0.040824829046386304,0.040824829046386304,0.040824829046386304,0.040824829046386304,0.040824829046386304,0.040824829046386304,0.040824829046386304,0.040824829046386304,0.040824829046386304,0.040824829046386304,0.040824829046386304,0.040824829046386304,0.040824829046386304,0.040824829046386304,-0.9797958971132713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balance_25,0.03922322702763681,0.03922322702763681,0.03922322702763681,0.03922322702763681,0.03922322702763681,0.03922322702763681,0.03922322702763681,0.03922322702763681,0.03922322702763681,0.03922322702763681,0.03922322702763681,0.03922322702763681,0.03922322702763681,0.03922322702763681,0.03922322702763681,0.03922322702763681,0.03922322702763681,0.03922322702763681,0.03922322702763681,0.03922322702763681,0.03922322702763681,0.03922322702763681,0.03922322702763681,0.03922322702763681,0.03922322702763681,-0.9805806756909201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balance_26,0.03774256780481986,0.03774256780481986,0.03774256780481986,0.03774256780481986,0.03774256780481986,0.03774256780481986,0.03774256780481986,0.03774256780481986,0.03774256780481986,0.03774256780481986,0.03774256780481986,0.03774256780481986,0.03774256780481986,0.03774256780481986,0.03774256780481986,0.03774256780481986,0.03774256780481986,0.03774256780481986,0.03774256780481986,0.03774256780481986,0.03774256780481986,0.03774256780481986,0.03774256780481986,0.03774256780481986,0.03774256780481986,0.03774256780481986,-0.9813067629253164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balance_27,0.036369648372665396,0.036369648372665396,0.036369648372665396,0.036369648372665396,0.036369648372665396,0.036369648372665396,0.036369648372665396,0.036369648372665396,0.036369648372665396,0.036369648372665396,0.036369648372665396,0.036369648372665396,0.036369648372665396,0.036369648372665396,0.036369648372665396,0.036369648372665396,0.036369648372665396,0.036369648372665396,0.036369648372665396,0.036369648372665396,0.036369648372665396,0.036369648372665396,0.036369648372665396,0.036369648372665396,0.036369648372665396,0.036369648372665396,0.036369648372665396,-0.9819805060619657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balance_28,0.03509312031717982,0.03509312031717982,0.03509312031717982,0.03509312031717982,0.03509312031717982,0.03509312031717982,0.03509312031717982,0.03509312031717982,0.03509312031717982,0.03509312031717982,0.03509312031717982,0.03509312031717982,0.03509312031717982,0.03509312031717982,0.03509312031717982,0.03509312031717982,0.03509312031717982,0.03509312031717982,0.03509312031717982,0.03509312031717982,0.03509312031717982,0.03509312031717982,0.03509312031717982,0.03509312031717982,0.03509312031717982,0.03509312031717982,0.03509312031717982,0.03509312031717982,-0.9826073688810351,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balance_29,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,0.033903175181040524,-0.9831920802501751,0.0,0.0,0.0,0.0,0.0,0.0
balance_30,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,0.032791291789197645,-0.9837387536759294,0.0,0.0,0.0,0.0,0.0
balance_31,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,0.031750031750047626,-0.9842509842514764,0.0,0.0,0.0,0.0
balance_32,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,0.03077287274483318,-0.9847319278346618,0.0,0.0,0.0
balance_33,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,0.029854071701326607,-0.985184366143778,0.0,0.0
balance_34,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,0.028988551782622423,-0.9856107606091623,0.0
balance_35,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,0.02817180849095055,-0.9860132971832692
