unit,cluster,max_posterior,normalized_entropy
E01004307,1,0.9999999999801048,2.218846674207861e-10
E01004309,2,0.9999993253993014,4.455904607790736e-06
E01004310,6,0.9999979975613809,1.2280425044121879e-05
E01004313,6,0.9999786265178352,0.00010910551695097215
E01004319,5,1.0,4.988349540354554e-34
E01004321,2,0.9999998202844883,1.290899942004249e-06
E01004322,2,1.0,4.971109006747483e-15
E01004326,6,0.9999891920712395,5.8381138951089264e-05
E01004328,3,1.0,2.167704465898984e-14
E01004329,4,0.9993694251179871,0.0022949677280023856
E01004330,4,0.9999965649644644,2.0261324385639584e-05
E01004331,4,0.9999990571428055,6.10375987578559e-06
E01004332,7,0.999999944922253,4.242796230356624e-07
E01004335,6,0.9999978704661253,1.3003453627679025e-05
E01004336,6,0.9999999999987494,1.5780499869821857e-11
E01004337,7,0.9999999404354316,4.5622319172302454e-07
E01004340,0,0.9999996962654228,2.1115021108484507e-06
E01004341,7,0.9811556768950823,0.0406098560431534
E01004342,4,0.9806558363303678,0.0415534445897088
E01004343,0,0.9971502947160753,0.008489515878519002
E01004344,6,0.9999999268189326,5.540105553640068e-07
E01004345,0,0.999447967594524,0.00209952755912498
E01004347,4,1.0,6.537802463961033e-17
E01004348,6,0.5798511801674794,0.4172024251876638
E01004349,0,0.9999999999997726,3.1285250908596944e-12
E01004350,0,0.9803982467810886,0.041903036018698825
E01004352,6,0.9999997834892959,1.5509684457769986e-06
E01004353,0,0.9999908123971579,5.026620448226515e-05
E01004354,6,0.9999999741511377,2.139483965723235e-07
E01004356,4,0.9999990884952188,5.966265248741493e-06
E01004357,4,0.9997027442276808,0.0011774600371541775
E01004358,3,0.9995786443874992,0.0016405929218433312
E01004359,4,0.999998717341752,8.3607583675614e-06
E01004360,4,1.0,2.214301737870908e-14
E01004361,4,0.9999840062960205,8.36587157779435e-05
E01004362,4,0.901703423326652,0.14010528812095938
E01004363,8,1.0,3.465968610492632e-13
E01004364,6,0.9999992689866247,5.017841362950315e-06
E01004365,6,0.9999994278180042,3.820793166494698e-06
E01004366,8,0.9999583171923663,0.000200674727315207
E01004369,7,0.9990106946523217,0.003665771976383672
E01004370,7,0.9951317345985158,0.013478704675852228
E01004371,4,0.9999999481778459,4.0034565312415514e-07
E01004374,0,0.9998996048616035,0.00044690220592755013
E01004376,0,0.9823066276066599,0.04300964895274627
E01004377,0,0.9906293912185175,0.02312342882717709
E01004378,9,0.977708901045627,0.04938330348525959
E01004379,0,0.9999999928637067,6.135758957323606e-08
E01004381,6,0.999998231303807,1.1015545814206246e-05
E01004383,8,1.0,5.339713265721104e-16
E01004384,0,0.9999999569596421,3.3573315968692194e-07
E01004385,0,0.9999999992889457,6.81402269836889e-09
E01004386,0,0.9999999999038778,1.0051448288917925e-09
E01004387,0,0.9999999959557044,3.570090536623059e-08
E01004389,0,0.9999995586646669,2.996457532954011e-06
E01004390,9,0.9998599958699225,0.0006003549627692646
E01004391,6,1.0,1.1314943642433903e-17
E01004392,0,0.9999894948748376,5.729069585416646e-05
E01004393,7,0.9999679341624127,0.00015802867011007873
E01004394,7,0.9932282322728813,0.01895411879190954
E01004395,0,1.0,1.96681398456916e-14
E01004396,3,0.9995640901109871,0.0016542124231629372
E01004397,6,1.0,3.020922134306547e-14
E01004398,7,0.9994026575849612,0.0023064756914167018
E01004399,8,1.0,4.198230055205846e-46
E01004400,4,0.9962374398613917,0.011860754165845819
E01004401,7,0.8293567286724025,0.22278671260934987
E01004403,6,0.8966407381474768,0.14986240286422117
E01004404,0,0.999999979624022,1.6555857023790118e-07
E01004405,4,0.8026147677213501,0.21919878768798334
E01004406,6,0.9999999927907766,6.206347516697664e-08
E01004407,7,0.9999928227205214,4.215354992659257e-05
E01004408,6,0.9999986814527968,8.325569368628483e-06
E01004409,6,0.9999999999885745,1.2988809374892827e-10
E01004410,0,0.9999948710546613,3.069690302574842e-05
E01004411,3,0.9999783530823159,0.00011314701872662185
E01004413,4,0.8710658997338458,0.20479270858148968
E01004414,0,0.9997846584673072,0.0008832568546458503
E01004415,4,0.600670088155949,0.29216778686847344
E01004416,4,1.0,1.7429697917042597e-14
E01004417,6,0.977681796627095,0.05186699936284561
E01004418,4,0.9877211494792132,0.028906394258979895
E01004419,6,0.9982474407119589,0.0056197278957872574
E01004420,6,0.9999998294531028,1.2283557652282306e-06
E01004421,7,0.9430225675745494,0.09498744071113586
E01004422,8,0.9999999999955662,5.393325790133142e-11
E01004423,9,0.9999997843742908,1.5825607912448074e-06
E01004424,6,0.9999993945792326,4.0274045294606466e-06
E01004426,4,0.9999510285969373,0.0002324744544153586
E01004427,6,0.9999997548550555,1.727016700484881e-06
E01004428,7,0.9999999998244107,1.8423582071188252e-09
E01004429,6,0.9999941386812561,3.321872820614625e-05
E01004430,6,0.9999999979177119,1.9181980373783235e-08
E01004432,6,0.9999964170014507,2.1077679203593377e-05
E01004434,7,0.9928311548026061,0.01871369869397713
E01004435,7,0.9999999999806164,2.1996338329337726e-10
E01004437,0,0.9985983177553736,0.004607818919304441
E01004438,6,0.9999999994805648,5.0490714948344406e-09
E01004439,0,1.0,5.079858214762622e-25
E01004440,6,0.999999999948102,5.689700184753111e-10
E01004444,6,0.9999999610633389,3.168627256575502e-07
E01004448,4,0.9901867688598308,0.02395290512287274
E01004450,0,1.0,4.618573042413633e-15
E01004451,4,0.9999740013939018,0.0001304958117631361
E01004452,6,0.999957754220809,0.00021579361740311356
E01004453,1,0.9999837420631373,9.011406048873746e-05
E01004454,7,0.9681133300299771,0.06885043532059427
E01004455,7,0.8884197186704005,0.15503629620904347
E01004457,3,0.9999999995464464,4.434850697239567e-09
E01004458,7,0.979341268767707,0.04374061475336724
E01004460,5,0.9999960301727596,2.316604011599256e-05
E01004462,5,0.9140517176810069,0.12985360094661164
E01004464,0,0.9977016812911833,0.007061628660878909
E01004465,1,0.9985246922422135,0.004817014583628073
E01004466,0,0.9999999833220842,1.371084895401076e-07
E01004467,7,0.9772602758894434,0.0474362024836942
E01004468,1,1.0,7.414517531849933e-23
E01004469,4,0.9999999992660946,7.170735872014487e-09
E01004470,4,0.9954475185657884,0.01375741517467276
E01004474,6,0.99998483998994,8.419490462109831e-05
E01004476,7,0.9614435775446194,0.07114553206358955
E01004477,1,0.9999999999999432,1.103552637994205e-12
E01004479,8,0.9999999999997158,3.4368582962437092e-12
E01004481,6,0.999999999079705,8.728396944327555e-09
E01004482,4,0.9999983810728312,1.0124890864727075e-05
E01004483,4,0.9999305627951315,0.000318956403773654
E01004486,8,0.9997743593442049,0.0009208007348833225
E01004491,0,0.9999999999993179,8.861451249630268e-12
E01004492,4,0.9639888975094214,0.08062574996769377
E01004493,6,0.9940757770155124,0.017346821668677154
E01004494,6,0.9045980691234922,0.14906672561778908
E01004495,7,0.9809400414541306,0.042090617368302954
E01004496,6,0.9999953008195483,2.759148567034595e-05
E01004497,0,0.9999999883494297,9.749163711013554e-08
E01004498,4,0.9999935542005838,3.821681313831153e-05
E01004499,4,0.9814489308568047,0.04014811490201596
E01004500,6,0.9261115170384667,0.11447267092451506
E01004502,7,0.9976275012731954,0.00725646677511763
E01004503,8,0.9999999996650217,3.319475863696207e-09
E01004505,0,1.0,1.679737943655094e-17
E01004506,0,0.9999106563721565,0.000411453610836619
E01004507,6,0.9944437056082828,0.015253525673437804
E01004508,6,0.9985509233707562,0.005178882868935852
E01004510,6,0.9999072584238816,0.0004293546358690823
E01004513,2,1.0,3.3469714089747417e-13
E01004514,6,0.9999979944313043,1.2298288620176222e-05
E01004517,6,0.9998103903366525,0.0007881318507249539
E01004519,6,0.934341936755596,0.1062166184897731
E01004522,6,0.999993241227447,3.789780250807453e-05
E01004523,0,0.9994250177908546,0.0022312708568727087
E01004525,6,0.9999999999991473,1.0449834077700963e-11
E01004526,1,1.0,5.734134162219246e-40
E01004528,6,0.9998562134289242,0.00061496606083765
E01004529,9,1.0,2.2715078471151904e-19
E01004536,6,0.9999954887156273,2.63174986255611e-05
E01004537,6,0.9999806798876609,0.00010410895905471389
E01004538,7,0.9974310066507546,0.007776844664292996
E01004540,6,0.9999523961774724,0.0002265296741530026
E01004541,6,0.9999870646075132,6.884888404660188e-05
E01004543,0,0.9999995651317399,2.9553462294060475e-06
E01004545,6,0.9999999922637812,6.611214732233919e-08
E01004547,0,0.9977500971183084,0.006933559479280078
E01004548,6,0.9999991949264143,5.270333102732348e-06
E01004549,4,0.9999965684481582,2.124677271110275e-05
E01004551,6,0.9999999978781489,1.9325113299980218e-08
E01004552,6,0.9999999591099717,3.206880324330605e-07
E01004553,0,0.9999994944608516,3.4088915479012177e-06
E01004554,4,0.9999748484945875,0.00012733537262559549
E01004557,0,0.999970414183028,0.00014776181637011316
E01004558,0,0.99999715001027,1.7132902689263962e-05
E01004559,0,0.9999999815100298,1.513465229643965e-07
E01004560,7,0.9999911762102364,4.97539700674125e-05
E01004563,5,0.9999841329358538,8.355617211991753e-05
E01004564,7,0.964798412496787,0.06621613056893502
E01004567,1,0.9999999999986358,1.67152369326944e-11
E01004568,7,0.9999749490490946,0.00012871986910847552
E01004569,6,0.9999944110172556,3.2790969816254284e-05
E01004570,7,0.9999983483671141,1.0311183717789156e-05
E01004571,6,0.9436619227195886,0.09632542300105842
E01004572,6,0.9999997577652673,1.7077719471547916e-06
E01004573,6,0.9999934159855745,3.780809081749544e-05
E01004574,7,0.9952011472553624,0.014195733763861958
E01004575,6,0.992294981403455,0.02016024526070504
E01004577,7,1.0,1.7445849552411597e-36
E01004579,6,0.99988371551005,0.0005084237652823649
E01004582,6,0.999991628121649,4.6201959301091885e-05
E01004583,0,0.9997349217744963,0.0010648467602806166
E01004585,4,0.9830716285973417,0.043110909378612776
E01004586,7,0.9999956612581163,2.5239441050602304e-05
E01004588,6,0.9786457932238902,0.045304320177877805
E01004590,6,0.9999932723431542,3.9319420059299675e-05
E01004591,6,0.9998689304816373,0.0005844132945608657
E01004593,5,0.9999998448583489,1.123778633360116e-06
E01004594,0,0.9991325849283277,0.0030324736069125297
E01004595,7,0.9999999197896191,6.053763608229084e-07
E01004597,3,0.9886083736609301,0.027061422359540177
E01004601,6,0.9988032509470709,0.004131026205712773
E01004602,4,0.9999999970804652,2.6185760870547568e-08
E01004605,4,0.999930903675371,0.0003382619203811498
E01004606,4,0.9999999806420876,1.5771727986246225e-07
E01004607,0,0.9998724256090311,0.0005527742767428219
E01004608,6,0.9788251602668219,0.04455067460897623
E01004609,6,0.999999999809063,1.938523491585149e-09
E01004612,4,0.9999819526975652,9.828490913433049e-05
E01004613,6,0.9892019532738945,0.027814245297640743
E01004614,6,0.9994566985619904,0.0020625551424258482
E01004615,6,0.9984552543548348,0.005365431795307293
E01004616,6,0.999999999847887,1.5604431444697492e-09
E01004617,6,0.9999999999937472,7.37934913276371e-11
E01004619,0,0.9999947882450854,2.9800600681042784e-05
E01004621,0,0.999646154169634,0.001429395409429645
E01004622,0,0.9999986556733743,8.477463902605813e-06
E01004623,0,0.9999999999719762,3.077360913133515e-10
E01004625,0,0.9999613596658928,0.00018750462523521344
E01004626,8,0.9999974819955224,1.5191718789768956e-05
E01004628,4,0.9996968216762968,0.0011986211547916938
E01004629,6,0.9998619313776583,0.0006075411448692662
E01004630,4,0.9999862502488649,7.386546868758252e-05
E01004631,8,0.9999331100520866,0.0003205573750941944
E01004632,0,0.9996072727063455,0.001508122901444281
E01004633,9,0.9999996804958129,2.2141058351275308e-06
E01004635,4,0.9999987914668991,8.033187913678197e-06
E01004637,3,1.0,5.496568143805053e-21
E01004639,7,0.9999999092381172,6.812005826256501e-07
E01004640,0,0.9129350835777208,0.12912849791176073
E01004641,0,0.9999999926817509,6.272277671700494e-08
E01004642,7,0.9993783079621813,0.002448286871187525
E01004643,6,0.9958170791912485,0.012421174235374317
E01004644,4,0.9963914287167567,0.010379230372011461
E01004646,8,0.999966512699993,0.00017296108989457988
E01004647,6,0.9924930824174267,0.019546468138750377
E01004648,7,0.9999948290566293,3.0141685493053784e-05
E01004649,7,0.9999323108821673,0.00031162460901468106
E01004651,1,1.0,7.47498888707734e-17
E01004652,6,0.9999950911198403,2.8193583927641838e-05
E01004653,6,0.9999995614234474,2.97907896176557e-06
E01004654,3,0.9999769963272167,0.00011668688441403623
E01004656,5,0.9999893198326698,5.889336009128617e-05
E01004657,6,0.9999999999999432,1.017884270614857e-12
E01004658,6,0.9999999999791953,2.314932153246167e-10
E01004660,5,0.9925823386687709,0.019008077038990042
E01004661,6,0.9999999999309921,7.312377901251193e-10
E01004662,2,0.9999797717097901,0.00010430564937134429
E01004668,3,0.9995536179754984,0.0018317729855270904
E01004675,6,0.9999240444065236,0.00034811174534835754
E01004676,4,0.9797336837221265,0.04302719094869206
E01004677,3,1.0,9.904878076456615e-79
E01004678,3,0.9999999999998863,1.4299678980978477e-12
E01004679,6,0.9999999999926672,8.57320459376669e-11
E01004680,5,0.9999524348899207,0.0002262692271812093
E01004681,6,0.9999999993787583,5.989606398701208e-09
E01004682,5,0.9999998466438005,1.11172575406319e-06
E01004683,5,1.0,2.149254474768459e-20
E01004684,6,0.9984814813593977,0.004939064511183039
E01004686,6,0.9999999979829681,1.841952666670738e-08
E01004691,6,1.0,1.1586700659213458e-13
E01004693,5,1.0,7.361801219855313e-43
E01004694,3,0.9999993854568926,4.086934031945206e-06
E01004695,5,0.9999924814064365,4.208526969702841e-05
E01004698,2,0.9999999999999432,4.773960336465663e-13
E01004699,6,0.9990635735906341,0.0032651973404334567
E01004701,0,1.0,4.836888413560479e-15
E01004702,2,1.0,1.7725922725924274e-16
E01004703,4,0.773719530877563,0.23271805381686092
E01004705,6,0.9967739244816818,0.010098508842763526
E01004708,7,0.9999995034443809,3.4593327476842776e-06
E01004710,8,0.9999999908489485,8.130701511008874e-08
E01004711,3,1.0,6.407288556321476e-19
E01004712,5,0.9998137452840051,0.0007796879385876969
E01004713,1,1.0,4.146447400964056e-40
E01004714,6,0.9999999999779448,2.452924030141797e-10
E01004715,6,0.999999999999261,9.281853925230036e-12
E01004716,2,0.9999903330030411,5.267593975751962e-05
E01004720,2,1.0,1.5380782050030453e-59
E01004721,6,0.9999921025904887,4.436899768304719e-05
E01004723,7,0.9999994053802146,4.0232538643228225e-06
E01004725,5,1.0,3.2722200013527925e-16
E01004726,6,0.9998211366660131,0.0007577622312718063
E01004727,6,0.9999999999755573,2.718956613230545e-10
E01004728,6,0.9986273317122305,0.004548155942225801
E01004730,0,0.956352961621067,0.0779746664524621
E01004731,6,0.9999999999994884,6.4194695931774245e-12
E01004733,2,0.9999999999998863,1.227912175405946e-12
E01004734,6,0.9999980222603089,1.2139613330979934e-05
E01004735,2,0.9999999999828333,1.9211596245593923e-10
E01004736,2,0.9999995341369133,3.1520464458344794e-06
E01004741,6,0.9999873517458693,6.744401681084873e-05
E01004742,5,0.999999914699064,6.411774584151451e-07
E01004743,7,0.9999318913124348,0.0003183374569971027
E01004744,6,0.9999999999873239,1.4399456652563525e-10
E01004747,5,1.0,2.5172105104680965e-13
E01004749,7,0.9867350136878194,0.03062484190447721
E01004750,6,1.0,4.173854354610687e-14
E01004751,4,0.9967584720444076,0.009474478937890433
E01004753,7,0.7615604424229844,0.2593058085940395
E01004755,6,0.9999999427515166,4.394700887553922e-07
