dataset,w,covariance,K,silhouette,calinski_harabasz,davies_bouldin,overnight_separation,top_overnight_share,top_overnight_cluster_size,smallest,is_bic_best_K
rail_weekday,0.0,tied,2,0.5679434726432501,98.84778836422291,0.8933119251682513,0.0030605399153430437,0.040321924703571196,255,15,True
rail_weekday,0.0,tied,3,0.17509813569964394,79.9029413755815,1.7071485595031015,0.004446245832513577,0.04357191807345168,149,15,False
rail_weekday,0.0,tied,4,0.17606811340017497,57.036098032130674,1.4040312276211362,0.005757652554744623,0.046894036281047255,1,1,False
rail_weekday,0.0,tied,5,0.2769083526743528,43.19194820687743,1.459611287551629,0.005817402640996771,0.046832773987491576,4,4,False
rail_weekday,0.0,tied,6,0.19248412696568842,45.247698312273684,1.3570988968614346,0.00517227621348023,0.0466409128777945,3,3,False
rail_weekday,0.0,tied,7,0.1816144684649204,50.148925394385806,1.061783751811189,0.008874390401443324,0.05660272197630778,1,1,False
rail_weekday,0.0,tied,8,0.11397234643375027,42.23579912381562,1.3703625581252785,0.006666183120057223,0.046894036281047255,1,1,False
rail_weekday,0.0,tied,9,0.11160377605430206,26.35348759492655,1.3641426325661152,0.007226859635838438,0.04972706296904843,11,1,False
rail_weekday,0.0,tied,10,0.10076407411553427,33.36374119656579,1.4135257600714142,0.007772986730093595,0.05600986902776798,6,1,False
rail_weekday,0.0,tied,11,0.10395602925099931,38.68148177778486,1.5738492857036368,0.008580101323913507,0.054219289110672794,7,1,False
rail_weekday,0.0,tied,12,0.1186133897331883,37.31567950372771,1.6345027282845341,0.006827443612962296,0.049614903505433,5,1,False
