lsoa,retained_for_fit,min_direction_activity,exclusion_reason,cluster
E01002411,True,94.98936,retained,1
E01002412,True,1450.514,retained,2
E01002413,True,89.69297,retained,1
E01002414,True,685.1905,retained,0
E01002417,True,452.50071,retained,0
E01002419,False,23.24174,at_least_one_direction_below_36,-1
E01002420,False,17.57501,at_least_one_direction_below_36,-1
E01002421,True,103.42286,retained,3
E01002422,True,106.19584,retained,1
E01002423,True,84.16705,retained,1
E01002424,True,485.62716,retained,0
E01002425,True,42.31824,retained,3
E01002426,True,463.65207,retained,0
E01002428,False,27.89427,at_least_one_direction_below_36,-1
E01002429,True,79.85983,retained,3
E01002431,False,17.62672,at_least_one_direction_below_36,-1
E01002432,True,59.70089,retained,3
E01002433,True,108.65486,retained,3
E01002434,False,18.9201,at_least_one_direction_below_36,-1
E01002435,False,6.53961,at_least_one_direction_below_36,-1
E01002436,True,111.78196,retained,3
E01002437,True,124.88219,retained,2
E01002438,False,9.78796,at_least_one_direction_below_36,-1
E01002439,True,307.03026,retained,2
E01002440,False,29.99494,at_least_one_direction_below_36,-1
E01002441,True,67.38015,retained,3
E01002442,True,33.58494,retained,3
E01002443,True,7787.28702,retained,0
E01002444,True,16586.32205,retained,4
E01002445,True,148.48084,retained,1
E01002446,True,757.77077,retained,0
E01002447,True,2753.71494,retained,0
E01002448,True,953.54238,retained,0
E01002451,False,23.63525,at_least_one_direction_below_36,-1
E01002452,True,266.33606000000003,retained,1
E01002453,True,65.33028,retained,3
E01002455,True,156.63103,retained,4
E01002456,True,93.19498,retained,4
E01002457,True,341.49143,retained,0
E01002458,True,53.00742,retained,3
E01002460,True,122.15787,retained,2
E01002461,True,54.28621,retained,3
E01002462,False,15.56512,at_least_one_direction_below_36,-1
E01002463,False,7.37623,at_least_one_direction_below_36,-1
E01002464,False,0.4974199999999998,at_least_one_direction_below_36,-1
E01002465,True,58.52205,retained,4
E01002467,False,10.468789999999998,at_least_one_direction_below_36,-1
E01002468,True,47.96613,retained,2
E01002469,True,58.17832,retained,1
E01002470,True,359.80208,retained,3
E01002471,False,2.64567,at_least_one_direction_below_36,-1
E01002472,True,139.65744999999998,retained,3
E01002473,False,31.2941,at_least_one_direction_below_36,-1
E01002474,True,171.54582,retained,3
E01002475,True,293.36588,retained,3
E01002478,True,506.17352,retained,3
E01002479,True,38.31917,retained,3
E01002481,True,108.60996,retained,3
E01002482,False,22.46901,at_least_one_direction_below_36,-1
E01002483,True,83.77033,retained,3
E01002484,False,3.75956,at_least_one_direction_below_36,-1
E01002485,True,573.18368,retained,3
E01002486,True,287.33408,retained,4
E01002487,True,106.97278,retained,3
E01002488,True,45.45835,retained,3
E01002489,True,1590.49758,retained,0
E01002490,True,552.28721,retained,0
E01002492,True,163.35372,retained,3
E01002495,True,132.89192,retained,3
E01002496,True,548.10171,retained,3
E01002497,True,658.43614,retained,3
E01002499,True,130.15745,retained,3
E01002501,True,191.28824,retained,1
E01002503,True,532.5866,retained,0
E01002505,True,1538.56462,retained,0
E01002506,True,6982.7029,retained,0
E01002508,True,4187.21973,retained,0
E01002509,True,92.96405,retained,1
E01002511,True,115.18951,retained,1
E01002512,True,83.12111999999999,retained,3
E01002513,True,323.24797,retained,3
E01002514,True,2130.72589,retained,0
E01002516,True,165.50232,retained,1
E01002518,False,26.40217,at_least_one_direction_below_36,-1
E01002519,True,228.73921,retained,1
E01002521,True,350.71736,retained,0
E01002523,True,50.36587,retained,4
E01002525,True,193.81907,retained,1
E01002526,True,653.93332,retained,0
