lsoa,age_0_19_share,age_20_34_share,age_35_64_share,age_65plus_share
E01000202,0.22594142259414227,0.20023909145248056,0.3980872683801554,0.17573221757322174
E01000203,0.252442996742671,0.20412595005428882,0.40499457111834963,0.13843648208469056
E01000204,0.22,0.17588235294117646,0.38823529411764707,0.21588235294117647
E01000205,0.25547445255474455,0.12408759124087591,0.42601194426011946,0.19442601194426012
E01000206,0.23189368770764118,0.146843853820598,0.40132890365448504,0.21993355481727575
E01000207,0.24478178368121442,0.13978494623655913,0.3605313092979127,0.2549019607843137
E01000208,0.23190184049079754,0.15766871165644172,0.41226993865030676,0.19815950920245398
E01000209,0.1894807821982468,0.10316925151719487,0.366149696561025,0.3412002697235334
E01000210,0.28903225806451616,0.15806451612903225,0.40903225806451615,0.14387096774193547
E01000211,0.2274436090225564,0.25093984962406013,0.40366541353383456,0.11795112781954888
E01000212,0.2088888888888889,0.17777777777777778,0.3977777777777778,0.21555555555555556
E01000213,0.2990377498149519,0.12879348630643966,0.40044411547002223,0.17172464840858623
E01000214,0.1814268142681427,0.22816728167281672,0.44095940959409596,0.14944649446494465
E01000215,0.3908582089552239,0.20522388059701493,0.2574626865671642,0.146455223880597
E01000216,0.2987866531850354,0.22901921132457026,0.3392315470171891,0.13296258847320525
E01000217,0.3484593837535014,0.19943977591036416,0.33277310924369746,0.11932773109243698
E01000218,0.3463626492942454,0.23289902280130292,0.30727470141150925,0.11346362649294245
E01000219,0.3652094717668488,0.24225865209471767,0.3028233151183971,0.08970856102003642
E01000220,0.3034957627118644,0.22033898305084745,0.3072033898305085,0.16896186440677965
E01000221,0.3177636234961076,0.19532908704883228,0.4048124557678698,0.08209483368719038
E01000222,0.2541625857002938,0.23212536728697356,0.4138099902056807,0.09990205680705191
E01000223,0.2975369458128079,0.22216748768472908,0.40246305418719214,0.07783251231527094
E01000224,0.271116361488482,0.19905493207324276,0.3927938570584761,0.13703484937979918
E01000225,0.3970037453183521,0.14285714285714285,0.30765115034777957,0.15248796147672553
E01000226,0.2628242074927954,0.21095100864553315,0.4155619596541787,0.1106628242074928
E01000227,0.24665596575708934,0.1760299625468165,0.3889780631353665,0.18833600856072766
E01000228,0.2736768802228412,0.16643454038997216,0.41643454038997213,0.14345403899721448
E01000229,0.27588270496708556,0.19389587073608616,0.40335128665469777,0.12687013764213045
E01000230,0.3059244126659857,0.16700715015321757,0.3166496424923391,0.21041879468845762
E01000231,0.2641615255187886,0.19068984856982613,0.42456533931575996,0.12058328659562535
E01000232,0.241028387787895,0.1569362613818961,0.4113551151580075,0.19068023567220138
E01000233,0.25748194014447884,0.1914344685242518,0.41589267285861714,0.13519091847265222
E01000234,0.2605042016806723,0.19047619047619047,0.40336134453781514,0.14565826330532214
E01000235,0.25510204081632654,0.23630504833512353,0.4178302900107411,0.09076262083780881
E01000236,0.3219037871033777,0.2676560900716479,0.2937563971340839,0.11668372569089049
E01000237,0.25798760133524085,0.2875536480686695,0.3524082021936099,0.10205054840247973
E01000238,0.3245697896749522,0.2624282982791587,0.32122370936902483,0.09177820267686425
E01000239,0.2070977151191055,0.29363150218765194,0.40884783665532326,0.0904229460379193
E01000240,0.21119446047316792,0.24062319676860935,0.3791113675706867,0.16907097518753605
E01000241,0.23881431767337807,0.20973154362416108,0.39988814317673377,0.15156599552572708
E01000242,0.2908863920099875,0.1704119850187266,0.352059925093633,0.18664169787765295
E01000243,0.22931114193250116,0.34535367545076284,0.32223763291724455,0.10309754969949145
E01000244,0.21755027422303475,0.29372333942717854,0.3570993296770262,0.1316270566727605
E01000245,0.22822384428223844,0.29927007299270075,0.3858880778588808,0.08661800486618004
E01000246,0.20657894736842106,0.14210526315789473,0.4309210526315789,0.22039473684210525
E01000247,0.23140495867768596,0.16115702479338842,0.47992916174734357,0.12750885478158205
E01000248,0.2188235294117647,0.13941176470588235,0.42823529411764705,0.21352941176470588
E01000249,0.22001243008079552,0.15102548166563082,0.4151646985705407,0.21379738968303294
E01000250,0.21187739463601532,0.2,0.432183908045977,0.15593869731800766
E01000251,0.23576158940397351,0.23134657836644593,0.38543046357615895,0.14746136865342163
E01000252,0.1987179487179487,0.17657342657342656,0.4533799533799534,0.17132867132867133
E01000253,0.23511604439959638,0.14934409687184663,0.3895055499495459,0.2260343087790111
E01000254,0.21401752190237797,0.14205256570713393,0.41551939924906134,0.2284105131414268
E01000255,0.25044091710758376,0.19576719576719576,0.3903586125808348,0.16343327454438566
E01000256,0.2903058579574909,0.15085536547433903,0.3986521513737688,0.16018662519440124
E01000257,0.24497607655502393,0.2545454545454545,0.38421052631578945,0.11626794258373206
E01000258,0.20983086680761098,0.17653276955602537,0.4069767441860465,0.20665961945031713
E01000259,0.25416036308623297,0.1951588502269289,0.4031770045385779,0.1475037821482602
E01000260,0.24665744582757032,0.22083909635776855,0.42139234670355,0.1111111111111111
E01000261,0.2895927601809955,0.1255656108597285,0.3376696832579186,0.24717194570135748
E01000263,0.2776686313032089,0.14407334643091027,0.41388343156516044,0.16437459070072036
E01000264,0.24643249176728868,0.21899012074643248,0.4132821075740944,0.12129527991218442
E01000265,0.25871941697032796,0.19104633003643937,0.42061426340447683,0.12961998958875587
E01000266,0.22562674094707522,0.14763231197771587,0.4073816155988858,0.2193593314763231
E01000267,0.2162516382699869,0.17562254259501967,0.43577981651376146,0.17234600262123198
E01000268,0.248435243139143,0.2209918151179586,0.40442946557534903,0.12614347616754934
