lsoa,private_rented_share,social_rented_share
E01000120,0.1342685370741483,0.006012024048096192
E01000121,0.10666666666666667,0.4685714285714286
E01000122,0.14671814671814673,0.009652509652509652
E01000123,0.2872777017783858,0.036935704514363885
E01000124,0.3161209068010076,0.2128463476070529
E01000126,0.24869791666666666,0.4427083333333333
E01000127,0.24564796905222436,0.38104448742746616
E01000128,0.2204724409448819,0.28976377952755905
E01000129,0.3472949389179756,0.39965095986038396
E01000130,0.26259541984732826,0.34045801526717556
E01000131,0.36044880785413747,0.1402524544179523
E01000132,0.2,0.401980198019802
E01000133,0.2099827882960413,0.4010327022375215
E01000134,0.31811023622047246,0.28503937007874014
E01000135,0.3865814696485623,0.022364217252396165
E01000136,0.32149200710479575,0.0017761989342806395
E01000137,0.23179791976225855,0.45468053491827637
E01000138,0.481651376146789,0.06116207951070336
E01000139,0.37362637362637363,0.040293040293040296
E01000140,0.44930875576036866,0.12327188940092165
E01000141,0.5542929292929293,0.1590909090909091
E01000142,0.5257847533632287,0.10089686098654709
E01000143,0.2673559822747415,0.3707533234859675
E01000144,0.6648721399730821,0.04306864064602961
E01000145,0.4344262295081967,0.014344262295081968
E01000146,0.6048387096774194,0.08640552995391705
E01000147,0.33154121863799285,0.005376344086021506
E01000150,0.30283505154639173,0.15206185567010308
E01000151,0.16030534351145037,0.7282442748091603
E01000152,0.15102481121898598,0.36461704422869473
E01000153,0.15135135135135136,0.5702702702702702
E01000154,0.21216407355021216,0.4893917963224894
E01000156,0.3783422459893048,0.05080213903743316
E01000157,0.31736526946107785,0.11526946107784432
E01000158,0.28807339449541286,0.14311926605504588
E01000159,0.19783616692426584,0.1205564142194745
E01000160,0.40671641791044777,0.043532338308457715
E01000161,0.3589108910891089,0.1311881188118812
E01000162,0.2737226277372263,0.08394160583941605
E01000163,0.3383458646616541,0.3433583959899749
E01000164,0.28129829984544047,0.29984544049459044
E01000165,0.3059490084985836,0.06232294617563739
E01000166,0.23124042879019907,0.11944869831546708
E01000167,0.14559386973180077,0.30842911877394635
E01000168,0.08064516129032258,0.010752688172043012
E01000169,0.3429811866859624,0.05209840810419682
E01000170,0.2636103151862464,0.16905444126074498
E01000171,0.5681362725450901,0.0841683366733467
E01000172,0.18945634266886327,0.04118616144975288
E01000173,0.128500823723229,0.07907742998352553
E01000174,0.40551181102362205,0.1062992125984252
E01000175,0.17757009345794392,0.017133956386292833
E01000176,0.1262135922330097,0.521497919556172
E01000177,0.32318840579710145,0.03188405797101449
E01000178,0.2529585798816568,0.14349112426035504
E01000179,0.37305699481865284,0.03626943005181347
E01000180,0.2818590704647676,0.31784107946026985
E01000181,0.39941690962099125,0.021865889212827987
E01000182,0.35704514363885087,0.04240766073871409
E01000183,0.2966666666666667,0.13666666666666666
E01000184,0.18820224719101122,0.48174157303370785
E01000185,0.2118380062305296,0.5685358255451713
E01000186,0.16666666666666666,0.00784313725490196
E01000187,0.209106239460371,0.1973018549747049
E01000188,0.13948919449901767,0.019646365422396856
E01000189,0.26272912423625255,0.3258655804480652
E01000190,0.1616871704745167,0.09314586994727592
E01000191,0.2292418772563177,0.01263537906137184
E01000192,0.4140845070422535,0.036619718309859155
E01000193,0.45569620253164556,0.0379746835443038
E01000194,0.47592067988668557,0.09773371104815864
E01000195,0.3743016759776536,0.2723463687150838
E01000196,0.6373626373626373,0.03388278388278388
E01000197,0.48700410396716826,0.01094391244870041
E01000198,0.28442728442728443,0.04118404118404118
E01000199,0.2359208523592085,0.0136986301369863
E01000200,0.3382857142857143,0.04114285714285714
E01000201,0.19165085388994307,0.007590132827324478
E01000202,0.2987012987012987,0.025974025974025976
E01000203,0.3206442166910688,0.16251830161054173
E01000204,0.27482014388489207,0.08920863309352518
E01000205,0.19669421487603306,0.01652892561983471
E01000206,0.236084452975048,0.023032629558541268
E01000207,0.27060653188180406,0.04665629860031104
E01000208,0.29523809523809524,0.01746031746031746
E01000209,0.1700404858299595,0.14439946018893388
E01000210,0.2705479452054795,0.0273972602739726
E01000211,0.5924324324324325,0.06486486486486487
E01000212,0.37725631768953066,0.010830324909747292
E01000213,0.11504424778761062,0.12168141592920353
E01000214,0.5116279069767442,0.012919896640826873
E01000215,0.45544554455445546,0.09335219236209336
E01000216,0.39779005524861877,0.062154696132596686
E01000217,0.46098003629764067,0.021778584392014518
E01000218,0.5042881646655232,0.0274442538593482
E01000219,0.5575757575757576,0.04242424242424243
E01000220,0.5330396475770925,0.13656387665198239
E01000221,0.2746212121212121,0.5625
E01000222,0.3972602739726027,0.11506849315068493
E01000223,0.4099462365591398,0.271505376344086
E01000224,0.4578096947935368,0.01436265709156194
E01000225,0.24567474048442905,0.17301038062283736
E01000226,0.1877076411960133,0.3920265780730897
E01000227,0.20469798657718122,0.01174496644295302
E01000228,0.16122004357298475,0.1328976034858388
E01000229,0.21575342465753425,0.2226027397260274
E01000230,0.21699544764795145,0.054628224582701064
E01000231,0.2820097244732577,0.05186385737439222
E01000232,0.21134751773049645,0.12340425531914893
E01000233,0.25835866261398177,0.0243161094224924
E01000234,0.34323922734026746,0.010401188707280832
E01000235,0.3099236641221374,0.2732824427480916
E01000236,0.5043103448275862,0.07614942528735633
E01000237,0.5694635488308115,0.017881705639614855
E01000238,0.44031007751937984,0.07286821705426356
E01000239,0.6038543897216274,0.09314775160599571
E01000240,0.36741214057507987,0.027156549520766772
E01000241,0.39514978601997147,0.05563480741797432
E01000242,0.2823529411764706,0.10756302521008404
E01000243,0.614190687361419,0.04434589800443459
