lsoa,asian_share,black_share
E01000348,0.07255936675461741,0.023746701846965697
E01000349,0.09576320371445154,0.05629715612304121
E01000350,0.053763440860215055,0.0228494623655914
E01000351,0.07005579665220087,0.02727836329820211
E01000352,0.09338280766852196,0.06740878169449598
E01000353,0.09541284403669725,0.03302752293577982
E01000354,0.12182061579651941,0.06224899598393574
E01000355,0.07644197359277276,0.03891591382904795
E01000356,0.23322683706070288,0.04153354632587859
E01000357,0.1763869132290185,0.041963015647226175
E01000358,0.13924050632911392,0.05907172995780591
E01000359,0.15091342335186655,0.054011119936457505
E01000360,0.12539349422875132,0.055613850996852045
E01000361,0.09993714644877436,0.023884349465744813
E01000362,0.12580299785867238,0.05353319057815846
E01000363,0.1346153846153846,0.04935897435897436
E01000364,0.11411764705882353,0.08058823529411764
E01000365,0.09364161849710982,0.05375722543352601
E01000366,0.16158536585365854,0.05060975609756098
E01000367,0.06537102473498234,0.22835689045936397
E01000368,0.07091775923718713,0.14243146603098927
E01000369,0.06315179606025492,0.09269988412514485
E01000370,0.08606294155427104,0.07064868336544637
E01000371,0.05003088326127239,0.06794317479925881
E01000372,0.10112359550561797,0.17740981667652278
E01000373,0.08521870286576169,0.28054298642533937
E01000374,0.04831532104259377,0.17863954227590592
E01000375,0.11670588235294117,0.10541176470588236
E01000376,0.048417132216014895,0.08876474239602732
E01000377,0.038696537678207736,0.08689748811948404
E01000379,0.09165207238762405,0.05545826036193812
E01000380,0.03748558246828143,0.09688581314878893
E01000381,0.03717472118959108,0.04770755885997522
E01000382,0.08737244897959184,0.022321428571428572
E01000383,0.028876333961079723,0.07030759573132454
E01000384,0.04004643064422519,0.04468949506674405
E01000385,0.05089820359281437,0.12025948103792415
E01000386,0.08192457737321196,0.1423927178153446
E01000387,0.06688102893890675,0.03729903536977492
E01000388,0.17207147584381205,0.07279947054930509
E01000389,0.1690223792697291,0.053003533568904596
E01000390,0.1295880149812734,0.041947565543071164
E01000391,0.10411899313501144,0.06121281464530892
E01000392,0.18794688457609807,0.12002042900919306
E01000393,0.1425206124852768,0.071849234393404
E01000394,0.13136893799877225,0.049723756906077346
E01000395,0.14742335290280495,0.05870841487279843
E01000396,0.12112869924294563,0.05849965588437715
E01000398,0.09918392969240426,0.05963590709353421
E01000399,0.16274634456452639,0.06675143038779402
E01000400,0.21882951653944022,0.0737913486005089
E01000401,0.1573157315731573,0.07590759075907591
E01000402,0.11291328758577666,0.1553337492202121
E01000403,0.08201498751040799,0.25353871773522063
E01000404,0.08102521703183134,0.35469202149648615
E01000405,0.1302149178255373,0.22439949431099873
E01000406,0.09943977591036414,0.2777777777777778
E01000407,0.1607717041800643,0.1757770632368703
E01000408,0.20248166948674562,0.22786238014664412
E01000409,0.13218390804597702,0.038505747126436785
E01000410,0.08876811594202899,0.07729468599033816
E01000411,0.09485637942551771,0.07615230460921844
E01000412,0.11904761904761904,0.06349206349206349
E01000413,0.08598962194217939,0.05559673832468495
E01000414,0.2120253164556962,0.07278481012658228
E01000415,0.18095238095238095,0.05102040816326531
E01000416,0.13655848132271892,0.3710961420698102
E01000417,0.08084862385321101,0.12557339449541285
E01000418,0.14674191893278604,0.2565418163160595
E01000419,0.16521739130434782,0.06086956521739131
E01000420,0.08864084044648719,0.09389363099146422
E01000421,0.11235216819973719,0.03810775295663601
E01000422,0.11509715994020926,0.46263079222720477
E01000423,0.07773631840796019,0.013681592039800995
E01000424,0.07821552723059096,0.019119351100811123
E01000425,0.05947748749305169,0.012784880489160644
E01000426,0.05492537313432836,0.029850746268656716
E01000427,0.03582089552238806,0.03482587064676617
E01000428,0.08679642293529721,0.08469226722777486
E01000429,0.047844063792085056,0.33668044890726523
E01000430,0.07658536585365854,0.4121951219512195
E01000431,0.06260434056761269,0.2988313856427379
E01000433,0.0628513030148186,0.27797649463464486
E01000434,0.04833647206528562,0.19397363465160075
E01000435,0.05503355704697987,0.24161073825503357
E01000436,0.11117413499716393,0.039137833238797506
E01000437,0.11426491994177583,0.07132459970887918
E01000438,0.06808762581409118,0.10361160449970397
E01000439,0.06517168885774352,0.15416958654519972
E01000440,0.12031700288184438,0.0569164265129683
E01000441,0.09201773835920177,0.12472283813747229
E01000442,0.10786650774731824,0.08343265792610251
E01000443,0.04357625845229151,0.03681442524417731
E01000444,0.0862173649058895,0.020643594414086218
E01000445,0.07438512297540492,0.028194361127774445
E01000446,0.046357615894039736,0.019867549668874173
E01000447,0.07664793050587634,0.04394481349003577
E01000448,0.07851851851851852,0.013333333333333334
E01000449,0.07874519846350832,0.012163892445582587
E01000450,0.14356984478935697,0.09700665188470066
E01000451,0.128,0.09085714285714286
E01000452,0.1591549295774648,0.07746478873239436
E01000453,0.14121621621621622,0.0831081081081081
E01000454,0.1759656652360515,0.07234825260576333
E01000455,0.19520356943669828,0.04852203011712214
E01000456,0.15471167369901548,0.051336146272855133
E01000457,0.07261029411764706,0.042279411764705885
E01000458,0.0795601552393273,0.027166882276843468
E01000459,0.07647058823529412,0.053475935828877004
E01000460,0.07869634340222575,0.012718600953895072
E01000461,0.11124694376528117,0.03117359413202934
E01000462,0.07400194741966894,0.03602726387536514
E01000463,0.07034372501998401,0.04476418864908074
E01000464,0.0868421052631579,0.4421052631578947
E01000465,0.04203670811130847,0.38839550029603315
E01000466,0.07804309842748981,0.4979615608619686
E01000467,0.0899880810488677,0.44219308700834326
E01000468,0.06709809264305178,0.553133514986376
E01000469,0.0869815668202765,0.4596774193548387
E01000470,0.08951798010711554,0.3856159143075746
E01000471,0.5462478184991274,0.0983129726585224
E01000472,0.39143094841930115,0.1376871880199667
E01000473,0.731536189069424,0.11521418020679468
E01000474,0.7455985915492958,0.09286971830985916
E01000475,0.605832549388523,0.1349952963311383
E01000476,0.6989981785063752,0.08469945355191257
E01000477,0.6338383838383839,0.10606060606060606
E01000478,0.6474308300395257,0.10790513833992095
E01000479,0.3985218874360432,0.06253553155201819
E01000480,0.33707865168539325,0.09402720283855706
E01000481,0.34535452322738386,0.18031784841075796
E01000483,0.23799244468429573,0.3205612520237453
E01000484,0.2461799660441426,0.30220713073005095
E01000485,0.3993769470404984,0.11651090342679128
E01000486,0.38488783943329397,0.07792207792207792
E01000487,0.39909411172622045,0.08454957221942627
E01000488,0.20802919708029197,0.1380778588807786
E01000489,0.19618055555555555,0.11458333333333333
E01000490,0.10039481105470953,0.1212633953750705
E01000491,0.1665859564164649,0.10847457627118644
E01000492,0.15946582875098192,0.06834249803613511
E01000493,0.16260162601626016,0.08192620387742339
E01000494,0.1489482660602615,0.11711199545196134
E01000495,0.09817495280050346,0.16299559471365638
E01000497,0.21052631578947367,0.18203766296475132
E01000498,0.38713519952352593,0.15604526503871352
E01000499,0.28609062170706007,0.18914646996838777
E01000501,0.16986706056129985,0.32151649433776464
E01000502,0.15433741351782862,0.18786588610963278
E01000503,0.15630975143403442,0.1835564053537285
E01000504,0.13515016685205783,0.12124582869855395
E01000505,0.24329159212880144,0.20274299344066785
E01000506,0.21531966224366708,0.19179734620024125
E01000507,0.2600869025450031,0.12352576039726877
E01000508,0.18484500574052812,0.4251817833907386
E01000509,0.3089770354906054,0.16423103688239388
E01000510,0.19067543335325762,0.1763299462044232
E01000511,0.2840973401245048,0.15619694397283532
E01000512,0.24589201877934272,0.08274647887323944
E01000513,0.42507462686567166,0.06985074626865671
E01000514,0.34183673469387754,0.09502551020408163
E01000515,0.30970149253731344,0.18443496801705758
E01000516,0.3685556028973157,0.11077971878994461
E01000517,0.5157116451016636,0.04497843499691929
E01000518,0.29639309984317824,0.1338212232096184
E01000519,0.32985593641331346,0.11674118231495281
E01000520,0.358974358974359,0.11210494931425163
E01000521,0.1665202108963093,0.3844463971880492
E01000522,0.10258915486077186,0.3600390815828041
E01000523,0.16216216216216217,0.2833478639930253
E01000524,0.1263418662262593,0.35755573905862925
E01000525,0.11650485436893204,0.34573894282632145
E01000526,0.1678832116788321,0.4443430656934307
E01000527,0.15048025613660618,0.37139807897545357
E01000528,0.12716763005780346,0.45375722543352603
E01000530,0.1331133113311331,0.12706270627062707
E01000531,0.10505836575875487,0.245136186770428
E01000532,0.09151193633952255,0.22546419098143236
E01000533,0.13075506445672191,0.35313075506445674
E01000534,0.12471395881006865,0.17048054919908467
E01000535,0.13225963884821865,0.21571498291849683
E01000536,0.6202694034637588,0.030147530468248876
E01000538,0.5613062230437461,0.02033271719038817
E01000539,0.5372474747474747,0.03851010101010101
E01000540,0.5748626373626373,0.032280219780219783
E01000541,0.49079320113314445,0.04745042492917847
E01000543,0.5414874001229256,0.07068223724646588
E01000544,0.12570781426953567,0.32559456398640996
E01000545,0.14627798021863614,0.1478396668401874
E01000546,0.12477175897748022,0.10955569080949483
E01000547,0.11380145278450363,0.18704600484261502
E01000548,0.11167002012072434,0.1720321931589537
E01000549,0.11129476584022038,0.09586776859504133
E01000550,0.14724838869608328,0.2662369856222112
E01000551,0.12041522491349481,0.42664359861591694
E01000552,0.17437252311756934,0.39299867899603697
E01000553,0.28417442430181283,0.12101910828025478
E01000554,0.16150330116810563,0.16404266124936517
E01000555,0.2578814627994956,0.10970996216897856
E01000556,0.24976076555023924,0.11004784688995216
E01000557,0.20075147611379496,0.11325818572195384
E01000558,0.12562814070351758,0.1407035175879397
E01000559,0.1390296886314265,0.10716871832005793
E01000560,0.11610006414368185,0.07312379730596537
E01000561,0.11564274651522974,0.23076923076923078
E01000562,0.5444887118193891,0.07436918990703852
E01000563,0.5710691823899371,0.06666666666666667
E01000564,0.45163277880468267,0.1398644485520641
E01000565,0.46108949416342415,0.1874189364461738
E01000566,0.5103225806451613,0.09225806451612903
E01000567,0.3908701854493581,0.09700427960057062
E01000568,0.55,0.07657657657657657
E01000569,0.5037697052775874,0.06374228923920494
E01000570,0.484789644012945,0.15922330097087378
E01000571,0.4681818181818182,0.10625
E01000572,0.45484949832775917,0.06822742474916388
E01000573,0.429940119760479,0.05808383233532934
E01000574,0.38261919130959565,0.05431502715751358
E01000575,0.3545539033457249,0.06273234200743494
E01000576,0.46088344864289515,0.08249068653539117
E01000577,0.3084942084942085,0.244015444015444
E01000578,0.32744506678155966,0.13916415338216287
E01000579,0.1128625472887768,0.1626733921815889
E01000580,0.07854406130268199,0.08812260536398467
E01000581,0.0709549071618037,0.10941644562334217
E01000582,0.05194805194805195,0.08008658008658008
E01000583,0.1084513922813874,0.11431362970200293
E01000584,0.18962203715566944,0.08968609865470852
E01000585,0.10794701986754966,0.1390728476821192
E01000586,0.1315126050420168,0.13655462184873948
E01000587,0.5295202952029521,0.032595325953259535
E01000589,0.5198116908591605,0.07336210278540604
E01000590,0.4106404958677686,0.057334710743801656
E01000591,0.49038461538461536,0.052655677655677656
E01000592,0.42358078602620086,0.09661572052401747
E01000593,0.40461610927932173,0.16486104569006124
E01000594,0.47577092511013214,0.06222466960352423
E01000595,0.13725490196078433,0.4588235294117647
E01000596,0.17271250676773145,0.44775311315646993
E01000599,0.17902542372881355,0.4645127118644068
E01000601,0.15028901734104047,0.4602601156069364
E01000602,0.24620689655172415,0.4089655172413793
E01000603,0.16251728907330568,0.3789764868603043
E01000604,0.15889464594127806,0.5100748416810593
E01000605,0.20930232558139536,0.471355643788996
E01000606,0.4575093532870123,0.15072153928380544
E01000607,0.5399459668081822,0.0953299884214589
E01000608,0.5519452757588713,0.12056434373663959
E01000609,0.46601941747572817,0.1325242718446602
E01000610,0.5239835541343079,0.14344449520328917
E01000611,0.5381026438569206,0.18455158113011924
E01000612,0.6054421768707483,0.08843537414965986
E01000613,0.4416619237336369,0.14911781445645989
E01000615,0.32477294080801755,0.1813341684935797
E01000616,0.504388229220444,0.09602478058853897
E01000617,0.5017636684303352,0.1419753086419753
E01000618,0.46176821983273597,0.1857825567502987
E01000619,0.42731018246027075,0.28193054738081225
E01000620,0.5755148741418764,0.15732265446224256
E01000621,0.5353200883002207,0.19646799116997793
E01000622,0.15582450832072617,0.29551185073121533
E01000623,0.35403397027600847,0.07590233545647558
E01000624,0.3568559954102123,0.12621916236374067
E01000625,0.26929982046678635,0.10353081986834231
E01000626,0.13333333333333333,0.32233009708737864
E01000627,0.20880195599022006,0.24743276283618582
E01000628,0.2591963780418789,0.18788907753254103
E01000629,0.4162873039959535,0.08700050581689428
E01000630,0.5688073394495413,0.17944954128440366
E01000631,0.7098795180722891,0.06216867469879518
E01000632,0.8119451170298628,0.04439063761097659
E01000633,0.8131448223156286,0.051585785250286585
E01000634,0.5855039637599094,0.15590788976972442
E01000636,0.6193225558121632,0.12047729022324866
E01000637,0.1727332892124421,0.1899404367968233
