lsoa,dependent_children_share,lone_parent_dependent_share,one_person_share
E01000391,0.38087774294670845,0.06426332288401254,0.19278996865203762
E01000392,0.3853211009174312,0.14154652686762778,0.2817824377457405
E01000393,0.3546325878594249,0.04472843450479233,0.21565495207667731
E01000394,0.29910714285714285,0.05654761904761905,0.31398809523809523
E01000395,0.3510054844606947,0.03656307129798903,0.16087751371115175
E01000396,0.35375494071146246,0.029644268774703556,0.18181818181818182
E01000398,0.3114754098360656,0.05901639344262295,0.23770491803278687
E01000399,0.2942122186495177,0.03697749196141479,0.2652733118971061
E01000400,0.31186440677966104,0.04915254237288136,0.2440677966101695
E01000401,0.3492753623188406,0.1144927536231884,0.2898550724637681
E01000402,0.35068912710566613,0.13169984686064318,0.30321592649310875
E01000403,0.3371104815864023,0.14730878186968838,0.3814919735599622
E01000404,0.4484848484848485,0.21616161616161617,0.3282828282828283
E01000405,0.4743362831858407,0.15221238938053097,0.22831858407079647
E01000406,0.4233206590621039,0.11280101394169835,0.23574144486692014
E01000407,0.29683377308707126,0.051451187335092345,0.3153034300791557
E01000408,0.4444444444444444,0.14017094017094017,0.17094017094017094
E01000409,0.3623853211009174,0.0382262996941896,0.22935779816513763
E01000410,0.38731218697829717,0.06343906510851419,0.2036727879799666
E01000411,0.34594594594594597,0.06306306306306306,0.2072072072072072
E01000412,0.37636080870917576,0.05443234836702955,0.23483670295489892
E01000413,0.33904761904761904,0.07809523809523809,0.22666666666666666
E01000414,0.324585635359116,0.07044198895027624,0.28591160220994477
E01000415,0.29961089494163423,0.019455252918287938,0.18482490272373542
E01000416,0.37721021611001965,0.11787819253438114,0.17092337917485265
E01000417,0.31152204836415365,0.07681365576102418,0.2802275960170697
E01000418,0.3662551440329218,0.07956104252400549,0.2661179698216735
E01000419,0.2893835616438356,0.02910958904109589,0.2328767123287671
E01000420,0.30390492359932086,0.06451612903225806,0.23429541595925296
E01000421,0.2633333333333333,0.02,0.22833333333333333
E01000422,0.39165009940357853,0.16302186878727634,0.3538767395626243
E01000423,0.3421487603305785,0.026446280991735537,0.2066115702479339
E01000424,0.20509383378016086,0.03485254691689008,0.339142091152815
E01000425,0.3717105263157895,0.024671052631578948,0.14967105263157895
E01000426,0.2981715893108298,0.06329113924050633,0.270042194092827
E01000427,0.256043956043956,0.05274725274725275,0.37252747252747254
E01000428,0.25274725274725274,0.08681318681318681,0.44505494505494503
E01000429,0.39774330042313116,0.18899858956276447,0.3385049365303244
E01000430,0.4688385269121813,0.13739376770538245,0.17847025495750707
E01000431,0.413953488372093,0.13953488372093023,0.25813953488372093
E01000433,0.4319775596072931,0.1753155680224404,0.2538569424964937
E01000434,0.3855421686746988,0.14629948364888123,0.25817555938037867
E01000435,0.36626916524701875,0.131175468483816,0.28449744463373083
E01000436,0.3508771929824561,0.03508771929824561,0.17065390749601275
E01000437,0.32335329341317365,0.0499001996007984,0.2375249500998004
E01000438,0.4049586776859504,0.11570247933884298,0.19504132231404958
E01000439,0.3798449612403101,0.11434108527131782,0.2248062015503876
E01000440,0.283495145631068,0.02330097087378641,0.22524271844660193
E01000441,0.3968705547652916,0.155049786628734,0.26600284495021337
E01000442,0.33226837060702874,0.05591054313099041,0.24281150159744408
E01000443,0.3255360623781676,0.06432748538011696,0.2573099415204678
E01000444,0.30974842767295596,0.03930817610062893,0.1918238993710692
E01000445,0.32106038291605304,0.050073637702503684,0.2533136966126657
E01000446,0.31993299832495814,0.05695142378559464,0.20435510887772193
E01000447,0.29705215419501135,0.06462585034013606,0.3321995464852608
E01000448,0.3111545988258317,0.023483365949119372,0.21526418786692758
E01000449,0.27993779160186627,0.015552099533437015,0.27682737169517885
E01000450,0.4037854889589905,0.08832807570977919,0.20977917981072555
E01000451,0.3504,0.0496,0.1632
E01000452,0.3785425101214575,0.044534412955465584,0.1680161943319838
E01000453,0.3817829457364341,0.05232558139534884,0.16666666666666666
E01000454,0.315955766192733,0.05687203791469194,0.28278041074249605
