lsoa,bres_total_jobs,bres_manufacturing_share,bres_manufacturing_per_km2,bres_wholesale_retail_share,bres_wholesale_retail_per_km2,bres_transport_storage_share,bres_transport_storage_per_km2,bres_accom_food_share,bres_accom_food_per_km2,bres_info_comms_share,bres_info_comms_per_km2,bres_professional_sci_share,bres_professional_sci_per_km2,bres_education_share,bres_education_per_km2,bres_health_social_share,bres_health_social_per_km2,bres_admin_support_share,bres_admin_support_per_km2
E01003637,50,0.0,0.0,0.0,0.0,0.3,294.9821776564721,0.0,0.0,0.0,0.0,0.2,196.65478510431475,0.0,0.0,0.0,0.0,0.0,0.0
E01003638,3000,0.0,0.0,0.06666666666666667,749.8294955659329,0.0,0.0,0.013333333333333334,149.96589911318657,0.013333333333333334,149.96589911318657,0.0016666666666666668,18.74573738914832,0.016666666666666666,187.45737389148323,0.3466666666666667,3899.113376942851,0.5066666666666667,5698.70416630109
E01003639,500,0.0,0.0,0.68,319.3632271034634,0.01,4.696518045639167,0.02,9.393036091278335,0.05,23.482590228195836,0.03,14.089554136917503,0.02,9.393036091278335,0.04,18.78607218255667,0.02,9.393036091278335
E01003640,600,0.06666666666666667,6.662258005113105,0.2,19.986774015339318,0.0,0.0,0.08333333333333333,8.327822506391382,0.03333333333333333,3.3311290025565525,0.03333333333333333,3.3311290025565525,0.25,24.983467519174145,0.1,9.993387007669659,0.008333333333333333,0.8327822506391381
E01003641,400,0.0,0.0,0.175,305.0707002771843,0.0,0.0,0.025,43.58152861102633,0.0125,21.790764305513164,0.0375,65.3722929165395,0.375,653.7229291653949,0.0875,152.53535013859215,0.05,87.16305722205266
E01003642,450,0.0,0.0,0.022222222222222223,36.74197123418082,0.011111111111111112,18.37098561709041,0.0,0.0,0.011111111111111112,18.37098561709041,0.011111111111111112,18.37098561709041,0.4444444444444444,734.8394246836164,0.06666666666666667,110.22591370254244,0.022222222222222223,36.74197123418082
E01003643,175,0.0,0.0,0.08571428571428572,73.14452478732711,0.05714285714285714,48.76301652488474,0.0,0.0,0.08571428571428572,73.14452478732711,0.05714285714285714,48.76301652488474,0.0,0.0,0.3142857142857143,268.1965908868661,0.14285714285714285,121.90754131221185
E01003644,125,0.0,0.0,0.48,437.12344644673334,0.0,0.0,0.0,0.0,0.16,145.70781548224446,0.04,36.426953870561114,0.0,0.0,0.08,72.85390774112223,0.0,0.0
E01003645,1000,0.0,0.0,0.28,1128.1011387975404,0.025,100.7233159640661,0.15,604.3398957843966,0.025,100.7233159640661,0.065,261.88062150657186,0.1,402.8932638562644,0.335,1349.692433918486,0.03,120.86797915687933
E01003646,700,0.0,0.0,0.17142857142857143,629.5033406622886,0.007142857142857143,26.229305860928694,0.19285714285714287,708.1912582450747,0.07857142857142857,288.5223644702156,0.11428571428571428,419.6688937748591,0.02857142857142857,104.91722344371478,0.15,550.8154230795026,0.06428571428571428,236.06375274835824
E01003647,150,0.0,0.0,0.16666666666666666,118.24916532244163,0.0,0.0,0.13333333333333333,94.5993322579533,0.1,70.94949919346497,0.06666666666666667,47.29966612897665,0.06666666666666667,47.29966612897665,0.16666666666666666,118.24916532244163,0.0,0.0
E01003648,75,0.0,0.0,0.13333333333333333,41.260709978720904,0.0,0.0,0.0,0.0,0.2,61.89106496808136,0.13333333333333333,41.260709978720904,0.0,0.0,0.06666666666666667,20.630354989360452,0.06666666666666667,20.630354989360452
E01003649,100,0.0,0.0,0.2,141.80592870271715,0.0,0.0,0.0,0.0,0.05,35.45148217567929,0.15,106.35444652703788,0.0,0.0,0.15,106.35444652703788,0.05,35.45148217567929
E01003650,125,0.08,41.922473006917826,0.12,62.88370951037674,0.0,0.0,0.08,41.922473006917826,0.08,41.922473006917826,0.12,62.88370951037674,0.08,41.922473006917826,0.16,83.84494601383565,0.12,62.88370951037674
E01003651,200,0.0,0.0,0.1,83.7867860159503,0.0,0.0,0.0,0.0,0.1,83.7867860159503,0.025,20.946696503987575,0.0,0.0,0.325,272.30705455183846,0.275,230.41366154386333
E01003652,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,102.47818909330131,0.06666666666666667,68.31879272886755,0.3,307.43456727990394,0.03333333333333333,34.159396364433775
E01003653,900,0.011111111111111112,54.517576897335324,0.2111111111111111,1035.833961049371,0.03333333333333333,163.55273069200598,0.1388888888888889,681.4697112166915,0.05555555555555555,272.5878844866766,0.06111111111111111,299.84667293534426,0.19444444444444445,954.0575957033682,0.10555555555555556,517.9169805246855,0.022222222222222223,109.03515379467065
E01003654,75,0.13333333333333333,45.18599168415827,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,45.18599168415827,0.13333333333333333,45.18599168415827,0.0,0.0,0.0,0.0,0.0,0.0
E01003655,150,0.0,0.0,0.2,145.02468151796913,0.0,0.0,0.0,0.0,0.06666666666666667,48.34156050598971,0.03333333333333333,24.170780252994856,0.0,0.0,0.13333333333333333,96.68312101197942,0.13333333333333333,96.68312101197942
E01003656,600,0.0,0.0,0.06666666666666667,69.5656802037692,0.0,0.0,0.18333333333333332,191.3056205603653,0.0,0.0,0.041666666666666664,43.47855012735575,0.16666666666666666,173.914200509423,0.058333333333333334,60.869970178298054,0.025,26.08713007641345
E01003657,900,0.0,0.0,0.06666666666666667,142.90165280838949,0.005555555555555556,11.90847106736579,0.011111111111111112,23.81694213473158,0.005555555555555556,11.90847106736579,0.022222222222222223,47.63388426946316,0.0,0.0,0.011111111111111112,23.81694213473158,0.03333333333333333,71.45082640419474
E01003658,350,0.0,0.0,0.05714285714285714,73.19170353684834,0.0,0.0,0.14285714285714285,182.97925884212086,0.11428571428571428,146.38340707369667,0.07142857142857142,91.48962942106043,0.0,0.0,0.1,128.0854811894846,0.17142857142857143,219.575110610545
E01003659,200,0.0,0.0,0.25,127.03361785356847,0.05,25.406723570713694,0.05,25.406723570713694,0.025,12.703361785356847,0.05,25.406723570713694,0.1,50.81344714142739,0.0,0.0,0.0,0.0
E01003660,225,0.044444444444444446,21.925839402878392,0.13333333333333333,65.77751820863517,0.022222222222222223,10.962919701439196,0.044444444444444446,21.925839402878392,0.044444444444444446,21.925839402878392,0.28888888888888886,142.51795611870955,0.022222222222222223,10.962919701439196,0.022222222222222223,10.962919701439196,0.022222222222222223,10.962919701439196
E01003661,250,0.08,117.51942974831233,0.22,323.17843180785894,0.02,29.379857437078083,0.06,88.13957231123425,0.04,58.75971487415617,0.02,29.379857437078083,0.06,88.13957231123425,0.22,323.17843180785894,0.06,88.13957231123425
E01003662,600,0.0,0.0,0.30833333333333335,1293.8391976902747,0.0,0.0,0.16666666666666666,699.3725392920403,0.008333333333333333,34.96862696460202,0.05,209.81176178761208,0.08333333333333333,349.68626964602015,0.125,524.5294044690303,0.09166666666666666,384.6548966106222
E01003663,700,0.0,0.0,0.02857142857142857,53.08955687086613,0.0,0.0,0.0,0.0,0.014285714285714285,26.544778435433066,0.014285714285714285,26.544778435433066,0.5714285714285714,1061.7911374173227,0.2785714285714286,517.6231794909448,0.02857142857142857,53.08955687086613
E01003664,75,0.0,0.0,0.13333333333333333,60.99296161270955,0.06666666666666667,30.496480806354775,0.0,0.0,0.06666666666666667,30.496480806354775,0.13333333333333333,60.99296161270955,0.0,0.0,0.0,0.0,0.0,0.0
E01003665,200,0.0,0.0,0.025,32.288701262122835,0.0,0.0,0.1,129.15480504849134,0.05,64.57740252424567,0.05,64.57740252424567,0.25,322.88701262122834,0.2,258.3096100969827,0.1,129.15480504849134
E01003666,500,0.02,40.361432415671445,0.02,40.361432415671445,0.01,20.180716207835722,0.06,121.08429724701433,0.04,80.72286483134289,0.06,121.08429724701433,0.0,0.0,0.04,80.72286483134289,0.02,40.361432415671445
E01003668,800,0.0,0.0,0.16875,624.1168871265278,0.00625,23.115440263945473,0.125,462.30880527890946,0.03125,115.57720131972737,0.06875,254.26984290340022,0.05,184.92352211156378,0.23125,855.2712897659825,0.1125,416.07792475101854
E01003669,250,0.0,0.0,0.66,930.1635580278164,0.0,0.0,0.0,0.0,0.04,56.37354897138282,0.06,84.56032345707422,0.0,0.0,0.12,169.12064691414844,0.1,140.93387242845705
E01003670,250,0.0,0.0,0.0,0.0,0.0,0.0,0.12,123.57482928700685,0.06,61.787414643503425,0.08,82.38321952467123,0.4,411.91609762335617,0.14,144.17063416817467,0.0,0.0
E01003671,100,0.0,0.0,0.15,67.00982291789285,0.0,0.0,0.0,0.0,0.1,44.67321527859523,0.2,89.34643055719046,0.0,0.0,0.15,67.00982291789285,0.05,22.336607639297615
E01003672,600,0.0,0.0,0.09166666666666666,346.0721904169868,0.0,0.0,0.08333333333333333,314.6110821972607,0.016666666666666666,62.92221643945214,0.09166666666666666,346.0721904169868,0.08333333333333333,314.6110821972607,0.18333333333333332,692.1443808339736,0.008333333333333333,31.46110821972607
E01003673,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,25.42053547892534,0.06666666666666667,101.68214191570137,0.0,0.0,0.0,0.0,0.016666666666666666,25.42053547892534
