NLC,canonical_common_window_fri_excluded,full_window_fri_excluded,full_window_bus_aligned,cluster,Station,total_activity,log_total_activity
542,1.0347540303687888,1.0524231585503372,0.977856765315593,1,Embankment,83089.29412287238,11.327683176463477
543,0.5999583441927969,0.605600811377215,0.6239639124005529,0,Chesham,3657.855235202672,8.204905600203372
544,0.4795101757530508,0.4795101757530508,0.5089633220072969,0,Chigwell,944.0653896481311,6.8512541204946995
545,0.6198649762509517,0.6237517763134706,0.6146953816669279,0,Chiswick Park,7480.918631197637,8.920244539574648
546,0.6690312755917066,0.6732285046015758,0.6551405578576529,0,Chorleywood,3946.174511664657,8.280755288433777
547,0.9647151135461993,1.1052010721683856,0.9635775422741991,3,Clapham Common,43497.499876009184,10.680481730873149
548,0.9866656351025234,1.0802185048680737,0.9346612809195185,3,Clapham North,28327.99488441654,10.251641113353541
549,0.7020369732780788,0.75200421484905,0.7203256510503587,4,Clapham South,28790.350817705526,10.267830302189637
550,0.9279199050895466,0.9852153499447788,0.9314815413667652,4,Cockfosters,5979.617022566762,8.696279022653112
551,0.7626187555072801,0.7935886352620548,0.7679926489669662,4,Colindale,25842.767086211374,10.159824732341027
552,0.7712453822005632,0.8217328549858959,0.7807296438783077,4,Colliers Wood,23349.77433662871,10.058385424715445
553,1.0410102719553331,1.0561304832873657,0.9715379247893033,1,Covent Garden,61910.54691721659,11.033461982749602
554,0.5515287277482959,0.5560942999503012,0.5729845718263834,0,Croxley,2828.07616949509,7.94770549546901
555,0.7031752326055508,0.7080646627404316,0.6910575208730931,0,Dagenham East,9097.909468714754,9.115909846720948
556,0.6556007198103458,0.6606091324230792,0.6427882788588992,0,Dagenham Heathway,16823.395199294097,9.730585207316707
557,0.5991131476612006,0.6050109724470081,0.5952632540413398,0,Debden,5783.655659693499,8.662964114899172
558,0.8291478407238001,0.8723880387230986,0.8191075069718846,4,Dollis Hill,12178.695248356942,9.407525520290516
559,0.8703522738327626,0.8727608607428216,0.7983715002222719,3,West Silvertown,9824.232505355309,9.192709101124665
560,0.8774221917368156,0.9220155807067165,0.8749429027241874,4,Ealing Broadway,68851.42765281697,11.139720763561572
