lsoa,retained_for_fit,min_direction_activity,exclusion_reason,cluster
E01003778,True,675.08091,retained,2
E01003779,True,42.79767,retained,-1
E01003781,True,990.28493,retained,2
E01003782,True,56.51147,retained,-1
E01003783,True,3864.62421,retained,2
E01003787,False,8.332749999999999,at_least_one_direction_below_36,-1
E01003788,True,362.91999,retained,2
E01003789,True,973.15935,retained,5
E01003791,True,180.13433,retained,6
E01003792,True,246.86922,retained,0
E01003793,True,208.44342,retained,0
E01003795,False,10.14601,at_least_one_direction_below_36,-1
E01003796,True,36.09139,retained,-1
E01003797,False,13.61987,at_least_one_direction_below_36,-1
E01003798,True,210.2742,retained,6
E01003799,True,776.40872,retained,0
E01003800,True,122.43624,retained,-1
E01003801,True,894.10142,retained,0
E01003804,True,305.55892,retained,6
E01003807,True,594.0834,retained,2
E01003808,True,195.6813,retained,6
E01003809,True,215.54829,retained,6
E01003810,True,52.64192,retained,-1
E01003811,True,55.05805,retained,-1
E01003812,True,606.23143,retained,2
E01003814,True,428.24394,retained,6
E01003815,True,812.55654,retained,6
E01003816,True,502.61175,retained,6
E01003817,True,621.21016,retained,6
E01003818,True,93.36479,retained,-1
E01003820,True,66.3356,retained,-1
E01003821,True,226.07814,retained,2
E01003822,True,93.54293,retained,-1
E01003823,True,815.0767,retained,2
E01003824,True,111.14891,retained,-1
E01003825,False,27.58484,at_least_one_direction_below_36,-1
E01003826,False,6.087109999999999,at_least_one_direction_below_36,-1
E01003827,True,353.28033,retained,6
E01003828,True,157.20494,retained,0
E01003829,True,262.38793,retained,6
E01003830,True,162.99940999999998,retained,6
E01003831,True,55.95324,retained,-1
E01003832,False,5.428049999999999,at_least_one_direction_below_36,-1
E01003833,True,215.15772,retained,6
E01003834,True,687.23315,retained,6
E01003836,True,167.38425999999998,retained,-1
E01003837,True,126.35082,retained,-1
E01003838,True,274.69064,retained,6
E01003839,True,78.25331,retained,-1
E01003840,True,165.68847,retained,3
E01003841,True,446.87034,retained,6
E01003842,True,37.35869,retained,-1
E01003843,True,92.08512,retained,-1
E01003844,True,285.74513,retained,0
E01003845,True,149.8594,retained,0
E01003846,False,2.6720399999999995,at_least_one_direction_below_36,-1
E01003847,True,592.32859,retained,6
E01003848,True,138.05093,retained,-1
E01003849,False,22.3899,at_least_one_direction_below_36,-1
E01003852,True,1091.67883,retained,2
E01003853,False,9.84317,at_least_one_direction_below_36,-1
E01003854,True,416.83861,retained,6
E01003855,True,387.97642,retained,6
E01003856,True,400.25583,retained,6
E01003857,True,549.92659,retained,6
E01003859,True,192.14647,retained,0
E01003860,True,403.946,retained,1
E01003861,True,453.70282,retained,6
E01003862,True,220.1368,retained,6
E01003866,True,112.95872,retained,-1
E01003867,True,285.50748,retained,4
E01003868,True,350.8261,retained,0
E01003869,True,67.83982,retained,-1
E01003870,True,125.7403,retained,-1
E01003871,True,101.02607,retained,-1
E01003872,True,111.82863,retained,-1
E01003874,True,183.71598,retained,1
E01003875,True,383.50262,retained,6
E01003876,True,9579.34045,retained,2
E01003877,True,58.99469,retained,-1
E01003878,True,139.71329,retained,-1
E01003880,True,586.1895499999999,retained,6
E01003881,True,252.23144,retained,6
E01003882,True,1776.29068,retained,2
E01003885,True,818.4888599999999,retained,6
