unit,cluster,max_posterior,entropy,Station,mode_label,is_lu,easting,northing,lon,lat,matched_name,coord_source,total_activity,catchment_area_m2,station_in_loac_extent,loac_A_share,loac_B_share,loac_C_share,loac_D_share,loac_E_share,loac_F_share,loac_G_share,covered_area_m2,loac_coverage_ratio,analysis_eligible,dominant_loac_supergroup
508,4,1.0,3.258898178100335e-45,Archway,LU,True,529363.5176,186721.2423,-0.1350520245238837,51.56453819250787,Archway,underground_stations_csv,29411.10724528072,1065454.843219534,True,0.21875,0.359375,0.0,0.15625,0.265625,0.0,0.0,1065454.843219532,0.999999999999998,True,B
509,4,1.0,7.808722775899341e-31,Arnos Grove,LU,True,529355.1742,192497.914799999,-0.1330451742909319,51.61645247794506,Arnos Grove,underground_stations_csv,12838.801213037,1866175.6874052533,True,0.021739130434782608,0.17391304347826086,0.10869565217391304,0.0,0.13043478260869565,0.21739130434782608,0.34782608695652173,1866175.6874052708,1.0000000000000093,True,G
510,4,1.0,5.440793105340434e-38,Arsenal,LU,True,531305.0253,186112.096899999,-0.1072853032769284,51.55861585603557,Arsenal,underground_stations_csv,9476.03758149126,1076994.4512768188,True,0.16455696202531644,0.3924050632911392,0.0,0.18987341772151897,0.24050632911392406,0.012658227848101266,0.0,1076994.451276814,0.9999999999999957,True,B
511,2,1.0,8.43959990292411e-31,Baker Street,LU,True,527954.6729,182063.567500001,-0.1570581597729946,51.5230020037108,Baker Street,underground_stations_csv,75030.76102672383,826930.1649370067,True,0.15384615384615385,0.02564102564102564,0.0,0.7948717948717948,0.02564102564102564,0.0,0.0,826930.1649370154,1.0000000000000107,True,D
512,4,1.0,2.367453057314472e-36,Balham LU,LU,True,528480.3274,173244.480799999,-0.1526912294756308,51.44362737290878,Balham,underground_stations_csv,45341.0916581799,1550139.7748050364,True,0.6071428571428571,0.19047619047619047,0.0,0.17857142857142855,0.011904761904761904,0.011904761904761904,0.0,1550139.7748050313,0.9999999999999967,True,A
513,1,1.0,4.844276997705683e-24,Bank and Monument,"DLR,LU",True,532710.1551,181119.8978,-0.088908087271181,51.513425435909184,Bank,underground_stations_csv,123963.7431025811,270882.80513192236,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,270882.8051319188,0.9999999999999869,True,D
5131,4,0.9995092310648998,0.0042300806178039,Abbey Wood,EZL,False,547351.3333333334,179059.66666666666,0.1210766666666666,51.49129,Abbey Wood Station,naptan_rse_tmu,55432.08365988647,2007391.0339494327,True,0.0,0.046875,0.015625,0.0,0.203125,0.703125,0.03125,2007391.0339494373,1.0000000000000022,True,F
514,4,1.0,1.0371505326662188e-22,Barking,"LO,LU",True,544358.8052,184382.179,0.080182080144555,51.539885097485445,Barking,underground_stations_csv,69390.79412222427,1986932.0038579528,True,0.0,0.0,0.48148148148148145,0.024691358024691357,0.35802469135802467,0.13580246913580246,0.0,1959906.964988362,0.9863986091033226,True,C
515,0,1.0,1.8807335437573832e-36,Barkingside,LU,True,544798.7557,189493.9487,0.0886252042343672,51.58570377518845,Barkingside,underground_stations_csv,4761.892493370778,1622174.0786462568,True,0.0,0.0,0.9375,0.0,0.0,0.0625,0.0,1622174.0786462515,0.9999999999999967,True,C
5150,4,1.0,1.7977740313927193e-17,New Cross,LO,False,536756.0,177119.0,-0.03219,51.47651,New Cross Station,naptan_rse_tmu,17203.457531574866,996680.6439403042,True,0.0,0.29032258064516125,0.0,0.14516129032258063,0.43548387096774194,0.12903225806451613,0.0,996680.6439402848,0.9999999999999806,True,E
