NLC,total_activity,log_total_activity,direction_balance,post_2300_share,midnight_share_common_window,night_tube_extension_share,post_0100_share,common_window_persistence,weekend_common_ratio,volume_band,cluster,Station,mode_label,tot_entry,tot_exit,easting,northing,lon,lat,coord_source,catchment_area_m2,station_in_lnwc_extent,lnwc_1_share,lnwc_2_share,lnwc_3_share,lnwc_4_share,lnwc_5_share,lnwc_6_share,lnwc_7_share,covered_area_m2,lnwc_coverage_ratio,analysis_eligible,dominant_lnwc,lnwc_entropy_normalized,exclusion_reason
517,16717.59432058,9.72427681136882,-0.2099597253714326,0.1211060855046372,0.0298721246737787,0.0012841002358597,0.0007907265407036,0.0477249651912303,1.1123525396319067,medium,2,Bayswater,LU,6603.786404080001,10113.8079165,525842.957,180822.646199999,-0.1879225224209527,51.51232394663448,underground_stations_csv,430477.21646151354,True,0.0447442571032684,0.5156983129820757,0.43955742991465585,0.0,0.0,0.0,0.0,430477.2164614973,0.9999999999999623,True,2,0.4326171885112603,
518,10009.019917568412,9.21134186207436,-0.5727960930760533,0.1085945941106958,0.036935153862339,0.0174814660784152,0.0104952695310628,0.0531999838179498,0.6324132281232546,medium,0,Becontree,LU,2137.946206632412,7871.073710935999,547627.5438,184527.341,0.1273417848283317,51.54034470776378,underground_stations_csv,1958219.6117049828,True,0.0,0.0,0.0500565558218662,0.1654530935216127,0.7137037985882921,0.07078655206822901,0.0,1958219.6117049775,0.9999999999999972,True,5,0.450037649457127,
519,18062.861970411297,9.801668645218273,-0.1482884650867335,0.1216838528751292,0.0294420515839886,0.0386573994264136,0.0177816955214756,0.0434058010603529,0.7395206590769943,medium,4,Belsize Park,LU,7692.173946872739,10370.688023538569,527353.7983,185088.897399999,-0.1646209868164118,51.55032570077621,underground_stations_csv,872100.2273330617,True,0.1525695548189894,0.6032039747214005,0.2088517969939266,0.03537467346568353,0.0,0.0,0.0,872100.2273330718,1.0000000000000115,True,2,0.5329504188764365,
520,53180.23618422369,10.88146090981123,-0.1420617351112874,0.1766628986651576,0.0458645153422457,0.0801606473291784,0.0408623149785054,0.074853865959854,0.9197338984095031,high,4,Bethnal Green LU,"LO,LU",22812.6797791324,30367.55640509129,535043.5417,182718.410700001,-0.0546903019258305,51.527237667207054,underground_stations_csv,878428.8796823147,True,0.2550508497348371,0.6408221048958089,0.1026697381882912,0.0014573071810626578,0.0,0.0,0.0,878428.8796823177,1.0000000000000036,True,2,0.45061725527434604,
521,35737.95363923861,10.483996511262976,0.1567037406670216,0.0869331796761019,0.0206139438274949,0.0013067617286917,0.0006593832194925,0.0289865633325088,0.5376192094244548,high,2,Blackfriars LU,LU,20669.112329145944,15068.84131009266,531693.8776,180893.0855,-0.103629638137254,51.51162476747557,underground_stations_csv,526642.6124917677,True,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,344568.4163832788,0.654273710881428,True,1,-1.1410835440311978e-16,
522,40149.850876836455,10.600398911599578,-0.4642687087069171,0.1636144376935991,0.0433954661120258,0.066153868739834,0.0320719484954741,0.0681077367116161,0.8140081796458517,high,4,Blackhorse Road,"LO,LU",10754.765727736152,29395.085149100323,535760.6278,189370.2981,-0.041793873795219,51.586840594392974,underground_stations_csv,1565022.7332747476,True,0.0,0.02704687262606762,0.0,0.6415204180902905,0.2779775685094532,0.0,0.05345514077418873,1565022.7332747441,0.9999999999999978,True,4,0.45986742597932356,
523,5855.107481398567,8.675240409536677,-0.319928789510899,0.1541799468550381,0.0626034275549423,0.0151835046811138,0.0109139651721705,0.1018148474177267,0.8755031251920741,low,3,King George V,DLR,1990.9450162092585,3864.162465189309,543247.0,180125.0,0.06243,51.501915,naptan_rse_tmu,1118450.869910721,True,1.3285293143804668e-07,0.0,0.17203078713783632,0.004594889124553394,0.8233741908846788,0.0,0.0,705340.1271205873,0.6306402418703382,True,5,0.25054704657398474,
524,153076.6295053877,11.938700454087806,0.5007499363919709,0.0903143386808287,0.0214489649850881,0.0217945834456787,0.0101792877623332,0.0305088873261799,0.7375944902654422,high,1,Bond Street,"EZL,LU",114864.87099665396,38211.75850873378,528490.674,181117.635,-0.1496811425789451,51.51437958002913,underground_stations_csv,569193.8607293953,True,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,569193.8607293689,0.9999999999999536,True,1,1.1410835440311978e-16,
525,17856.60961822,9.790185005507835,0.0011946318162342,0.1328512618699716,0.0401691602757868,0.003356876578052,0.001960427268807,0.0645172161712182,0.8829796394422516,medium,2,Borough,LU,8938.970846100001,8917.638772120004,532439.9633,179751.461100001,-0.0933129512735988,51.5011913652754,underground_stations_csv,833716.7040598297,True,0.7119593166833464,0.25145206726462466,0.03658861605202889,0.0,0.0,0.0,0.0,833716.704059846,1.0000000000000195,True,1,0.3648900545844313,
526,4990.382503890156,8.515468205260753,-0.4939778316027345,0.1679348849437619,0.0437164419360081,0.0760490642305755,0.0359034540844731,0.0684007006861509,0.8362006842500928,low,4,Boston Manor,LU,1262.6220878751355,3727.76041601502,516333.5188,178693.009,-0.3255952087308763,51.495219674970095,underground_stations_csv,1750049.5930790636,True,0.0,0.0,0.0,0.0,0.5161187491722827,0.13979239160112275,0.3440888592265944,1750049.593079072,1.0000000000000049,True,5,0.5054285531034064,
527,17652.05632646356,9.778664210342903,-0.5566022359120963,0.170292878751756,0.0483217424095492,0.0704461110290519,0.0347113023636878,0.0753847556148769,0.7561632338523945,medium,4,Bounds Green,LU,3913.441153353837,13738.615173109723,529984.4864,191469.272600001,-0.124341977871115,51.60706378685743,underground_stations_csv,1837281.0780255897,True,0.037760633942047525,0.06604759406491245,0.07085747418892782,0.6354585253982409,0.18987577240587125,0.0,0.0,1837281.078025578,0.9999999999999937,True,4,0.5623812997455041,
528,18998.70603240849,9.852178786050384,-0.3160873117916718,0.1501208928900541,0.0479619389706149,0.0135152848333555,0.007814807208635,0.0802860169932815,0.8216225232848932,medium,4,Bow Road,LU,6496.728057552135,12501.977974856343,537089.8973,182735.951300001,-0.0252032121690731,51.526902665586434,underground_stations_csv,577113.1952672513,True,0.33560035206228706,0.5441323254593077,0.04644709148247311,0.0738202309959323,0.0,0.0,0.0,577113.1952672271,0.999999999999958,True,2,0.5306051000637897,
529,6647.912770347753,8.802208627102644,-0.376181764789266,0.140204317880813,0.0365804772213832,0.0521097665895089,0.0239187867896613,0.0545438971717354,0.7344192556304447,low,4,Brent Cross,LU,2073.5446061166176,4574.3681642311385,523873.7006,187934.037,-0.2137847584215133,51.57666898367216,underground_stations_csv,1793474.5471181367,True,0.0,0.0,0.05298193878262135,0.2813775781771875,0.658923980142889,0.006716502897302195,0.0,1793474.5471181353,0.9999999999999992,True,5,0.4218723855782422,
530,15791.65384053436,9.667300164092156,-0.3897331899378427,0.1419666277308987,0.0449217757142807,0.0129589553906149,0.0072435916852967,0.0719256276079653,0.8624137336975358,medium,4,Bromley-by-Bow,LU,4818.561107434362,10973.092733099998,538049.5634,182523.513599999,-0.0114614594625467,51.52476012571751,underground_stations_csv,783554.2121903172,True,0.0,3.321778477132303e-05,0.5495668869389786,0.45039989527625024,0.0,0.0,0.0,783554.2121903561,1.0000000000000495,True,3,0.35385735974671734,
