metric,group_i,group_j,z,p_value,p_fdr_bh
direction_balance,2,4,3.5288801676803057,0.00041732205518016613,0.0006259830827702492
direction_balance,2,5,8.057420441820359,7.792127442440268e-16,4.09086690728114e-15
direction_balance,2,6,6.722252105027018,1.789370019154911e-11,6.262795067042187e-11
direction_balance,2,7,5.845312887613067,5.056169881140903e-09,1.327244593799487e-08
direction_balance,3,4,1.282740918491988,0.19958285916905172,0.2328466690305603
direction_balance,3,5,5.068885110076708,4.0015266527394213e-07,8.403205970752785e-07
direction_balance,3,6,4.303670615119571,1.6799136681445306e-05,3.207107911912286e-05
direction_balance,3,7,3.926449761932557,8.620888805847731e-05,0.0001508655541023353
direction_balance,4,5,3.877912504696334,0.00010535659181748689,0.00017019141755132496
direction_balance,4,6,3.2031199133518538,0.0013594736164592772,0.0019032630630429882
direction_balance,4,7,2.96995187084204,0.0029784640910474765,0.003909234119499813
direction_balance,5,6,-0.1739986553189972,0.8618665190116687,0.8618665190116686
direction_balance,5,7,0.17659075887858394,0.8598298533520277,0.8618665190116686
direction_balance,6,7,0.2899114683771267,0.7718839677430376,0.8531349117159889
weekend_ratio,1,2,0.12533687589267853,0.9002568596116721,0.9002568596116721
weekend_ratio,1,3,2.695052624450018,0.007037751498482475,0.008210710081562886
weekend_ratio,1,4,5.103337613865808,3.337148740732913e-07,5.00572311109937e-07
weekend_ratio,1,5,10.905539968416958,1.084474802566078e-27,3.795661808981272e-27
weekend_ratio,1,6,10.845003507011363,2.1062778737223908e-27,6.318833621167172e-27
weekend_ratio,1,7,11.764186662519768,5.969888674798728e-32,3.134191554269332e-31
weekend_ratio,2,3,3.45753750211948,0.0005451363629219908,0.000715491476335113
weekend_ratio,2,4,6.845730491504251,7.608660438196642e-12,1.2290913015548423e-11
weekend_ratio,2,5,15.697530023736064,1.5724628708628243e-55,3.302172028811931e-54
weekend_ratio,2,6,14.467846026835108,1.9343539011871541e-47,1.3540477308310078e-46
weekend_ratio,2,7,14.544802872991133,6.301210006875993e-48,6.616270507219792e-47
weekend_ratio,3,4,2.925876902225696,0.0034348682105500156,0.004243072495385313
weekend_ratio,3,5,10.374063702613556,3.2538633434051903e-25,8.541391276438625e-25
weekend_ratio,3,6,10.083349537148239,6.545592549220183e-24,1.527304928151376e-23
weekend_ratio,3,7,10.996735111571526,3.9621874863091067e-28,1.664118744249825e-27
weekend_ratio,4,5,7.58613181366086,3.2959712972135616e-14,5.81081950656867e-14
weekend_ratio,4,6,7.585171787894003,3.3204682894678116e-14,5.81081950656867e-14
weekend_ratio,4,7,8.880031310897847,6.684154498059553e-19,1.403672444592506e-18
weekend_ratio,5,6,1.1135955218748363,0.265452748425933,0.27872538584722967
weekend_ratio,5,7,3.6241460717086946,0.0002899177278551481,0.00040588481899720737
weekend_ratio,6,7,2.48896888912031,0.012811417601206677,0.014159987875017906
