lsoa,direction,TV_alpha0_alpha5
E01000587,boardings,0.01655358524879036
E01000589,boardings,0.002917713395268509
E01000590,boardings,0.005110890791951326
E01000591,boardings,0.0016207134413604193
E01000592,boardings,0.0004403304909254706
E01000594,boardings,0.000232438872669291
E01000595,boardings,0.011258908991202281
E01000596,boardings,0.002817760574856434
E01000599,boardings,0.0013577968974102436
E01000601,boardings,0.0007320603690109527
E01000602,boardings,0.00378930225999857
E01000603,boardings,0.0017699797896903095
E01000604,boardings,0.008388623461951107
E01000605,boardings,0.0015259467966206972
E01000606,boardings,0.009812287317891584
E01000608,boardings,0.0001396326058563963
E01000609,boardings,0.019008398088591658
E01000612,boardings,0.00024170979259451034
E01000615,boardings,0.007986120452419872
E01000616,boardings,0.0008954442016465735
E01000620,boardings,0.000308242295236159
E01000621,boardings,0.0005477088408618173
E01000622,boardings,0.022993193778056833
E01000623,boardings,0.001731968342766494
E01000625,boardings,0.0020785506751907668
E01000626,boardings,0.0006424489521949265
E01000627,boardings,0.0014170230481560648
E01000628,boardings,0.00033935710261569555
E01000633,boardings,1.3467092542902674e-05
E01000634,boardings,0.00024553653187353987
E01000636,boardings,0.0006011073547708692
E01000638,boardings,0.00012104988301168181
E01000640,boardings,0.0001743304451062612
E01000642,boardings,5.656520184363107e-05
E01000643,boardings,0.00032116016517944285
E01000645,boardings,0.06012506084114923
E01000646,boardings,0.007264524367137756
E01000648,boardings,0.013580401188869462
E01000649,boardings,0.0040563184565358045
E01000650,boardings,0.018553521325391703
E01000651,boardings,0.01967826557920765
E01000653,boardings,0.018493750664684123
E01000656,boardings,0.014624709484212992
E01000657,boardings,0.008752642753454446
E01000659,boardings,0.010994346022133332
E01000661,boardings,0.0019525685938302111
E01000662,boardings,0.0040453871061053946
E01000663,boardings,0.012895761295625457
E01000664,boardings,0.06445762764531424
E01000665,boardings,0.001542641963903987
E01000666,boardings,0.005984030485025579
E01000667,boardings,0.03133928203611097
E01000668,boardings,0.0010873972304037928
E01000670,boardings,0.0018454318627654479
E01000671,boardings,0.002450717301028967
E01000672,boardings,0.019940369244409152
E01000673,boardings,0.036367816681952894
E01000674,boardings,0.009176468453425622
E01000676,boardings,0.00013039778276514128
E01000677,boardings,0.004261163217525049
E01000678,boardings,0.0022873710360338836
E01000679,boardings,0.02411032574652695
E01000682,boardings,0.012794470924965141
E01000683,boardings,0.016050948864614147
E01000684,boardings,0.030069356880606173
E01000685,boardings,0.02536743514774886
E01000686,boardings,0.003765717514267031
E01000687,boardings,0.007131613280649088
E01000689,boardings,0.06702773428844011
E01000690,boardings,0.00741342487445592
E01000691,boardings,0.006478634710042286
E01000692,boardings,0.0011077274961437868
E01000693,boardings,0.0011592848089211052
E01000694,boardings,0.010973842435126346
E01000696,boardings,0.0014296346443312684
E01000697,boardings,0.0016503633131782214
E01000698,boardings,0.03707172366175304
E01000699,boardings,0.00308587784700436
E01000700,boardings,0.02078376091828008
E01000702,boardings,0.001839476481458515
E01000703,boardings,0.0005139871241171929
E01000704,boardings,0.01611596547232155
E01000705,boardings,0.0021872529915005594
E01000706,boardings,0.000998675262284059
E01000707,boardings,0.007821018054270414
E01000708,boardings,0.0015965329508497027
E01000709,boardings,0.0390739887555261
E01000710,boardings,0.016497080378006148
E01000711,boardings,0.03770330398789343
E01000712,boardings,0.002451372030188952
