covariance,K,BIC,AIC,converged,n_iter,fit_seconds,warnings,min_cluster_n,min_cluster_share,max_cluster_n,max_cluster_share,sizes_desc
spherical,12,-1655208.4873339958,-1660696.1281861654,True,52,3.2314417000015965,,164,0.0456443083774005,432,0.12023378792095742,"[432, 392, 370, 364, 330, 299, 290, 283, 244, 225, 200, 164]"
diag,2,-1829683.672967679,-1831471.6416331548,True,17,1.3645309999992605,,1611,0.4483718341219037,1982,0.5516281658780963,"[1982, 1611]"
diag,3,-1875158.7101160586,-1877843.756485666,True,14,1.068586299996241,,488,0.13581964931811857,1577,0.4389089897021987,"[1577, 1528, 488]"
diag,4,-1896386.8976591735,-1899969.0217329122,True,7,1.9399925000034273,,409,0.11383245198998052,1414,0.39354300027831896,"[1414, 965, 805, 409]"
diag,5,-1910477.9493951113,-1914957.1511729816,True,20,2.457200599994394,,366,0.10186473698858892,1085,0.3019760645699972,"[1085, 773, 752, 617, 366]"
diag,6,-1920480.7952962003,-1925857.074778202,True,43,2.905201200002921,,244,0.06790982465905929,1064,0.2961313665460618,"[1064, 763, 628, 603, 291, 244]"
diag,7,-1928059.6688332988,-1934333.0260194319,True,19,2.4495673999990686,,239,0.0665182298914556,1015,0.2824937378235458,"[1015, 650, 502, 491, 381, 315, 239]"
diag,8,-1934201.4964901197,-1941371.9313803844,True,13,2.228133600001456,,235,0.06540495407737267,756,0.21040912886167548,"[756, 647, 495, 476, 347, 320, 317, 235]"
diag,9,-1938822.3993497284,-1946889.9119441244,True,14,2.4910926000011386,,190,0.052880601168939605,774,0.2154188700250487,"[774, 548, 447, 391, 386, 319, 315, 223, 190]"
diag,10,-1943815.898736715,-1952780.4890352425,True,18,3.078716899995925,,131,0.03645978291121625,686,0.19092680211522406,"[686, 520, 461, 423, 351, 329, 287, 208, 197, 131]"
diag,11,-1947084.571003893,-1956946.239006552,True,10,3.1182040000057896,,147,0.04091288616754801,702,0.1953799053715558,"[702, 463, 405, 369, 326, 287, 280, 231, 208, 175, 147]"
diag,12,-1948972.918916095,-1959731.6646228854,True,67,3.088898699999845,,84,0.02337879209574172,869,0.2418591706095185,"[869, 474, 410, 348, 305, 292, 230, 185, 147, 143, 106, 84]"
tied,2,-2009442.9467156825,-2026598.7844643483,True,26,1.9230621000024257,,328,0.091288616754801,3265,0.908711383245199,"[3265, 328]"
tied,3,-2010297.281206462,-2027904.751178587,True,44,5.377766399993561,,114,0.03172836070136376,3190,0.8878374617311439,"[3190, 289, 114]"
tied,4,-2011272.4441828674,-2029331.5463784519,True,34,4.790509999998903,,67,0.01864736988588923,3096,0.8616754801001948,"[3096, 299, 131, 67]"
tied,5,-2012519.454305578,-2031030.1887246217,True,77,9.16495710000163,,49,0.013637628722516002,3078,0.8566657389368216,"[3078, 281, 128, 57, 49]"
tied,6,-2013203.4518105842,-2032165.818453087,True,57,11.110029299998132,,55,0.015307542443640411,2853,0.7940439743946562,"[2853, 256, 252, 89, 88, 55]"
tied,7,-2013761.0097278627,-2033175.008593825,True,50,10.446307400001388,,55,0.015307542443640411,2791,0.7767881992763708,"[2791, 251, 251, 87, 80, 78, 55]"
tied,8,-2014425.20547599,-2034290.8365654114,True,54,11.510318200002075,,39,0.010854439187308655,2726,0.758697467297523,"[2726, 251, 224, 131, 84, 79, 59, 39]"
tied,9,-2015241.3301097502,-2035558.593422631,True,37,13.914634699998714,,17,0.004731422209852491,2756,0.767047035903145,"[2756, 249, 232, 86, 81, 78, 49, 45, 17]"
tied,10,-2015185.9675512367,-2035954.8630875768,True,65,16.190085000002,,34,0.009462844419704982,2379,0.662120790425828,"[2379, 384, 234, 182, 93, 84, 83, 74, 46, 34]"
tied,11,-2016109.1407487825,-2037329.6685085818,True,38,17.269721600001503,,2,0.0005566379070414695,2366,0.6585026440300584,"[2366, 390, 221, 186, 92, 90, 82, 76, 54, 34, 2]"
tied,12,-2016161.311971459,-2037833.4719547178,True,82,19.83712170000217,,2,0.0005566379070414695,2583,0.718897856944058,"[2583, 249, 241, 186, 87, 74, 63, 34, 27, 27, 20, 2]"
full,2,-2040112.2941787487,-2073526.8919719488,True,24,3.4466204999989714,,1117,0.31088227108266075,2476,0.6891177289173392,"[2476, 1117]"
full,3,-2061871.9550624928,-2111996.9451236865,True,24,4.750620699996944,,494,0.13748956303924298,1882,0.5237962705260228,"[1882, 1217, 494]"
full,4,-2052755.7236094526,-2119591.10593864,True,38,7.167816799999855,,255,0.07097133314778736,1430,0.3979961035346507,"[1430, 1040, 868, 255]"
full,5,-2037350.528972154,-2120896.303569335,True,29,8.82253170000331,,192,0.05343723907598107,1109,0.3086557194544948,"[1109, 1035, 1035, 222, 192]"
full,6,-2020534.640258436,-2120790.8071236107,True,44,10.897153899997647,,133,0.03701642081825773,1451,0.40384080155858615,"[1451, 1031, 657, 182, 139, 133]"
full,7,-2004324.3984278052,-2121290.9575609732,True,24,11.461055899999337,,108,0.030058446980239354,1076,0.2994711939883106,"[1076, 946, 935, 244, 151, 133, 108]"
full,8,-1987689.486542674,-2121366.4379438357,True,28,15.01260480000201,,75,0.020873921514055108,866,0.2410242137489563,"[866, 763, 716, 580, 319, 141, 133, 75]"
full,9,-1968607.1881207137,-2118994.531789869,True,41,15.702531099996122,,84,0.02337879209574172,1089,0.30308934038408014,"[1089, 789, 613, 350, 329, 123, 118, 98, 84]"
full,10,-1951143.3458141482,-2118241.081751297,True,32,23.08295000000362,,78,0.02170887837461731,1147,0.3192318396882828,"[1147, 741, 715, 256, 206, 160, 119, 92, 79, 78]"
full,11,-1932738.362903368,-2116546.4911085106,True,41,25.84842480000225,,69,0.0192040077929307,783,0.2179237406067353,"[783, 757, 681, 565, 157, 146, 141, 118, 96, 80, 69]"
full,12,-1912497.6902968204,-2113016.2107699565,True,24,24.259468199998082,,43,0.011967715001391595,871,0.24241580851655997,"[871, 848, 833, 215, 183, 166, 99, 92, 87, 85, 71, 43]"
