K,replicate,seed,ARI,mean_matched_cluster_jaccard,min_matched_cluster_jaccard,fit_seconds,converged,warnings
4,5,1796490375,0.6335202359510514,0.6370461886892498,0.4311064718162839,0.7241741999969236,True,
4,6,1647077857,0.6500483322360432,0.6175735972094513,0.39692307692307693,0.8991409000009298,True,
4,7,1928373201,0.5641899744061882,0.5406421647196517,0.28611898016997167,1.0475512999983039,True,
4,8,1683056741,0.668054346423927,0.6415538648523114,0.42018537590113286,1.1916713999962667,True,
4,9,79790361,0.6222658615351814,0.5852444918820585,0.35728744939271256,0.8730222999947728,True,
4,10,1593885950,0.6098964674308467,0.5881612916276524,0.2903225806451613,1.1159075000032317,True,
4,11,1773420923,0.5479729286338592,0.5232645228633732,0.2676767676767677,1.2548681999978726,True,
4,12,672040931,0.6125521314423034,0.6105973255135894,0.34024896265560167,0.914523300001747,True,
4,13,19580137,0.6014994518644519,0.5833860849456958,0.3247422680412371,1.3912138000014238,True,
4,14,491086688,0.618605014301006,0.589962980478,0.3364102564102564,0.7847001999980421,True,
4,15,1607549858,0.592691395027924,0.5762816117750263,0.3237704918032787,1.0912658000015654,True,
4,16,1292475530,0.6805123028549722,0.6742863874458532,0.5015641293013556,1.0904888000004576,True,
4,17,284577574,0.6344130245051057,0.6295887975929457,0.4252199413489736,0.9237796000015805,True,
4,18,575958139,0.7034575719212515,0.6696259117156611,0.43434343434343436,1.1350792999946862,True,
4,19,1021247301,0.6981556984061384,0.6887178949642829,0.5167364016736402,0.8922925000006217,True,
4,20,2136518290,0.713376088271237,0.714765361589184,0.5577942735949099,0.8694446000008611,True,
5,1,797973514,0.5273445158508201,0.45718457945089597,0.19420035149384884,1.1037993999998434,True,
5,2,155883028,0.525979366203206,0.4700529056318391,0.0,1.1645302000033553,True,
5,3,858284399,0.48851906325432964,0.4319285545390933,0.014084507042253521,1.1103422000014689,True,
5,4,863823220,0.5741351482488521,0.5156610954417308,0.22337662337662337,1.315364200003387,True,
5,5,639321317,0.5899338076948419,0.5724748600124097,0.30364372469635625,1.2209072999976343,True,
5,6,526089786,0.47844078572298276,0.45795382099877713,0.050960735171261484,1.434585299997707,True,
5,7,1704158049,0.4606981545154883,0.43461542060185465,0.0049586776859504135,1.423923799993645,True,
5,8,429845484,0.5221490522961926,0.44129422207535124,0.0,1.3122011999948882,True,
5,9,61100455,0.4807561212599888,0.37067653515066873,0.014035087719298246,2.0742228999952204,True,
5,10,74193338,0.4220121253981091,0.43087380194663244,0.20169851380042464,1.4132779999999912,True,
5,11,885846326,0.5294144401473316,0.4599501337321922,0.0,1.2953711000009207,True,
5,12,1210444544,0.5179307422327103,0.4630982633497992,0.011743450767841012,1.2402934999990975,True,
5,13,1775133031,0.48033727760996625,0.45106130121971305,0.0017937219730941704,1.1146217999994406,True,
5,14,1698310160,0.5035989338453976,0.43441937888286575,0.026223776223776224,1.1876466000030632,True,
5,15,1489842260,0.48686507904379295,0.4424032708612783,0.01445578231292517,1.3842871999950148,True,
5,16,1273789173,0.41905732267204826,0.40264222804569716,0.20567786790266512,1.3974589999997988,True,
5,17,2139925911,0.47982453257540764,0.43414532688458624,0.00176522506619594,1.652699999998731,True,
5,18,1115798860,0.4843783603699396,0.4398801427150837,0.006172839506172839,0.8280954000001657,True,
5,19,1898747491,0.4889461551685202,0.44724227248882853,0.04372937293729373,0.9183704000024591,True,
5,20,759003670,0.4853754580346068,0.4465138368376385,0.0017391304347826088,1.061791499996616,True,
6,1,1458926545,0.48551687735985233,0.4103113106057911,0.0068359375,1.6819996999984141,True,
6,2,801974962,0.6616010855768696,0.4501226573344002,0.21161825726141079,1.6475793999998132,True,
6,3,1769154140,0.6508697675026893,0.5750964875031565,0.3446969696969697,1.8392948000036995,True,
6,4,1370292771,0.6682793965110615,0.4599432892375799,0.09523809523809523,1.9750219999987166,True,
6,5,992931896,0.687525077437101,0.4369924939520291,0.14452554744525548,1.4583299000005354,True,
6,6,1659398825,0.579596210160553,0.44132853601670075,0.05945945945945946,2.0998181000031764,True,
6,7,1678566179,0.623886814912036,0.41437980617401005,0.05537459283387622,1.584432999996352,True,
6,8,1763622292,0.7089765168813361,0.46839890563132874,0.05263157894736842,1.6050509999986389,True,
6,9,1565870388,0.5935638671218011,0.4047828772301125,0.005865102639296188,1.5106747000027099,True,
6,10,1866538734,0.7311658600388676,0.577285330630038,0.3412698412698413,1.3724098999955459,True,
6,11,962088448,0.5196535502652381,0.3977275618284531,0.004906771344455349,1.8504769999999553,True,
6,12,1450914872,0.7120450650387093,0.5384285011690166,0.23369565217391305,1.5405086999962805,True,
6,13,958840827,0.5934630953761869,0.39762637549685254,0.07975460122699386,1.2393229000008432,True,
6,14,1581889402,0.6472662205418727,0.48151227283245035,0.2868965517241379,1.526322199999413,True,
6,15,1612380660,0.7552139546699596,0.5228757608760407,0.14622641509433962,1.5625268000003416,True,
6,16,245748008,0.6573101664117815,0.43356676207846984,0.05829596412556054,2.1385783000005176,True,
6,17,2107770855,0.6460926675803491,0.41138206163223523,0.005988023952095809,1.0978987999988021,True,
6,18,216178423,0.6047040222450532,0.47075645747925177,0.19626168224299065,2.036479900001723,True,
6,19,677533910,0.7410890487481654,0.5056305746232881,0.010169491525423728,1.367187299998477,True,
6,20,2123957655,0.6737292951808711,0.5429630382073318,0.2755102040816326,1.1727694000001065,True,
7,1,1576733935,0.49680628933936477,0.39369124499564406,0.0010384215991692627,1.889309600002889,True,
7,2,1072829933,0.49067945749743086,0.39148430295056497,0.03792415169660679,2.150211099993612,True,
7,3,1055885496,0.3961557017768048,0.31504108401251235,0.0,2.7617070999986026,True,
7,4,1100130974,0.5905685224630838,0.48354156509298335,0.25142857142857145,2.4714764000018477,True,
7,5,186115244,0.48181659004011584,0.35786018931475627,0.0,1.6913008999981685,True,
7,6,1245842594,0.4500899268912945,0.36744090130358487,0.09246575342465753,2.2864618000021437,True,
7,7,1000525002,0.5106589468686344,0.3727171425482271,0.033783783783783786,1.730444599998009,True,
7,8,345789111,0.49334533646362,0.3371008050616237,0.0,2.532453499996336,True,
7,9,682275684,0.5247945334592549,0.42050533540801727,0.16923076923076924,1.3884982000017771,True,
7,10,1087105868,0.5753561597074024,0.41320981052971356,0.0,1.702041000004101,True,
7,11,6899734,0.6644471571670942,0.5458592741464688,0.22797927461139897,2.436844399999245,True,
7,12,1195783472,0.5300060070228471,0.43977965250801265,0.2,1.660374300001422,True,
7,13,2090172998,0.49061843267093874,0.35906272532028055,0.0,1.8589542000045185,True,
7,14,2070792910,0.48135663693416314,0.3809134133944604,0.0374331550802139,2.4468511000013677,True,
7,15,1253115950,0.5175890011616452,0.37032322469015944,0.030136986301369864,2.472266500000842,True,
7,16,1365181558,0.4921008775692485,0.34224480285460973,0.0,1.9725857000012184,True,
7,17,462706129,0.44936417391348443,0.35198998123874314,0.007944389275074478,1.6866001000016695,True,
7,18,297517,0.5244851723773748,0.4338099148449074,0.10144927536231885,1.963798400000087,True,
7,19,984885361,0.45989628281760764,0.41735469112896817,0.310126582278481,1.6478130999967107,True,
7,20,1250701614,0.4899142641752412,0.3257209475123342,0.0,1.678140700001677,True,
8,1,168875901,0.39712006655955917,0.31370359216614174,0.0,2.306777699996019,True,
8,2,782397452,0.4108728229393431,0.3083831493722481,0.007194244604316547,2.3073057000001427,True,
8,3,1538010156,0.4338330547492986,0.31521042506979946,0.005291005291005291,2.663596399994276,True,
8,4,2044400049,0.43684422103995685,0.3528133051359087,0.05075187969924812,2.583361099998001,True,
8,5,943296444,0.38957916631320677,0.2999046398897629,0.09274193548387097,2.6635766999970656,True,
8,6,1439158218,0.4552320709065356,0.3822791655560438,0.0,2.359583500001463,True,
8,7,557496147,0.40877685630406807,0.2872701152898272,0.030042918454935622,3.000815799998236,True,
8,8,770201380,0.37785145110349827,0.3055210709770293,0.0,1.9007647999969777,True,
8,9,349084164,0.38899819384244727,0.30190673584897887,0.04980340760157274,2.6407494000013685,True,
8,10,540631778,0.3425357250952036,0.22918125205361412,0.0,2.24316109999927,True,
8,11,774167925,0.37109484311708424,0.239841541585803,0.002403846153846154,2.736513500000001,True,
8,12,912066950,0.3579803350683348,0.29582670300364444,0.017948717948717947,2.5771155999973416,True,
8,13,1680727485,0.40640434853987706,0.38154671088498326,0.0,2.451305400005367,True,
8,14,1856610084,0.4219815528487011,0.34163052312248254,0.022249690976514216,1.8904299999994691,True,
8,15,1939365174,0.39154928851113685,0.28016754712647096,0.039735099337748346,2.558258000004571,True,
8,16,1557941089,0.35779719781581587,0.2597924184501892,0.0,2.2062824000022374,True,
8,17,2027332233,0.4416706824308938,0.3843328768773525,0.0,2.0977593999996316,True,
8,18,394785236,0.33465687825796125,0.2695537560783164,0.08118433619866285,4.450521499995375,True,
8,19,846238427,0.39533367741169273,0.3080570383188883,0.004790419161676647,1.8374459999977262,True,
8,20,1019557476,0.39833323830808187,0.2958599658570808,0.002652519893899204,2.1425335000021732,True,
