K,replicate,base_cluster,matched_jaccard
5,2,1,0.8316993464052288
5,2,2,0.0
5,2,3,0.3443708609271523
5,2,4,0.6110174255199551
5,3,0,0.4610169491525424
5,3,1,0.7562550443906376
5,3,2,0.014084507042253521
5,3,3,0.2926829268292683
5,3,4,0.6356033452807647
5,4,0,0.3436426116838488
5,4,1,0.8611632270168855
5,4,2,0.44233937397034595
5,4,3,0.22337662337662337
5,4,4,0.7077836411609498
5,5,0,0.5467625899280576
5,5,1,0.8787061994609164
5,5,2,0.42320261437908496
5,5,3,0.30364372469635625
5,5,4,0.7100591715976331
5,6,0,0.53125
5,6,1,0.7576953433307024
5,6,2,0.050960735171261484
5,6,3,0.3543956043956044
5,6,4,0.5954674220963173
5,7,0,0.5845070422535211
5,7,1,0.6316947909024211
5,7,2,0.0049586776859504135
5,7,3,0.27672955974842767
5,7,4,0.6751870324189526
5,8,0,0.4479166666666667
5,8,1,0.8714161598609904
5,8,2,0.0
5,8,3,0.29775280898876405
5,8,4,0.5893854748603352
5,9,0,0.2288135593220339
5,9,1,0.7878302642113691
5,9,2,0.014035087719298246
5,9,3,0.2708860759493671
5,9,4,0.5518176885512751
5,10,0,0.5059288537549407
5,10,1,0.4422535211267606
5,10,2,0.27764565992865636
5,10,3,0.20169851380042464
5,10,4,0.7268424611223799
5,11,0,0.5094339622641509
5,11,1,0.8565400843881856
5,11,2,0.0
5,11,3,0.32941176470588235
5,11,4,0.604364857302742
5,12,0,0.5686274509803921
5,12,1,0.8114961961115807
5,12,2,0.011743450767841012
5,12,3,0.2950191570881226
5,12,4,0.6286050618010595
5,13,0,0.549645390070922
5,13,1,0.7402496099843994
5,13,2,0.0017937219730941704
5,13,3,0.3631713554987212
5,13,4,0.6004464285714286
5,14,0,0.3741721854304636
5,14,1,0.8580301685891748
5,14,2,0.026223776223776224
5,14,3,0.38596491228070173
5,14,4,0.5277058518902124
5,15,0,0.5365853658536586
5,15,1,0.731284475965327
5,15,2,0.01445578231292517
5,15,3,0.28160919540229884
5,15,4,0.6480815347721822
5,16,0,0.5078125
5,16,1,0.36003683241252304
5,16,2,0.20567786790266512
5,16,3,0.23653846153846153
5,16,4,0.7031454783748362
5,17,0,0.5277777777777778
5,17,1,0.6971470373079737
5,17,2,0.00176522506619594
5,17,3,0.2725450901803607
5,17,4,0.6714915040906231
5,18,0,0.5666666666666667
5,18,1,0.7062359128474831
5,18,2,0.006172839506172839
5,18,3,0.25942350332594233
5,18,4,0.6609017912291538
5,19,0,0.4402730375426621
5,19,1,0.8497409326424871
5,19,2,0.04372937293729373
5,19,3,0.3851508120649652
5,19,4,0.5173172072567345
5,20,0,0.5741444866920152
5,20,1,0.7039573820395738
5,20,2,0.0017391304347826088
5,20,3,0.28544423440453687
5,20,4,0.667283950617284
6,1,0,0.5312791783380019
6,1,1,0.35294117647058826
6,1,2,0.49344978165938863
6,1,3,0.0068359375
6,1,4,0.7469175859831279
6,1,5,0.3304442036836403
6,2,0,0.6884858044164038
6,2,1,0.22897196261682243
6,2,2,0.468
6,2,3,0.23109243697478993
6,2,4,0.8725674827369743
6,2,5,0.21161825726141079
6,3,0,0.7433712121212122
6,3,1,0.4885844748858447
6,3,2,0.5404255319148936
6,3,3,0.3446969696969697
6,3,4,0.8413747521480502
6,3,5,0.4921259842519685
6,4,0,0.7013677811550152
6,4,1,0.09523809523809523
6,4,2,0.3728813559322034
6,4,3,0.28451882845188287
6,4,4,0.8777633289986996
6,4,5,0.42789034564958284
6,5,0,0.7411402157164869
6,5,1,0.19106699751861042
6,5,2,0.49110320284697506
6,5,3,0.17679558011049723
6,5,4,0.8773234200743495
6,5,5,0.14452554744525548
6,6,0,0.7670405522001725
6,6,1,0.2923076923076923
6,6,2,0.41947565543071164
6,6,3,0.05945945945945946
6,6,4,0.7434620174346201
6,6,5,0.3662258392675483
6,7,0,0.6792727272727273
6,7,1,0.05537459283387622
6,7,2,0.4122448979591837
6,7,3,0.16279069767441862
6,7,4,0.8526522593320236
6,7,5,0.323943661971831
6,8,0,0.7568199532346064
6,8,1,0.05263157894736842
6,8,2,0.460431654676259
6,8,3,0.24293785310734464
6,8,4,0.8938223938223938
6,8,5,0.40375
6,9,0,0.7892976588628763
6,9,1,0.005865102639296188
6,9,2,0.3474903474903475
6,9,3,0.323943661971831
6,9,4,0.735066371681416
6,9,5,0.22703412073490814
6,10,0,0.8716279069767442
6,10,1,0.3412698412698413
6,10,2,0.5398230088495575
6,10,3,0.4030612244897959
6,10,4,0.848719475878499
6,10,5,0.45921052631578946
6,11,0,0.6042240587695134
6,11,1,0.22988505747126436
6,11,2,0.44214876033057854
6,11,3,0.004906771344455349
6,11,4,0.7669654289372599
6,11,5,0.3382352941176471
6,12,0,0.7748607796340493
6,12,1,0.391705069124424
6,12,2,0.46747967479674796
6,12,3,0.23369565217391305
6,12,4,0.8720496894409938
6,12,5,0.4907801418439716
6,13,0,0.41412742382271467
6,13,1,0.07975460122699386
6,13,2,0.4889705882352941
6,13,3,0.08947368421052632
6,13,4,0.8657498362802881
6,13,5,0.447682119205298
6,14,0,0.778702163061564
6,14,1,0.3783783783783784
6,14,2,0.29411764705882354
6,14,3,0.34801762114537443
6,14,4,0.8029612756264237
6,14,5,0.2868965517241379
6,15,0,0.8724954462659381
6,15,1,0.14622641509433962
6,15,2,0.3905109489051095
6,15,3,0.23076923076923078
6,15,4,0.8703339882121808
6,15,5,0.6269185360094451
6,16,0,0.7047691143073429
6,16,1,0.05829596412556054
6,16,2,0.42424242424242425
6,16,3,0.1651376146788991
6,16,4,0.8674388674388674
6,16,5,0.3815165876777251
6,17,0,0.7118780096308186
6,17,1,0.005988023952095809
6,17,2,0.3946360153256705
6,17,3,0.17131474103585656
6,17,4,0.8345996493278784
6,17,5,0.34987593052109184
6,18,0,0.7894736842105263
6,18,1,0.28719723183391005
6,18,2,0.3684210526315789
6,18,3,0.19626168224299065
