lsoa,cluster,max_posterior,entropy
E01000264,2,1.0,2.863789695553031e-52
E01000265,3,1.0,9.549381191630353e-23
E01000266,0,1.0,6.197231821169181e-32
E01000268,1,0.9999999999890292,2.8783970158970395e-10
E01000269,2,1.0,2.6919823426714295e-71
E01000271,2,1.0,1.7649384142818397e-81
E01000273,2,1.0,1.1394135904461615e-30
E01000274,3,1.0,1.5031573161172508e-22
E01000278,0,1.0,7.011495704890761e-14
E01000279,0,1.0,7.220051089972387e-18
E01000281,1,0.9999999999583196,1.0377335083821723e-09
E01000282,0,0.9999999999910187,2.372879689339333e-10
E01000283,0,1.0,2.661675441236604e-23
E01000284,2,1.0,1.2171507225282677e-22
E01000285,3,1.0,2.3167614827765911e-26
E01000286,3,1.0,5.23534291285645e-26
E01000287,3,1.0,1.5350352717566032e-28
E01000288,2,1.0,1.671658103301712e-78
E01000289,3,1.0,4.3688461388245345e-24
E01000290,0,1.0,6.578099961117074e-21
E01000292,3,1.0,5.258714930487972e-25
E01000296,1,0.999999999999801,6.145507512799495e-12
E01000297,0,0.999999999999929,2.416348677638316e-12
E01000298,1,0.9999999999956941,1.1698994936709274e-10
E01000299,1,1.0,8.876725350396999e-14
E01000301,0,1.0,1.5690731269954291e-35
E01000302,2,1.0,1.2716647564703224e-29
E01000305,1,0.9999999999945004,1.4813694792837072e-10
E01000307,1,0.984396566348275,0.08039546965502475
E01000309,2,0.9999999999989413,3.018334704382444e-11
E01000310,1,0.9999999999999858,2.509698674346812e-13
E01000313,1,1.0,2.882692579798843e-14
E01000314,1,0.9999999980153973,4.175167111874547e-08
E01000315,0,1.0,2.212591504058123e-19
E01000316,1,0.9999999999643592,8.930124311715957e-10
E01000318,2,1.0,7.44349913900511e-98
E01000321,2,1.0,2.222500327104449e-17
E01000323,1,1.0,5.0359840754488375e-16
E01000324,2,1.0,3.735806837480839e-77
E01000325,3,1.0,2.431814212962381e-23
E01000326,3,1.0,4.1463418929822675e-24
E01000327,2,1.0,1.593233183920286e-155
E01000329,0,1.0,6.44082475508088e-14
E01000330,2,1.0,5.522888428151433e-66
E01000331,2,1.0,4.6589069784451666e-68
E01000332,3,1.0,1.0932584418580133e-27
E01000333,3,1.0,4.1619162918416633e-26
E01000335,3,1.0,6.768948726397675e-23
E01000336,0,1.0,8.57835841790425e-14
E01000338,3,1.0,3.465890120935234e-25
E01000340,2,1.0,1.1603418209564916e-108
E01000343,2,1.0,1.275422452467485e-67
E01000344,3,1.0,1.649156108376599e-23
E01000345,0,1.0,2.5478247639844103e-20
E01000347,2,1.0,1.7990657981154434e-23
E01000349,2,1.0,1.3767095272165376e-144
E01000350,0,1.0,1.79413783139567e-13
E01000352,2,1.0,2.964160126966443e-60
E01000353,0,1.0,1.4749315764915392e-19
E01000354,3,1.0,6.372950799720278e-23
E01000356,3,1.0,8.236786753753462e-22
E01000358,0,1.0,4.949040696083878e-17
E01000359,0,1.0,5.4545428981929695e-17
E01000360,1,0.9999999995058317,1.108330780157218e-08
E01000362,1,1.0,2.2797762476338023e-15
E01000363,0,1.0,3.962619253054817e-34
E01000367,2,1.0,2.4093866319428305e-69
E01000369,2,1.0,1.468552309790155e-141
E01000370,2,1.0,1.941389271540527e-27
E01000374,0,1.0,1.069476238600105e-19
E01000375,3,1.0,3.294952396336789e-24
E01000383,0,1.0,4.758284024949678e-16
E01000384,2,1.0,1.0713480210604025e-103
E01000385,0,1.0,9.101463078438033e-17
E01000386,1,0.9999999967072739,6.760472936271036e-08
E01000389,2,1.0,1.5160693959266848e-29
E01000392,2,1.0,1.6919172392287113e-16
E01000394,2,1.0,1.5837592928148002e-99
E01000398,0,0.9999999999999858,4.1237490314606437e-13
E01000399,2,1.0,1.4430840961959816e-44
E01000400,3,1.0,8.301384475323687e-24
E01000402,3,1.0,8.934203344395702e-26
E01000403,1,0.9999999999985363,4.1407728679806085e-11
E01000404,3,1.0,9.61099908883874e-28
E01000405,3,1.0,1.0192462057487293e-23
E01000406,3,1.0,1.68926879070768e-23
