lsoa,rep_stop,n_stops
E01001607,WELL HALL ROAD / WELL HALL ROUNDABOUT,1
E01001608,GOUROCK ROAD,4
E01001609,ELTHAM CHURCH / WELL HALL ROAD,4
E01001610,WELL HALL ROAD / DUNBLANE ROAD,1
E01001611,ARBROATH ROAD,3
E01001613,ELTHAM HIGH STREET / FOOTS CRAY ROAD,9
E01001614,RENNETS WOOD ROAD,12
E01001615,ELTHAM HIGH STREET / PASSEY PLACE,18
E01001617,NEW ELTHAM STATION  / FOOTSCRAY ROAD,8
E01001618,AVERY HILL ROAD / HALFWAY STREET,6
E01001619,MERCHLAND ROAD,2
E01001620,HAIMO ROAD,5
E01001621,ELMBROOK GARDENS,4
E01001623,BROAD WALK,2
E01001624,DICKSON ROAD,2
E01001625,WENDOVER ROAD,9
E01001629,BURRAGE ROAD / ARTHUR GROVE,4
E01001631,PLUMSTEAD ROAD / PLUMSTEAD STATION,5
E01001632,GRIFFIN ROAD / BREWERY ROAD,6
E01001633,FOXFIELD PRIMARY SCHOOL,2
E01001634,GLYNDON COMMUNITY CENTRE,2
E01001635,WARWICK TERRACE / PLUMSTEAD COMMON ROAD,3
E01001637,PLUMSTEAD COMMON / THE SHIP,3
E01001638,MORDEN HILL,1
E01001641,NATIONAL MARITIME MUSEUM,9
E01001642,WAT TYLER ROAD,6
E01001644,DEPTFORD BRIDGE,11
E01001645,BROAD WALK,8
E01001646,GREENWICH HEIGHTS,7
E01001647,WOOLACOMBE ROAD,8
E01001648,SHOOTERS HILL ROAD / WELL HALL ROAD,4
E01001651,CHARLTON PARK LANE,4
E01001652,WEYMAN ROAD,9
E01001653,NEWMARKET GREEN,2
E01001654,ALNWICK ROAD / MOTTINGHAM LANE,3
E01001655,KINGSGROUND,8
E01001656,WINGFIELD SCHOOL,2
E01001658,ELTHAM ROAD / KIDBROOKE PARK ROAD,11
E01001659,ELTHAM ROAD / WESTHORNE AVENUE,5
E01001660,HORNCASTLE ROAD,2
E01001661,WESTHORNE AVENUE / ELTHAM ROAD,14
E01001665,KEMSING ROAD,7
E01001666,WOOLWICH ROAD / VICTORIA WAY,11
E01001669,RUTHERGLEN ROAD,3
E01001671,THE SLADE / RAVINE GROVE,5
E01001673,LAKEDALE ROAD,9
E01001674,BROOKDENE ROAD,5
E01001676,PLUMSTEAD CORNER / CHURCH MANORWAY,6
E01001677,PLUMSTEAD HIGH ST / THE PLUMSTEAD CENTRE,3
E01001678,THORNHILL AVENUE,3
E01001680,EAGLESFIELD ROAD,5
E01001682,MEMORIAL HOSPITAL,10
E01001683,PLUMSTEAD COMMON / THE SHIP,5
E01001684,FLAXTON ROAD / VOCE ROAD,8
E01001685,THORNHILL AVENUE,4
E01001686,EGLINTON ROAD,7
E01001687,HADDEN ROAD,4
E01001688,LINTON MEAD PRIMARY SCHOOL,8
E01001690,THAMESMEAD / CARLYLE ROAD,2
E01001693,THAMESMEAD / CARLYLE ROAD,4
E01001694,SOUTHWOOD ROAD,2
E01001695,CRESCENT ROAD,1
E01001696,WOOLWICH ARSENAL STATION,5
E01001697,FREDERICK PLACE,4
E01001698,ALL SAINTS CHURCH,1
E01001699,GUNNER LANE,10
E01001700,HERBERT ROAD,4
E01001701,QUEEN ELIZABETH HOSPITAL / MAIN ENTRANCE,19
E01001703,HERBERT ROAD / PLUMSTEAD COMMON ROAD,2
E01001704,TRINITY CHURCH,2
E01001705,ARTILLERY PLACE / FRANCES STREET,1
E01001708,ERWOOD ROAD,5
E01001710,RED BARRACKS ROAD,4
E01001712,KINGSMAN STREET,4
E01001714,PORTLAND RISE,7
E01001716,ALEXANDRA GROVE,1
E01001717,LORDSHIP PARK,2
E01001718,CITY & ISLINGTON COLLEGE,2
E01001719,BROWNSWOOD ROAD,4
E01001720,BROWNSWOOD ROAD / FINSBURY PARK ROAD,2
E01001722,ROSSINGTON STREET,5
E01001723,,1
E01001724,NORTHWOLD ROAD / STOKE NEWINGTON COMMON,5
E01001726,STAMFORD HILL LIBRARY,1
E01001727,FOUNTAYNE ROAD,1
E01001728,CAZENOVE ROAD,4
E01001729,HOMERTON HOSPITAL / WARDLE STREET,5
E01001730,BANISTER HOUSE,7
E01001731,HACKNEY TOWN HALL,5
E01001733,GLYN ROAD,5
E01001734,HACKNEY BATHS,10
E01001735,HOMERTON HOSPITAL / HOMERTON ROW,3
E01001737,STOKE NEWINGTON CHURCH STREET,3
E01001738,PETHERTON ROAD,3
E01001739,CLISSOLD CRESCENT,3
E01001740,MATTHIAS ROAD,2
E01001741,STOKE NEWINGTON TOWN HALL,2
E01001742,BARBAULD ROAD,4
E01001744,QUEENSBRIDGE ROAD / FOREST ROAD,2
E01001745,SHACKLEWELL LANE,7
E01001746,DOWNS PARK ROAD,2
E01001747,RIO CINEMA,8
E01001749,STANNARD ROAD,4
E01001750,MIDDLETON ROAD,4
E01001751,NORTHCHURCH ROAD,4
E01001755,ST LEONARD'S HOSPITAL,1
E01001756,DALSTON JUNCTION STATION,4
E01001757,PEMBURY ROAD / DOWNS PARK ROAD,1
E01001758,PEMBURY CIRCUS,10
E01001759,SANDRINGHAM ROAD,2
E01001760,HACKNEY CENTRAL STATION,4
E01001761,CECILIA ROAD / GREENACRE COURT,2
E01001762,HACKNEY TOWN HALL,5
E01001763,NAVARINO ROAD,1
E01001765,DOWNS ROAD,5
E01001767,CLAPTON LIBRARY,1
E01001769,STOKE NEWINGTON COMMON,4
E01001770,LEA BRIDGE ROUNDABOUT,9
E01001772,QUEENSBRIDGE ROAD / BROWNLOW ROAD,2
E01001773,LABURNUM STREET,3
E01001774,QUEENSBRIDGE ROAD,5
E01001775,NICHOLL STREET,3
E01001776,ST LEONARD'S HOSPITAL,3
E01001777,PEARSON STREET,7
E01001781,MINTERN STREET,7
E01001783,CROPLEY STREET,1
E01001784,CRONDALL STREET / HOXTON STREET MARKET,4
E01001786,KINGSMEAD ESTATE,9
E01001787,MILLFIELDS ROAD,5
E01001788,MANDEVILLE STREET / GILPIN ROAD,3
E01001791,REDWALD ROAD,2
E01001792,LEA BRIDGE ROAD / UPPER CLAPTON ROAD,4
E01001793,CHATSWORTH ROAD,4
E01001794,MILLFIELDS ROAD,2
E01001795,CLAPTON GIRLS' ACADEMY,3
E01001796,CHATSWORTH ESTATE,2
E01001798,CLAPTON STATION,5
E01001800,LYNMOUTH ROAD,2
E01001801,LORDSHIP ROAD,3
E01001802,HEATHLAND ROAD,1
E01001803,QUEEN ELIZABETH'S WALK,3
E01001805,STOKE NEWINGTON STATION,3
E01001806,RIVERSDALE ROAD,3
E01001807,STAMFORD HILL STATION,1
E01001808,STAMFORD HILL BROADWAY,7
E01001809,AMHURST PARK / STAMFORD LODGE,2
E01001811,BETHUNE ROAD,4
E01001813,MANOR HOUSE STATION,6
E01001814,EGERTON ROAD,5
E01001815,MIDDLETON ROAD,2
E01001816,RICHMOND ROAD / GREENWOOD ROAD,3
E01001819,RICHMOND ROAD,4
E01001820,REGENTS COURT,2
E01001821,POWNALL ROAD / LAXFIELD COURT,4
E01001822,ROSSINGTON STREET,3
E01001824,FORBURG ROAD,2
E01001826,CLAPTON COMMON,5
E01001827,JESSAM AVENUE,2
E01001828,MOUNT PLEASANT LANE,2
E01001829,ABNEY PARK,2
E01001830,STOKE NEWINGTON POLICE STATION,3
E01001831,STOKE NEWINGTON CHURCH STREET,6
E01001832,STOKE NEWINGTON ROAD / AMHURST ROAD,4
E01001834,PRINCESS MAY ROAD,1
E01001835,PRINCESS MAY ROAD,1
E01001836,VICTORIA PARK ROAD,3
E01001837,KING EDWARD'S ROAD,4
E01001839,MARE STREET / WELL STREET,8
E01001840,HOLCROFT ROAD,6
E01001841,GASCOYNE ROAD,3
E01001844,VALENTINE ROAD,6
E01001845,CHRISTIE ROAD,1
E01001846,KINGSMEAD ESTATE,14
E01001847,MARSH HILL,1
E01001848,WICK ROAD / KENWORTHY ROAD,9
E01001849,ST MARY OF ETON CHURCH,10
E01001850,BARNABAS ROAD,4
E01001854,BLYTHE ROAD,1
E01001856,BLYTHE ROAD,1
E01001857,GOLDHAWK ROAD,2
E01001858,PADDENSWICK ROAD,1
E01001859,,2
E01001860,ADELAIDE GROVE,6
E01001861,UXBRIDGE ROAD,3
E01001866,NORTH END ROAD,8
E01001867,LATYMER COURT,2
E01001868,LYTTON ESTATE,1
E01001869,BROOK GREEN,4
E01001871,BROOK GREEN,2
E01001875,EAST ACTON STATION / FITZNEAL STREET,8
E01001876,HAMMERSMITH HOSPITAL,7
E01001877,WILLESDEN JUNCTION STATION,14
E01001879,FULHAM POOLS,1
E01001880,,1
E01001881,SHORROLDS ROAD,1
E01001882,SHORROLDS ROAD,6
E01001883,EMPRESS STATE BUILDING / WEST BROMPTON,1
E01001884,LILLIE ROAD,4
E01001885,MULGRAVE ROAD,1
E01001886,FULHAM CROSS,3
E01001887,LILLIE ROAD,2
E01001891,CHARING CROSS HOSPITAL,4
E01001893,HAMMERSMITH BRIDGE ROAD,2
E01001894,HAMMERSMITH TOWN HALL,2
E01001895,ST STEPHENS AVENUE,1
E01001896,GOLDHAWK ROAD STATION,1
E01001898,HAMMERSMITH BUS STATION,28
E01001899,LAMINGTON STREET,1
E01001900,HAMMERSMITH BROADWAY,2
E01001902,SHERBROOKE ROAD,1
E01001903,MUNSTER ROAD / FULHAM CROSS,3
E01001905,LAMBROOK TERRACE,1
E01001906,BISHOP'S PARK ROAD,1
E01001907,FULHAM ROAD,1
E01001909,MULGRAVE ROAD,1
E01001911,WEST KENSINGTON ESTATE,2
E01001912,NORTH END ROAD,4
E01001913,FULHAM POOLS,1
E01001914,WEST KENSINGTON STATION,2
E01001915,FULHAM HIGH STREET,7
E01001916,PUTNEY BRIDGE STATION,3
E01001917,,2
E01001918,KINGWOOD ROAD,4
E01001920,FULHAM BROADWAY STATION,8
E01001921,FULHAM TOWN HALL,5
E01001922,WANDSWORTH BRIDGE ROAD,4
E01001923,HARWOOD TERRACE,3
E01001924,NEW KING'S ROAD,3
E01001925,PARSONS GREEN,4
E01001928,CATHNOR ROAD,7
E01001929,RAVENSCOURT PARK STATION,1
E01001930,ASKEW ROAD,10
E01001932,RAVENSCOURT PARK,5
E01001933,GOLDHAWK ROAD,3
E01001937,SANDS END / HAZLEBURY ROAD,4
E01001938,TOWNMEAD ROAD,4
E01001940,ST STEPHEN'S AVENUE,2
E01001941,SHEPHERDS BUSH MARKET STATION,5
E01001942,BLOEMFONTEIN ROAD,3
E01001943,SHEPHERD'S BUSH STATION,22
E01001945,ELLERSLIE ROAD,1
E01001946,QUEENS PARK RANGERS FOOTBALL CLUB,1
E01001948,RADIPOLE ROAD,2
E01001950,PARSONS GREEN LANE / FULHAM LIBRARY,2
E01001951,MUNSTER ROAD,4
E01001952,FULHAM PALACE ROAD,2
E01001953,FULHAM BROADWAY,3
E01001954,ADELAIDE GROVE,3
E01001955,COMMONWEALTH AVENUE,3
E01001956,UXBRIDGE ROAD,1
E01001957,MANDELA CLOSE,1
E01001958,WHITE CITY ESTATE,2
E01001959,EAST ACTON LANE / OLD OAK ROAD,6
E01001960,ELLERSLIE ROAD,1
E01001961,QUEENS PARK RANGERS FOOTBALL STADIUM,1
E01001962,VICTORIA ROAD,4
E01001963,ROSEBERY ROAD,3
E01001964,ALEXANDRA PALACE ICE RINK,10
E01001966,ALEXANDRA PALACE PALM COURT,8
E01001968,COLNEY HATCH LANE,2
E01001969,ARCADIAN GARDENS,1
E01001970,PALACE ROAD,2
E01001971,CANNING CRESCENT,2
E01001972,ALEXANDRA PALACE STATION,5
E01001973,BOUNDS GREEN STATION,8
E01001974,BOUNDS GREEN STATION,2
E01001976,MOUNT PLEASANT ROAD,5
E01001978,LORDSHIP LANE,10
E01001979,BRUCE GROVE STATION,6
E01001980,GLOUCESTER ROAD,5
E01001981,TOTTENHAM BUS GARAGE,2
E01001982,MOUNT PLEASANT ROAD,1
E01001983,SUMMERHILL ROAD,2
E01001984,HORNSEY LANE,5
E01001986,MOUNT VIEW ROAD,3
E01001987,HAIL & RIDE STANHOPE ROAD,4
E01001988,CECILE PARK,3
E01001989,WOLSELEY ROAD,7
E01001990,CROUCH END BROADWAY,6
E01001991,BIRCHWOOD AVENUE,3
E01001992,MIDHURST AVENUE,2
E01001994,WOODSIDE AVENUE,2
E01001995,EVERINGTON ROAD,2
E01001996,ALEXANDRA PARK ROAD,3
E01001997,MUSWELL HILL BROADWAY,9
E01001999,MATTISON ROAD,7
E01002002,MANOR HOUSE STATION  / WOODBERRY GROVE,12
E01002003,TURNPIKE LANE STATION,11
E01002005,NORTHWOOD ROAD,3
E01002006,LANGDON PARK ROAD,2
E01002007,HIGHGATE STATION,1
E01002008,HIGHGATE SCHOOL,12
E01002009,SOUTH GROVE,6
E01002010,NORTH HILL AVENUE,5
E01002011,WOOD LANE / HIGHGATE STATION,13
E01002013,NIGHTINGALE LANE,2
E01002014,TOTTENHAM LANE,5
E01002015,PRIORY PARK,4
E01002017,TOTTENHAM LANE Y M C A,7
E01002019,PRIORY ROAD,4
E01002020,PARK ROAD,5
E01002021,HORNSEY FIRE STATION,2
E01002022,MUSWELL HILL,11
E01002024,WOLSELEY ROAD,1
E01002025,ONSLOW GARDENS,1
E01002026,WOOD GREEN SHOPPING CITY,2
E01002028,GLADSTONE AVENUE,3
E01002029,WOOD GREEN STATION,15
E01002030,WIGHTMAN ROAD,1
E01002031,TURNPIKE LANE STATION,5
E01002032,MORLEY AVENUE,1
E01002033,WOOD GREEN CROWN COURT,1
E01002034,WHITE HART LANE STATION,8
E01002036,GILLHAM TERRACE,3
E01002037,NORTHUMBERLAND PARK,13
E01002038,TOTTENHAM SPORTS CENTRE,4
E01002040,SPENCER ROAD,1
E01002041,ENFIELD AND HARINGEY MAGISTRATES COURT,1
E01002042,CHESTNUTS PRIMARY SCHOOL,8
E01002043,LA ROSE LANE,1
E01002046,ELIZABETH ROAD,5
E01002047,HARRINGAY GREEN LANES STATION,1
E01002048,STANLEY ROAD,3
E01002049,PHILIP LANE,4
E01002051,ST ANN'S ROAD,4
E01002052,GROVELANDS ROAD,2
E01002053,SEVEN SISTERS ROAD / PLEVNA CRESCENT,4
E01002054,ST ANN'S ROAD,1
E01002055,ST ANN'S ROAD,3
E01002056,HEYSHAM ROAD,4
E01002058,HARRINGAY SAINSBURY'S,1
E01002059,HAIL & RIDE WESTON PARK PRIMARY SCHOOL,7
E01002060,WESTON PARK,2
E01002061,HAIL & RIDE HARRINGAY STATION,4
E01002062,OSSIAN ROAD,4
E01002064,ALBERT ROAD,2
E01002066,TOTTENHAM TOWN HALL,8
E01002067,PHILIP LANE,2
E01002068,TOTTENHAM HALE RETAIL PARK,3
E01002069,COLLEGE OF NORTH EAST LONDON,7
E01002070,BEDFORD ROAD,3
E01002071,WAKEFIELD ROAD,3
E01002072,SEVEN SISTERS STATION,7
E01002074,SPENCER ROAD,3
E01002075,CHALGROVE ROAD,7
E01002076,SEYMOUR AVENUE,3
E01002077,SCOTLAND GREEN,3
E01002078,WALTHAMSTOW WETLANDS / FERRY BOAT INN,7
E01002079,THACKERAY AVENUE,1
E01002081,TOTTENHAM POLICE STATION,2
E01002082,MOUNT PLEASANT ROAD,3
E01002083,WESTBURY AVENUE BAPTIST CHURCH,1
E01002084,LA ROSE LANE,4
E01002085,TURNPIKE LANE BUS STATION,5
E01002086,HIGHAM ROAD,5
E01002087,WEST GREEN PRIMARY SCHOOL,5
E01002088,THE ROUNDWAY / WEST ARM,3
E01002089,BROADWATER FARM ESTATE,3
E01002090,HARINGEY FOOTBALL CLUB,2
E01002091,WHITE HART LANE,4
E01002092,HARINGEY SIXTH FORM COLLEGE,7
E01002093,ROWLAND HILL AVENUE,2
E01002094,AWLFIELD AVENUE,2
E01002095,MOUNT PLEASANT ROAD,4
E01002096,COURTMAN ROAD,6
E01002097,THE ROUNDWAY / WEST ARM,1
E01002098,WOOD GREEN BUS GARAGE,7
E01002099,WOOD GREEN CROWN COURT,4
E01002100,GRANVILLE ROAD,4
E01002102,ARCADIAN GARDENS,6
E01002103,PERTH ROAD,3
E01002104,NEW RIVER SPORTS CENTRE,4
E01002105,HARINGEY CIVIC CENTRE,1
E01002106,BELMONT HEALTH CENTRE,3
E01002108,BELLAMY DRIVE,2
E01002109,BELMONT LANE,12
E01002110,HAIL & RIDE WEMBOROUGH ROAD,5
E01002111,BELMONT CIRCLE,4
E01002112,STANMORE STATION,10
E01002113,PARK GROVE,1
E01002114,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL,3
E01002115,CANONS PARK OPEN SPACE,1
E01002116,MILL RIDGE,1
E01002118,ST LAWRENCE CHURCH,5
E01002119,EDGWARE POLICE STATION,5
E01002121,MERLIN CRESCENT,4
E01002123,BURNT OAK BROADWAY,2
E01002125,THE PARADE,4
E01002128,,1
E01002129,HARROW BUS STATION,15
E01002130,HARROW TOWN CENTRE / SHEEPCOTE ROAD,7
E01002132,HARROW PARK,10
E01002133,GRANGE ROAD,5
E01002134,NORTHWICK PARK HOSPITAL,1
E01002135,SUDBURY HILL STATION,7
E01002136,SHAFTESBURY AVENUE,9
E01002137,HARROW SCHOOL,3
E01002139,LONG ELMES / BOXTREE LANE,3
E01002140,LONG ELMES,2
E01002141,COLLEGE HILL ROAD,4
E01002142,HARROW WEALD BUS GARAGE,7
E01002143,STANHOPE AVENUE,1
E01002144,HUTTON WALK,11
E01002145,BROCKHURST CORNER,5
E01002148,BANNISTER PLAYING FIELDS,2
E01002150,HATCH END STATION,6
E01002151,HEADSTONE LANE,7
E01002152,HATCH END / TELEPHONE EXCHANGE,6
E01002153,THE RIDGEWAY,5
E01002155,PINNER CEMETERY,4
E01002156,PRIORY WAY,4
E01002157,NORTH HARROW STATION,2
E01002159,THE GARDENS,2
E01002160,RUTLAND ROAD,5
E01002161,STATION ROAD,7
E01002162,HARROW VIEW,2
E01002163,PINNER VIEW,4
E01002164,,1
E01002165,KINGSBURY CIRCLE,1
E01002166,SHREWSBURY AVENUE,2
E01002169,THE HONEYPOT,2
E01002172,KENMORE AVENUE,1
E01002173,KENMORE AVENUE,2
E01002174,KENTON LIBRARY,6
E01002175,KENTON ROAD,4
E01002176,CARLTON AVENUE,5
E01002177,QUEENS AVENUE,1
E01002179,HARROW & WEALDSTONE STATION,8
E01002181,HIDE ROAD,6
E01002183,WARHAM ROAD,1
E01002184,BORROWDALE AVENUE,2
E01002185,CROSSWAY,3
E01002186,WEST END LANE,8
E01002187,WAXWELL LANE,7
E01002189,PINNER STATION,4
E01002190,ALBURY DRIVE,2
E01002191,CANNONBURY AVENUE,6
E01002192,PINNER STATION,1
E01002193,PINNER LIBRARY,10
E01002194,MALPAS DRIVE,2
E01002195,WHITTINGTON WAY,6
E01002196,ST MICHAEL'S CRESCENT,2
E01002198,TURNER ROAD,1
E01002199,KENTON LIBRARY,4
E01002200,ST BRIDE'S AVENUE,6
E01002201,PORTLAND CRESCENT,8
E01002202,QUEENSBURY CIRCLE,6
E01002203,BROADCROFT AVENUE,4
E01002204,RAYNERS LANE STATION,8
E01002207,NEWQUAY CRESCENT,2
E01002208,THE GLEN,2
E01002209,RAYNERS LANE STATION,6
E01002211,COLES CRESCENT,3
E01002212,KINGS ROAD,8
E01002214,HOLYROOD AVENUE,2
E01002215,BODMIN CLOSE,1
E01002216,MALVERN AVENUE,2
E01002217,CLITHEROE AVENUE,2
E01002218,CORBINS LANE,1
E01002219,SOUTH HARROW STATION,4
E01002221,NORTHOLT PARK STATION,5
E01002223,HOLYROOD AVENUE,1
E01002225,COMMON ROAD,15
E01002226,THE BROADWAY,12
E01002227,BROCKHURST CORNER,3
E01002228,BENTLEY WAY,3
E01002229,HAIL & RIDE STANMORE COLLEGE,4
E01002230,CHENDUIT WAY,1
E01002231,WARHAM ROAD,1
E01002232,WEALD LANE,3
E01002233,WEALDSTONE BAPTIST CHURCH,4
E01002235,MONTROSE ROAD,1
E01002240,LASCELLES AVENUE,3
E01002242,NORTH HARROW STATION,7
E01002243,OLIVE STREET,2
E01002244,OAK STREET,2
E01002245,CEDAR ROAD,4
E01002246,ROMFORD STADIUM,4
E01002247,RICHARDS AVENUE,2
E01002248,RUSH GREEN ROAD / DAGENHAM ROAD,14
E01002250,ST EDWARD'S / C OF E ACADEMY,6
E01002251,CLAYTON ROAD,4
E01002253,RIVER DRIVE,10
E01002254,MOOR LANE,4
E01002257,UPMINSTER STATION,6
E01002258,FRONT LANE,8
E01002259,UPMINSTER PARK ESTATE,1
E01002260,CARFAX ROAD,2
E01002261,ELM PARK STATION,4
E01002262,AMBLESIDE AVENUE,4
E01002263,HERON FLIGHT AVENUE,7
E01002265,SARRE AVENUE,5
E01002266,FREEBORNE GARDENS,6
E01002268,SOUTHEND ARTERIAL ROAD,2
E01002269,ESSEX GARDENS,3
E01002270,EMERSON PARK STATION,7
E01002271,COPTHORNE GARDENS,2
E01002272,THE DRILL ROUNDABOUT,5
E01002273,PARKSTONE AVENUE,7
E01002274,WYKEHAM AVENUE,6
E01002276,TEES DRIVE,8
E01002277,DAGNAM PARK SQUARE,8
E01002278,BROOKSIDE SCHOOL,7
E01002279,SETTLE ROAD,8
E01002281,HARKNESS CLOSE,11
E01002282,HILLDENE AVENUE SHOPPING CENTRE,7
E01002283,ST NEOT'S ROAD,4
E01002284,HAROLD HILL COMMUNITY CENTRE,5
E01002285,VAUGHAN AVENUE,3
E01002287,ELM PARK STATION,1
E01002288,ST GEORGE'S PARK,5
E01002291,HORNCHURCH STATION,2
E01002292,CENTRAL DRIVE,5
E01002294,ST PETER'S CHURCH,11
E01002295,ROSSLYN AVENUE,2
E01002296,COLCHESTER ROAD,6
E01002297,FARINGDON AVENUE / CHATTERIS AVENUE,1
E01002298,DAVID DRIVE,6
E01002299,KINGSBRIDGE ROAD,7
E01002300,HAROLD WOOD STATION,7
E01002301,LARCHWOOD AVENUE,5
E01002302,COLLIER ROW ROUNDABOUT / CLOCKHOUSE LANE,4
E01002303,BELLE VUE ROAD,5
E01002304,MERLIN ROAD,17
E01002305,CHARLOTTE GARDENS,3
E01002306,HIGHFIELD ROAD,3
E01002307,HAVERING PARK,5
E01002308,STAPLEFORD GARDENS,4
E01002309,HAIL & RIDE HEATON AVENUE,2
E01002310,GALLOWS CORNER,9
E01002311,HAIL & RIDE KEATS AVENUE,3
E01002312,WINCANTON ROAD,4
E01002313,TAUNTON ROAD,7
E01002314,CHATTERIS AVENUE,8
E01002315,MYRTLE ROAD,8
E01002316,HEATON AVENUE,4
E01002317,HAIL & RIDE ELMHURST DRIVE,3
E01002319,RONEO CORNER,6
E01002320,PARK LANE,1
E01002321,HYLAND WAY,5
E01002322,CHESTNUT AVENUE,5
E01002323,GORDON AVENUE,1
E01002325,CROSS ROAD,9
E01002326,COLLIER ROW ROUNDABOUT / REX CLOSE,10
E01002327,HILLFOOT ROAD,1
E01002328,KING GEORGE CLOSE,1
E01002329,EASTERN AVENUE,9
E01002331,FRINTON ROAD,3
E01002332,FELSTEAD ROAD,2
E01002333,MORAY WAY,2
E01002334,HEATHER GARDENS,3
E01002335,HAINAULT ROAD,2
E01002336,MASHITERS HILL,3
E01002337,UPPER BRENTWOOD ROAD,6
E01002338,PARKLANDS SCHOOL,6
E01002339,HAIL & RIDE MARSHALLS PARK ACADEMY,4
E01002340,ROMFORD BUS GARAGE,3
E01002341,CAMPBELL CLOSE,6
E01002342,BRIGHTS AVENUE,3
E01002344,NEW ROAD,16
E01002345,RAINHAM TESCO,9
E01002346,BROOKWAY,4
E01002347,EASTWOOD DRIVE,2
E01002348,LAKE AVENUE,4
E01002349,THORN LANE,4
E01002350,ROM VALLEY WAY,9
E01002352,PRINCES ROAD,5
E01002353,ROMFORD MARKET,14
E01002354,RAPHAEL PARK,1
E01002356,ROMFORD STATION,16
E01002358,ALBERT ROAD,3
E01002360,HACTON LANE,6
E01002361,HORNCHURCH TOWN CENTRE,13
E01002362,UPMINSTER BRIDGE STATION,4
E01002363,STANLEY ROAD,3
E01002364,DEVONSHIRE ROAD,2
E01002365,ELM PARADE,3
E01002366,SUTTONS AVENUE,4
E01002367,BURNWAY,3
E01002368,SOUTH STREET,13
E01002369,SPENCER ROAD,1
E01002370,MANOR WAY,17
E01002371,RAINHAM ROAD,5
E01002372,MUNGO PARK ROAD / SOUTH END ROAD,4
E01002373,FORD LANE,2
E01002374,CHERRY TREE LANE,5
E01002375,FYFIELD ROAD,6
E01002376,CASTELLAN AVENUE,2
E01002377,ARDLEIGH GREEN SCHOOL,6
E01002379,GIDEA PARK STATION,10
E01002380,HARDLEY CRESCENT,4
E01002382,WITHAM ROAD,5
E01002383,BELGRAVE AVENUE,5
E01002384,ARGYLE GARDENS,10
E01002385,CORBETS TEY,16
E01002386,UPMINSTER STATION,13
E01002388,PARKLAND AVENUE,4
E01002389,CRANSTON PARK AVENUE,1
E01002390,GAYNES PARK ROAD,1
E01002391,FEN LANE,8
E01002392,AYLES ROAD,4
E01002393,BARNHILL COMMUNITY HIGH SCHOOL,5
E01002396,HAYES / THE GRAPES,6
E01002397,UXBRIDGE COUNTY COURT,1
E01002400,MERRIMANS CORNER / HARLINGTON ROAD,8
E01002401,HAYES END,6
E01002402,WOOD END PARK SCHOOL,4
E01002403,PRINCES PARK LANE,2
E01002404,LILAC GARDENS,3
E01002405,BEECHWOOD AVENUE,17
E01002408,LEES ROAD,5
E01002409,NEW ROAD,4
E01002410,HILLINGDON HEATH / LEES ROAD,8
E01002411,ST LAURENCE CHURCH,5
E01002412,COLHAM ROAD,12
E01002413,PACKET BOAT LANE,3
E01002414,BRUNEL UNIVERSITY,12
E01002417,EASTCOTE STATION,3
E01002419,FERNCROFT AVENUE,4
E01002420,OAK GROVE,4
E01002421,WHITBY ROAD,2
E01002422,ADELPHI WAY,2
E01002423,HAYES POLICE STATION,1
E01002424,THE BROOK HOUSE,10
E01002425,ADELPHI CRESCENT,4
E01002426,BALMORAL DRIVE,5
E01002427,HAYES END,1
E01002428,CHARVILLE ACADEMY,3
E01002429,ROMNEY ROAD,4
E01002430,HUME WAY,1
E01002431,THE CLOSE,3
E01002432,EASTCOTE STATION,4
E01002433,EASTCOTE METHODIST CHURCH,8
E01002434,BREAKSPEAR ROAD,2
E01002435,WEST HATCH MANOR,2
E01002436,WILTSHIRE LANE,4
E01002437,BRIDLE ROAD,7
E01002438,HAREFIELD WEST / BELFRY AVENUE,1
E01002439,THE GREEN,12
E01002440,THE HAREFIELD ACADEMY,9
E01002441,PRIORY AVENUE,11
E01002442,TRUESDALE DRIVE,4
E01002443,HARLINGTON CORNER,16
E01002444,HATTON CROSS STATION,52
E01002445,MAXWELL ROAD,2
E01002446,THE PLOUGH,12
E01002447,NENE ROAD,10
E01002448,HARLINGTON HIGH STREET / SIPSON LANE,5
E01002449,HARLINGTON CORNER,3
E01002450,,2
E01002451,GROSVENOR CRESCENT,3
E01002452,RICHMOND AVENUE,6
E01002453,GROSVENOR CRESCENT,3
E01002454,,2
E01002455,HEATH ROAD,9
E01002456,CRESCENT PARADE,4
E01002457,HILLINGDON HEATH / LEES ROAD,2
E01002458,THORNHILL ROAD,6
E01002460,ICKENHAM STATION,7
E01002461,WARREN ROAD,4
E01002462,BREAKSPEAR ROAD SOUTH,4
E01002463,SWAKELEYS DRIVE,3
E01002464,HAIL & RIDE SUSSEX ROAD,1
E01002465,BERKELEY CLOSE,4
E01002467,GROSVENOR VALE,3
E01002468,CORNWALL ROAD,3
E01002470,RUISLIP MANOR STATION,7
E01002471,DULVERTON ROAD,2
E01002472,DENE ROAD,12
E01002473,JACKETS LANE,7
E01002474,HALLOWELL ROAD,4
E01002475,HOLY TRINITY SCHOOL,13
E01002477,,3
E01002478,NORTHWOOD STATION,8
E01002479,HAYDON SCHOOL,6
E01002481,HAYDON DRIVE,5
