lsoa,rep_stop,n_stops
E01000528,DIXON WAY,2
E01000530,ALL SOULS AVENUE,4
E01000531,WROTTESLEY ROAD,2
E01000532,KENSAL GREEN STATION,1
E01000533,TAVISTOCK ROAD,7
E01000535,SCRUBS LANE,5
E01000536,DOVEDALE AVENUE,2
E01000540,,2
E01000541,KENTON / CHARLTON ROAD,6
E01000543,KINGSBURY STATION,5
E01000544,CHIPPENHAM GARDENS,2
E01000545,BUCKLEY ROAD,3
E01000546,KINGSLEY ROAD,1
E01000547,KINGSLEY ROAD,1
E01000548,PRIORY PARK ROAD,5
E01000549,WOODVILLE ROAD,2
E01000550,KILBURN HIGH RD STN  / CAMBRIDGE AVENUE,9
E01000551,NEVILLE CLOSE,2
E01000552,HANSEL ROAD,3
E01000553,MORA ROAD,3
E01000554,LONGLEY WAY,1
E01000555,THE GLADSTONE CENTRE,6
E01000556,CRICKLEWOOD LANE,6
E01000557,ANSON ROAD,4
E01000558,SKARDU ROAD,1
E01000559,WILLESDEN GREEN STATION,1
E01000561,ST CUTHBERT'S ROAD,2
E01000562,SUDBURY COURT DRIVE,1
E01000563,THE GREEN / CARLTON AVENUE WEST,2
E01000564,NORTH WEMBLEY STATION,4
E01000565,PERRIN ROAD,6
E01000567,MAYBANK AVENUE,1
E01000568,KENTON STATION,17
E01000571,WEMBLEY HILL ROAD,5
E01000572,GRASSMERE AVENUE,2
E01000573,FERNLEIGH COURT,1
E01000574,SOUTH KENTON STATION,5
E01000575,PRESTON ROAD STATION,4
E01000576,HIGHFIELD AVENUE,5
E01000577,PEMBROKE ROAD,3
E01000578,EMPIRE WAY,11
E01000580,PLYMPTON AVENUE,4
E01000581,WRENTHAM AVENUE,4
E01000583,QUEEN'S PARK STATION,6
E01000584,COLLEGE ROAD,1
E01000586,KENSAL RISE STATION,14
E01000587,FAIRWAY AVENUE,2
E01000589,QUEENSBURY MORRISONS,8
E01000590,GROVE PARK,4
E01000591,KINGSBURY CIRCLE,6
E01000592,OAK GARDENS,6
E01000594,QUEENSBURY STATION,3
E01000595,KNATCHBULL ROAD,5
E01000596,SWAMINARAYAN TEMPLE,5
E01000599,SHAKESPEARE ROAD,1
E01000601,BRENT PARK TESCO,11
E01000602,BRENTFIELD ROAD,5
E01000603,WOODHEYES ROAD,1
E01000604,CONDUIT WAY,5
E01000605,HARROW ROAD,3
E01000606,PRIORY AVENUE,3
E01000608,SUDBURY & HARROW ROAD STATION,8
E01000609,MAYBANK AVENUE,1
E01000611,SUDBURY TOWN STATION,1
E01000612,BRIDGEWATER ROAD,9
E01000615,OLYMPIC WAY,8
E01000616,WEMBLEY HILL ROAD,3
E01000617,,1
E01000620,STONEBRIDGE PARK STATION,8
E01000621,STONEBRIDGE PARK STN   / POINT PLACE,4
E01000622,WELSH HARP / NEASDEN RECREATION GROUND,1
E01000623,LAVENDER AVENUE,4
E01000625,BLACKBIRD HILL,3
E01000626,QUAINTON STREET,3
E01000627,AYLESBURY STREET,4
E01000628,NEASDEN UNDERPASS,4
E01000631,COPLAND AVENUE,3
E01000633,WEMBLEY CENTRAL STATION,12
E01000634,EALING ROAD,2
E01000636,WAVERLEY AVENUE,6
E01000638,WILLESDEN BUS GARAGE,9
E01000640,VILLIERS ROAD,4
E01000642,WILLESDEN GREEN STATION,6
E01000643,BERTIE ROAD,16
E01000644,WILLESDEN GREEN LIBRARY,2
E01000645,BIRD IN HAND LANE,2
E01000646,PLAISTOW LANE,4
E01000648,THE LORD HOMESDALE,3
E01000649,SOUTHBOROUGH ROAD / BICKLEY STATION,7
E01000650,PARK HILL,12
E01000651,HAWTHORNE ROAD,5
E01000652,WOODSIDE ROAD,7
E01000653,HILL BROW,8
E01000654,SWIEVELANDS ROAD,3
E01000655,ROSEHILL ROAD,10
E01000656,MAIN ROAD / SUNNINGVALE AVENUE,6
E01000657,BIGGIN HILL / BLACK HORSE,4
E01000658,BIGGIN HILL AIRPORT / PASSENGER TERMINAL,7
E01000659,BIGGIN HILL VALLEY,9
E01000661,BROMLEY COMMON / TURPINGTON LANE,12
E01000662,THE FAIRWAY,5
E01000663,OXHAWTH CRESCENT / EAST ARM,8
E01000664,HAIL & RIDE ALMOND WAY,5
E01000665,BROMLEY BUS GARAGE,10
E01000666,WESTERHAM ROAD / THE KESTON MARK,21
E01000667,FARNBOROUGH COMMON / P R U HOSPITAL,8
E01000668,BROMLEY COMMON / THE CROWN,6
E01000670,ST MARK'S CHURCH,14
E01000671,HOMESDALE ROAD,3
E01000672,BROMLEY COURT HOTEL,2
E01000673,RAVENSBOURNE STATION,11
E01000674,FARWIG LANE,2
E01000676,HIGH STREET / MARKET SQUARE,16
E01000677,SHORTLANDS VILLAGE / VALLEY SCHOOL,2
E01000678,HOMESDALE ROAD,2
E01000679,THE AVENUE / BEACONSFIELD ROAD,4
E01000680,CHELSFIELD VILLAGE / FIVE BELLS,20
E01000681,HAIL & RIDE ASHBOURNE RISE,1
E01000682,HAIL & RIDE HAYWOOD RISE,20
E01000683,SEVENOAKS ROAD / ORPINGTON HOSPITAL,3
E01000684,ORPINGTON HOSPITAL,3
E01000685,CHELSFIELD STATION,12
E01000686,GLENTRAMMON ROAD,11
E01000687,HIGH STREET / GREEN STREET GREEN,7
E01000688,WOODLANDS ROAD,1
E01000689,SLADES DRIVE,5
E01000690,CHISLEHURST / GORDON ARMS,7
E01000691,OAKDENE AVENUE,4
E01000692,CHISLEHURST SAINSBURY'S,6
E01000693,ROYAL PARADE,12
E01000694,ELMSTEAD WOODS STATION,4
E01000696,CENTRE COMMON ROAD / WAR MEMORIAL,8
E01000697,CHISLEHURST STATION,5
E01000698,ST PAULS CRAY ROAD / LEESONS HILL,11
E01000699,ANERLEY ROAD / WORBECK ROAD,5
E01000700,SEWARD ROAD,5
E01000701,,2
E01000702,BECKENHAM ROAD TRAM STOP,3
E01000703,CLOCK HOUSE STATION,5
E01000704,BIRKBECK STATION,11
E01000705,WHEATHILL ROAD,4
E01000706,ELMERS END INTERCHANGE,9
E01000707,CROMWELL ROAD,1
E01000708,ELMERS END GREEN,3
E01000709,CLOCK HOUSE STATION,9
E01000710,BRACKLEY ROAD,7
E01000711,NEW BECKENHAM STATION,6
E01000712,COPERS COPE ROAD,4
E01000713,SPRINGBOURNE COURT,6
E01000714,BECKENHAM HIGH STREET / WAR MEMORIAL,15
E01000715,WESTGATE ROAD,6
E01000716,BROMLEY ROAD / SCOTTS LANE,4
E01000717,BROMLEY ROAD / SHORTLANDS STATION,9
E01000718,STUMPS HILL LANE,5
E01000719,STATION APPROACH,6
E01000720,OLD MAIDSTONE ROAD,11
E01000721,BLACKSMITHS LANE,10
E01000722,NUGENT RETAIL PARK,19
E01000723,SKEET HILL,11
E01000724,FORGEFIELD COURT,6
E01000725,REYNOLDS CROSS / RED LION,4
E01000726,HAIL & RIDE CHELSFIELD ROAD,5
E01000727,HIGH STREET / CARLTON PARADE,8
E01000728,FOOTS CRAY TESCO,6
E01000729,COTMANDENE CRESCENT,2
E01000730,ST MARY CRAY STATION,10
E01000731,CLARENDON WAY,6
E01000732,POVEREST ROAD / CHURCH HILL WOOD,17
E01000733,AUSTIN ROAD,11
E01000734,CHISLEHURST ROAD / POVEREST ROAD,3
E01000735,SEVENOAKS WAY / MIDFIELD WAY,12
E01000736,BEDDINGTON ROAD,7
E01000737,KINGS CHURCH,3
E01000738,BROOMWOOD ROAD,6
E01000739,RAVENSCOURT ROAD,2
E01000741,CRYSTAL PALACE STATION,6
E01000742,CASTLEDINE ROAD,7
E01000743,ANERLEY ROAD / ANERLEY STATION,12
E01000744,SELBY ROAD,2
E01000745,THICKET ROAD,11
E01000747,LEAVES GREEN / ASHMORE LANE,27
E01000748,WESTERHAM HEIGHTS,40
E01000749,DOWNE CHURCH,41
E01000750,FARNBOROUGH WAY,2
E01000751,PRINCESS ROYAL UNIVERSITY HOSPITAL,14
E01000752,TUBBENDEN LANE SOUTH,17
E01000753,GLYNDEBOURNE PARK,3
E01000754,ORPINGTON STATION,8
E01000755,POUND COURT DRIVE,12
E01000756,LOCKSBOTTOM / ST MICHAEL'S CHURCH,5
E01000757,OAKWOOD ROAD / ST PAUL'S CHURCH,2
