stopcode,lsoa
H0091,E01003196
BP936,E01003522
H0098,E01003194
TRS175,E01001010
OC615,E01003269
RR126,E01033922
BP1581,E01002677
HC889,E01000568
BP3578,E01033327
BP5932,E01034176
33532,E01034476
BP4631,E01004732
BP6350,E01033868
RR92,E01004438
PCO5551,E01002692
PCO5683,E01035716
PCO5721,E01003427
PCO5319,E01002821
PCO6026,E01034220
PCO5754,E01034386
PCO4980,E01002987
PCO5446,E01002968
40229,E01000680
40227,E01000680
RR11,E01000504
34547,E01002326
18479,E01002326
OC997,E01002570
BP4612,E01004765
BP6073,E01001826
2119,E01032739
BP6635,E01003937
BP3281,E01004448
BP3280,E01004448
H0759,E01000214
H0758,E01000206
H0757,E01000206
H0753,E01000205
H0746,E01001412
H0745,E01001412
H0736,E01004349
H0704,E01000275
H0702,E01000283
H0701,E01000283
H0700,E01000278
BP2150,E01001687
BP2148,E01033745
BP2146,E01033741
BP2141,E01033745
H0667,E01000212
H0666,E01000212
H0665,E01000212
H0658,E01000212
H1013,E01001280
H1011,E01001280
H1010,E01001279
H1008,E01001277
H1005,E01001279
H1002,E01001280
H0989,E01001283
H0988,E01001283
H0987,E01001284
H0643,E01002450
H0641,E01002450
H0639,E01002454
H0605,E01002250
H0604,E01002248
H0603,E01002248
H0602,E01001486
H0897,E01000207
H0983,E01001285
H0981,E01001283
H0980,E01001283
H0946,E01000747
H0944,E01000283
H0943,E01000283
BP3074,E01033601
BP2295,E01004626
H0814,E01002492
H0812,E01002492
H0811,E01002492
H0809,E01002491
H0808,E01002489
H0800,E01002596
H0798,E01002599
H0797,E01002599
H0796,E01002599
H0792,E01002598
H0771,E01000206
H0815,E01002492
3521,E01002827
8591,E01032739
H0470,E01000726
H0457,E01000748
H0456,E01000749
H0430,E01000663
H0344,E01000296
H0327,E01001417
H0326,E01001422
6010,E01001239
H0009,E01004349
H0008,E01004350
H0004,E01004351
H0003,E01004350
H0002,E01004351
H0001,E01004351
H0240,E01000747
H0233,E01000658
H0229,E01000658
H0179,E01000760
H0178,E01000761
H0173,E01000761
H0035,E01001574
H0600,E01001486
H0590,E01000761
H0585,E01000288
H0319,E01000407
H0568,E01004149
H0556,E01000749
H0547,E01001419
H0515,E01000280
H0514,E01000275
4904,E01004731
H0374,E01003200
H0373,E01003200
H0371,E01003204
H0370,E01003204
25361,E01002938
1600,E01003935
26356,E01004750
H0429,E01000809
H0894,E01000296
H0976,E01001284
H0977,E01001284
H0982,E01001285
H0199,E01000723
H0204,E01000664
H0034,E01000450
H0070,E01004524
H0553,E01000748
H0548,E01001419
H0549,E01001525
H0554,E01000748
H0601,E01001426
H0640,E01002454
H0659,E01000207
BP3043,E01034476
15144,E01004218
H0790,E01002596
H0793,E01002598
H0794,E01002598
H0810,E01002491
H0813,E01002492
H0816,E01002492
H0817,E01002491
H0819,E01002489
H0512,E01000280
BP1751,E01002470
BP3891,E01004750
H0232,E01000748
H0372,E01003204
BP3909,E01004682
H1133,E01001270
H1134,E01001270
H1136,E01001319
H1141,E01001270
H1143,E01001270
H1097,E01000574
H1095,E01000116
H1085,E01000206
BP1888,E01001338
H1124,E01000682
29010,E01000586
3430,E01034150
H0986,E01001287
H0010,E01004349
H1001,E01001281
H1003,E01001280
H1014,E01001223
BP2145,E01033741
H0042,E01000372
H0180,E01000760
H0181,E01000761
H0772,E01000206
H0979,E01001284
H1121,E01000682
BP2070,E01034188
BP4591,E01004761
H0369,E01003201
H0404,E01003200
H0407,E01003204
H0406,E01003204
H1129,E01000682
H1144,E01001271
H1142,E01001270
H1137,E01001270
H1132,E01001317
H1131,E01001321
BP2071,E01034188
BP3478,E01002497
BP4426,E01000090
H1087,E01000214
H1086,E01000206
H1090,E01000210
H1094,E01000116
H1092,E01000319
H1114,E01000748
H1093,E01000316
9929,E01032740
H0740,E01000288
H0741,E01000212
H0756,E01000208
H0766,E01000206
H1004,E01001280
H1007,E01001277
7817,E01004750
H0799,E01002596
H0807,E01002489
H0288,E01000288
H0320,E01000437
H0069,E01004524
H0974,E01001285
H0978,E01001284
H0984,E01001284
H0501,E01001469
H0546,E01001464
H0555,E01000749
H0770,E01000213
H0791,E01002596
H0795,E01002599
H0197,E01000726
H0228,E01000749
H0236,E01000663
353,E01004661
H0586,E01000288
BP663,E01000362
H0985,E01001284
H1000,E01001226
H1015,E01001226
H1019,E01000749
H0661,E01000213
H0662,E01000207
H0663,E01000207
H0664,E01000209
H0917,E01001406
H0918,E01001406
BP2720,E01034616
BP4310,E01000620
H0205,E01000664
H1120,E01000752
H1122,E01000682
H1125,E01000682
BP1892,E01001333
BP407,E01002470
H1101,E01000536
H1140,E01001319
H1127,E01000682
H1100,E01000540
TRS106,E01003356
TRS107,E01003426
TRS144,E01001065
TRS145,E01001065
TRS146,E01001065
TRS147,E01001065
TRS148,E01001078
TRS149,E01001078
TRS150,E01001078
TRS151,E01000977
TRS152,E01000986
TRS112,E01003441
TRS113,E01003441
TRS114,E01003375
BP6561,E01001269
BP6562,E01001269
RR49,E01002514
RR76,E01001225
RR78,E01002159
RR79,E01002209
RR80,E01004727
RR17,E01003383
TRS115,E01003375
TRS116,E01004076
TRS117,E01004076
TRS118,E01004076
TRS119,E01004076
TRS120,E01001006
TRS121,E01001006
TRS122,E01001010
TRS123,E01001010
TRS124,E01034144
TRS125,E01034144
TRS126,E01034150
TRS127,E01001042
TRS128,E01001042
TRS129,E01034145
TRS130,E01001013
TRS131,E01034148
TRS132,E01034149
TRS133,E01034149
TRS134,E01000979
TRS135,E01001050
OC532,E01000583
TRS136,E01001049
TRS137,E01001049
TRS138,E01001049
H1176,E01033923
H1175,E01033923
HC365,E01001422
BP6485,E01000735
BP5186,E01000909
H1177,E01000147
HC774,E01003515
HC775,E01003513
HC776,E01003513
HC773,E01034212
HC772,E01034212
HC778,E01003515
RR18,E01003047
TRS139,E01001036
TRS140,E01001064
TRS141,E01001064
TRS142,E01001064
TRS143,E01001064
TRS109,E01003440
TRS153,E01001185
TRS154,E01001185
TRS155,E01001185
TRS156,E01000992
TRS157,E01001189
TRS158,E01032569
TRS159,E01000706
TRS160,E01000704
TRS161,E01000704
RR96,E01002846
TRS162,E01000704
TRS163,E01000704
TRS164,E01000701
TRS165,E01000701
TRS166,E01000797
TRS167,E01000797
TRS168,E01000714
RR47,E01002356
H1184,E01003904
BP5848,E01035657
BP5847,E01035657
HC610,E01000749
HC619,E01000747
HC617,E01000749
HC625,E01000658
HC631,E01000658
RR46,E01001898
RR32,E01004352
RR67,E01004691
RR107,E01001866
BP6559,E01003854
HC385,E01004575
HC384,E01004575
RR52,E01000550
H1271,E01000752
TRS101,E01003456
TRS108,E01003377
TRS110,E01003373
TRS111,E01003440
TRS102,E01003383
TRS103,E01003383
TRS104,E01003428
TRS105,E01003428
BP6440,E01035492
BP6438,E01035492
RR87,E01035657
BP1734,E01002968
35576,E01000005
H1135,E01001270
H1130,E01000752
H1126,E01000682
H1123,E01000682
H1275,E01004109
H1277,E01004109
H1276,E01004109
H1274,E01004109
H1281,E01004109
H1280,E01004109
H1279,E01004109
H1278,E01004109
H0012,E01004349
H0513,E01000301
H0516,E01000301
H0551,E01001525
H0557,E01000749
H0587,E01000288
RR90,E01001419
RR91,E01001419
H0644,E01002453
H0647,E01002453
H0660,E01000213
RR53,E01003513
DS03,E01001917
H0732,E01000116
BP5006,E01001898
BP6592,E01003196
BP6619,E01003271
BP6620,E01003271
BP6610,E01034188
BP6606,E01033132
BP6616,E01003269
BP6318,E01035657
BP6608,E01034206
BP6609,E01034212
BP6593,E01003196
BP6597,E01003239
BP6612,E01003269
BP6642,E01034217
BP6601,E01003240
BP6321,E01034222
BP6575,E01000223
RR127,E01000146
BP6613,E01003269
BP5606,E01034219
BP6598,E01003239
BP6594,E01003189
BP6615,E01003269
BP6617,E01003271
BP6618,E01003271
HC938,E01000307
H1199,E01004532
H1208,E01004478
H1209,E01004555
H1210,E01004558
H1211,E01004558
H1195,E01004523
H1196,E01004523
H1198,E01004523
OC990,E01000295
OC991,E01000295
OC993,E01003641
BP5921,E01004152
H1200,E01004532
H1201,E01004528
H1202,E01004533
H1203,E01004528
H1204,E01004533
H1212,E01004592
H1213,E01004592
H1214,E01004585
H1215,E01004585
H1193,E01004524
H1194,E01004524
H1158,E01003200
OC528,E01002535
OC531,E01033931
H1163,E01001071
H1170,E01001073
H1168,E01001069
H1164,E01001068
H1173,E01001030
H1171,E01001029
H1172,E01001029
H1165,E01001068
H1169,E01001069
H1166,E01001075
H1167,E01001075
BP6571,E01035658
H1216,E01000732
H1217,E01000733
H1218,E01000732
H1219,E01000731
H1220,E01000732
H1221,E01000731
H1222,E01000733
H1223,E01000733
H1224,E01000722
H1225,E01000722
H0632,E01000280
H0937,E01000458
H0936,E01000458
H0935,E01000459
H0932,E01000387
H0928,E01000459
H0920,E01000458
H0919,E01000457
H0915,E01001406
H0890,E01000167
H0783,E01001478
H0781,E01001484
H0780,E01001478
4678,E01002575
33400,E01003705
H0291,E01000286
H0290,E01000248
H0287,E01000248
H0922,E01000459
H0286,E01000286
H0782,E01001478
H0892,E01000167
BP2303,E01004681
H1145,E01001406
OC551,E01000748
H1146,E01001406
H0921,E01000458
H0084,E01000168
H0893,E01000167
H0297,E01000166
H0784,E01001478
BP4407,E01004731
OC549,E01000748
OC552,E01000658
H1147,E01001406
H1148,E01001398
H1149,E01001405
H1150,E01001405
H1152,E01001405
H1128,E01000682
H0947,E01000197
H1099,E01000540
OC560,E01000830
H1110,E01000197
H1151,E01001405
H0931,E01000387
H0933,E01000387
H0929,E01000382
RR09,E01033931
BP6449,E01001569
BP6564,E01034478
BP6565,E01034478
H1187,E01003910
OC561,E01000826
OC562,E01000826
H1226,E01001917
H1238,E01004643
H1237,E01004643
H1236,E01004643
H1235,E01004638
H1234,E01004638
H1233,E01004501
H1232,E01004638
H1231,E01004501
H1227,E01001859
H1228,E01001859
H1230,E01004501
H1229,E01004500
H1239,E01000353
BP5516,E01004024
H1241,E01003449
H1242,E01003449
H1243,E01003450
H1244,E01003450
OC855,E01001028
OC780,E01000758
OC911,E01004193
OC912,E01004196
OC910,E01004193
OC908,E01004192
OC909,E01004192
OC907,E01004192
OC913,E01004196
OC914,E01004132
OC916,E01004132
OC917,E01004132
OC920,E01004146
