NLC,cluster,max_posterior,entropy,tot_entry,tot_exit,total_activity,Station,Fare Zone,easting,northing,lon,lat,catchment_area_m2,station_in_lnwc_extent,lnwc_1_share,lnwc_2_share,lnwc_3_share,lnwc_4_share,lnwc_5_share,lnwc_6_share,lnwc_7_share,covered_area_m2,lnwc_coverage_ratio,analysis_eligible,dominant_lnwc,lnwc_entropy_normalized,exclusion_reason
521,3,1.0,7.817229215283331e-65,20667.335486833734,15065.569707903032,35732.90519473677,Blackfriars LU,1,531693.8776,180893.0855,-0.103629638137254,51.51162476747557,526642.6124917677,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,344568.41638327885,0.6542737108814282,True,1,-0.0,
522,0,1.0,3.481363776390886e-35,10751.414276842386,29363.085213185223,40114.49949002761,Blackhorse Road,3,535760.6278,189370.2981,-0.041793873795219,51.586840594392974,1874672.497355851,True,0.0,0.08595408846661402,0.0,0.5649584109265223,0.29449116456010904,0.0,0.05459633604675459,1874672.4973558488,0.9999999999999988,True,4,0.5407707442036472,
524,3,1.0,4.734204349288397e-65,114842.62331718982,38197.19576609632,153039.81908328616,Bond Street,1,528490.674,181117.635,-0.1496811425789451,51.51437958002913,569193.8607293953,True,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,569193.8607293689,0.9999999999999536,True,1,1.1410835440311978e-16,
525,2,1.0,5.592313458679589e-25,8937.246024840002,8913.374023476004,17850.620048316006,Borough,1,532439.9633,179751.461100001,-0.0933129512735988,51.5011913652754,833716.7040598297,True,0.7119593166833464,0.25145206726462466,0.03658861605202889,0.0,0.0,0.0,0.0,833716.704059846,1.0000000000000195,True,1,0.3648900545844313,
526,0,1.0,3.750309869964949e-48,1261.5081704142667,3717.403205908999,4978.911376323265,Boston Manor,4,516333.5188,178693.009,-0.3255952087308763,51.495219674970095,1750049.5930790636,True,0.0,0.0,0.0,0.0,0.5161187491722827,0.13979239160112275,0.3440888592265944,1750049.593079072,1.0000000000000049,True,5,0.5054285531034064,
527,0,1.0,1.4919356858247115e-41,3910.695672480389,13699.885550848723,17610.58122332911,Bounds Green,3/4,529984.4864,191469.272600001,-0.124341977871115,51.60706378685743,1837281.0780255897,True,0.037760633942047525,0.06604759406491245,0.07085747418892782,0.6354585253982409,0.18987577240587125,0.0,0.0,1837281.078025578,0.9999999999999937,True,4,0.5623812997455041,
528,2,0.999999927468255,1.264898801940596e-06,6489.373613292136,12474.97526503754,18964.34887832968,Bow Road,2,537089.8973,182735.951300001,-0.0252032121690731,51.526902665586434,1217713.8494362785,True,0.2221646792195936,0.708408020067394,0.03444155311298965,0.03498574760002265,0.0,0.0,0.0,1217713.8494363138,1.000000000000029,True,2,0.41715198674469406,
529,0,1.0,1.2405358143176472e-32,2072.6776554105745,4565.648293407941,6638.325948818516,Brent Cross,3,523873.7006,187934.037,-0.2137847584215133,51.57666898367216,1793474.5471181367,True,0.0,0.0,0.05298193878262135,0.2813775781771875,0.658923980142889,0.006716502897302195,0.0,1793474.5471181353,0.9999999999999992,True,5,0.4218723855782422,
530,0,1.0,8.325990864656844e-39,4817.629362765983,10950.721664779998,15768.35102754598,Bromley-by-Bow,2/3,538049.5634,182523.513599999,-0.0114614594625467,51.52476012571751,1571011.4856958317,True,0.0,0.1583892523737243,0.456416636951289,0.38519411067498666,0.0,0.0,0.0,1571011.4856958091,0.9999999999999857,True,3,0.5228052637314817,
531,4,0.9999999837125416,3.083665774372946e-07,1932.6078855194053,6242.019095033643,8174.626980553048,Buckhurst Hill,5,541777.5666,193891.179,0.0468240751565627,51.625982897027,1755887.3278828822,False,,,,,,,,,,False,,,station point outside Greater London/LNWC extent
532,4,0.9999999999820376,4.6019864244267724e-10,2360.681658068569,8697.543736676203,11058.225394744772,Burnt Oak,4,520325.5892,190759.991599999,-0.263993694832954,51.602834176714175,1853481.6077304112,True,0.0,0.07245769835928366,0.09995487306628968,0.5515637730488486,0.27602365552557806,0.0,0.0,1853481.6077304245,1.000000000000007,True,4,0.5672816316702711,
534,0,1.0,2.972065968581708e-18,6348.565699511074,10670.71058399232,17019.276283503394,Caledonian Road,2,530558.3633,184969.7784,-0.1184734764123798,51.54852353192346,1353351.0012886191,True,0.0,0.993641750968619,0.005214380609274903,0.0011438684221061549,0.0,0.0,0.0,1353351.0012885914,0.9999999999999796,True,2,0.02132386873340203,
535,1,0.9999953868181816,6.12934564604247e-05,52802.52488370019,35056.314223999645,87858.83910769984,Camden Town,2,528910.2525,183893.5725,-0.1426229702612466,51.53923059833878,1024591.2104846806,True,0.36662218459569323,0.4377133633867158,0.18254066789443507,0.0001434738390469532,0.0,0.01298031028410898,0.0,1024591.2104846609,0.9999999999999808,True,2,0.5640724801108766,
536,3,1.0,8.024710009354142e-102,8000.085283715004,5875.420527657001,13875.505811372004,Cannon Street LU,1,532611.4757,180900.064999999,-0.0904119205678546,51.511473069259,244434.78257941894,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,201900.4864329226,0.8259891833001444,True,1,-0.0,
537,0,0.9999999999972716,7.569726802629095e-11,1876.4533428766963,6755.427528807998,8631.880871684694,Canons Park,5,518186.8967,191252.07,-0.2946941062058866,51.60770907048488,1966085.0343725425,True,0.0,0.0,0.0,0.2296598755022666,0.6056462740673472,0.16469385043038626,0.0,1966085.0343725423,0.9999999999999999,True,5,0.4823579398914824,
539,4,1.0,1.9062234274394893e-62,1185.2686152942863,4023.2126503762847,5208.481265670571,Chalfont & Latimer,8,499633.5338,197564.355,-0.5607234520464773,51.66803142622906,2007391.033949385,False,,,,,,,,,,False,,,station point outside Greater London/LNWC extent
540,1,1.0,2.4202412345527493e-111,11684.83340538332,11665.841083698991,23350.67448908231,Chalk Farm,2,528202.4569,184390.607000001,-0.1526421476691667,51.54385835909765,1284359.4073482906,True,0.15997795433088835,0.5652724513248505,0.022167095430209678,0.12550931745580535,0.11231774579797676,0.014755435660269317,0.0,1284359.4073483099,1.000000000000015,True,2,0.6518053964735566,
541,3,1.0,2.7369938907680665e-160,17998.838891407606,5917.571720214,23916.410611621606,Chancery Lane,1,531123.9465,181615.465500001,-0.1115693026029435,51.51824890350831,546686.6347354882,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,546686.6347355053,1.0000000000000313,True,1,-0.0,
542,1,1.0,2.298093907870957e-48,56223.77277068601,26849.939994103675,83073.71276478969,Embankment,1,530419.3254,180395.871400001,-0.1221695343079573,51.50745185655674,341453.8019552259,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,211408.6888607576,0.6191428756985379,True,1,-0.0,
543,4,1.0,1.4778399500793418e-91,559.4056421786731,3065.533097699998,3624.938739878671,Chesham,9,496079.3711,201633.0847,-0.6109804023947352,51.70522161796168,2007391.033949385,False,,,,,,,,,,False,,,station point outside Greater London/LNWC extent
544,4,1.0,1.4657129711141414e-140,161.310656816424,782.7547328317072,944.0653896481311,Chigwell,4,543795.2009,193021.039000001,0.0755949749891976,51.61765286220907,1893706.6215227162,False,,,,,,,,,,False,,,station point outside Greater London/LNWC extent
545,0,1.0,1.0685979141123642e-14,2650.5889391086,4817.557987651997,7468.146926760597,Chiswick Park,3,520293.2801,178723.680199999,-0.2685715255005448,51.49466748590177,1051236.3874693108,True,0.0,0.6745902360689184,0.14121744255386137,0.0667940926962729,0.11739822868094736,0.0,0.0,1051236.387469323,1.0000000000000115,True,2,0.5006509642882979,
546,4,1.0,4.0264494911600335e-64,1016.0078630141388,2926.4929859207277,3942.500848934866,Chorleywood,7,502580.7743,196094.9067,-0.5185530310182181,51.65429398451199,2007391.033949385,False,,,,,,,,,,False,,,station point outside Greater London/LNWC extent
547,2,1.0,6.8654281447106105e-78,15919.988308653175,27540.148534056007,43460.13684270918,Clapham Common,2,529504.8104,175338.249199999,-0.1371925356673191,51.46221051259463,1388080.5238275137,True,0.18260750931680636,0.5129059931645988,0.06317009612575283,0.18024741466467004,0.06106898672817189,0.0,0.0,1388080.523827517,1.0000000000000024,True,2,0.6716661984783481,
548,2,1.0,1.1640977145741404e-29,10013.019612375085,18284.038310293618,28297.057922668704,Clapham North,2,530038.9661,175743.4515,-0.1293589507032176,51.46572960060881,961026.4252364924,True,0.2148050296765279,0.7478661411061949,0.0,0.03732882921727719,0.0,0.0,0.0,961026.4252364894,0.9999999999999969,True,2,0.34451266603238345,
549,0,1.0,1.6412473907881108e-45,8109.961520161199,20658.201825511995,28768.163345673194,Clapham South,2/3,528834.0334,174322.7074,-0.1472124126324337,51.45323695245536,1692061.2719411927,True,0.0,0.43612781417454466,0.23797513983055965,0.038430957275258734,0.2874660887196369,0.0,0.0,1692061.271941187,0.9999999999999967,True,2,0.6100765269135658,
550,0,1.0,1.9165333248035132e-19,1486.1034248744706,4476.264141884,5962.367566758471,Cockfosters,5,528140.5216,196370.205600001,-0.1491631467827761,51.65152862765704,1923513.970328423,True,0.0,0.0,0.0,0.0,0.3845906528836161,0.0,0.6154093471163838,1923513.9703284134,0.999999999999995,True,7,0.3423934128933459,
