lsoa,tier,total_activity
E01000459,3_reliable_core,603.76589
E01000460,2_below_reliable_threshold,107.78794
E01000461,2_below_reliable_threshold,260.77291
E01000462,3_reliable_core,4063.14778
E01000463,2_below_reliable_threshold,93.12998
E01000464,2_below_reliable_threshold,72.7097
E01000465,3_reliable_core,604.1622199999999
E01000466,3_reliable_core,1185.89148
E01000467,3_reliable_core,2945.55052
E01000468,0_no_recorded_activity,
E01000469,3_reliable_core,993.04926
E01000470,3_reliable_core,795.88974
E01000471,0_no_recorded_activity,
E01000472,3_reliable_core,3983.16678
E01000473,3_reliable_core,6587.241190000001
E01000474,3_reliable_core,968.27872
E01000475,3_reliable_core,1518.33727
E01000476,2_below_reliable_threshold,335.7048
E01000477,3_reliable_core,581.43079
E01000478,2_below_reliable_threshold,444.41811
E01000479,3_reliable_core,1247.22111
E01000480,3_reliable_core,523.23333
E01000481,3_reliable_core,3305.74021
E01000483,3_reliable_core,1301.74036
E01000484,1_matched_stop_no_activity,
E01000485,3_reliable_core,817.52778
E01000486,2_below_reliable_threshold,15.46933
E01000487,3_reliable_core,1319.2056
E01000488,3_reliable_core,711.93998
E01000489,3_reliable_core,894.82427
E01000490,3_reliable_core,2156.82322
E01000491,2_below_reliable_threshold,236.27249
E01000492,0_no_recorded_activity,
E01000493,3_reliable_core,1086.60031
E01000494,3_reliable_core,903.31938
E01000495,3_reliable_core,3650.37002
E01000497,3_reliable_core,2684.97198
E01000498,2_below_reliable_threshold,236.38664
E01000499,3_reliable_core,3727.86127
E01000501,2_below_reliable_threshold,225.88441
E01000502,2_below_reliable_threshold,119.02163
E01000503,2_below_reliable_threshold,91.57804
E01000504,1_matched_stop_no_activity,
E01000505,0_no_recorded_activity,
E01000506,3_reliable_core,646.58886
E01000507,2_below_reliable_threshold,307.97159
E01000508,3_reliable_core,2225.32997
E01000509,0_no_recorded_activity,
E01000510,3_reliable_core,4518.43888
E01000511,3_reliable_core,650.55538
E01000512,2_below_reliable_threshold,417.58257
E01000513,3_reliable_core,810.02091
E01000514,0_no_recorded_activity,
E01000515,3_reliable_core,3734.52378
E01000516,3_reliable_core,2541.51641
E01000517,0_no_recorded_activity,
E01000518,3_reliable_core,2473.37744
E01000519,3_reliable_core,2677.60249
E01000520,3_reliable_core,1186.20679
E01000521,3_reliable_core,3433.26049
E01000522,0_no_recorded_activity,
E01000523,3_reliable_core,1890.58775
E01000524,3_reliable_core,4182.05397
E01000525,3_reliable_core,4325.8798
E01000526,3_reliable_core,1649.8745
E01000527,0_no_recorded_activity,
E01000528,3_reliable_core,607.06211
E01000530,2_below_reliable_threshold,177.9166
E01000531,3_reliable_core,602.84498
E01000532,2_below_reliable_threshold,262.69422
E01000533,3_reliable_core,3006.77819
E01000534,0_no_recorded_activity,
E01000535,3_reliable_core,1438.82908
E01000536,2_below_reliable_threshold,12.41288
E01000538,0_no_recorded_activity,
E01000539,0_no_recorded_activity,
E01000540,1_matched_stop_no_activity,
E01000541,3_reliable_core,3251.85332
E01000543,3_reliable_core,7553.07293
E01000544,2_below_reliable_threshold,368.81095
E01000545,3_reliable_core,2030.19014
E01000546,2_below_reliable_threshold,148.53043
E01000547,2_below_reliable_threshold,313.47270000000003
E01000548,3_reliable_core,7495.6341
E01000549,2_below_reliable_threshold,30.93856
E01000550,3_reliable_core,6511.56444
E01000551,3_reliable_core,577.05177
E01000552,3_reliable_core,853.05306
E01000553,3_reliable_core,2952.17496
E01000554,3_reliable_core,470.72
E01000555,2_below_reliable_threshold,343.17345
E01000556,3_reliable_core,6267.6559
E01000557,3_reliable_core,936.39582
E01000558,0_no_recorded_activity,1430.28224
E01000559,3_reliable_core,1718.41584
E01000560,0_no_recorded_activity,
E01000561,3_reliable_core,844.37288
E01000562,2_below_reliable_threshold,78.67271
E01000563,3_reliable_core,494.48347
E01000564,3_reliable_core,1732.23104
E01000565,3_reliable_core,1981.69019
E01000566,0_no_recorded_activity,
E01000567,2_below_reliable_threshold,105.07673
E01000568,3_reliable_core,5135.3825
E01000569,0_no_recorded_activity,
E01000570,0_no_recorded_activity,
