unit,cluster,max_posterior,entropy,Station,mode_label,is_lu,easting,northing,lon,lat,matched_name,coord_source,total_activity,distance_centre_km,catchment_area_m2,station_in_london,equal_COA,equal_ACS,equal_OPS,equal_WAL,equal_GRQ,equal_URB,equal_DIS,equal_DRN,equal_CRN,equal_DUN,equal_LOU,equal_DIU,equal_REU,equal_MEU,equal_HDU,area_COA,area_ACS,area_OPS,area_WAL,area_GRQ,area_URB,area_DIS,area_DRN,area_CRN,area_DUN,area_LOU,area_DIU,area_REU,area_MEU,area_HDU,covered_area_m2,coverage_ratio,signature_dominant_equal,signature_dominant_area,signature_dominant_agreement,signature_dominant_collapsed
1443,3,1.0,1.8170848293303032e-51,Dalston Junction,LO,False,533562.0,184744.5,-0.075265,51.545795,Dalston Junction Station,naptan_rse_tmu,30748.784176192472,5.550565218966443,657630.995301643,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18145617371184378,0.8185438262881563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13501443660047407,0.864985563399526,0.0,0.0,0.0,0.0,657630.9953016394,0.9999999999999946,LOU,LOU,True,LOU
1445,2,1.0,2.2505523583121464e-34,Finchley Road & Frognal,LO,False,526094.0,185044.0,-0.1828,51.5502,Finchley Road & Frognal Station,naptan_rse_tmu,7386.99512397987,6.17120936283967,599056.9838943325,True,0.0,0.0,0.0,0.0002465619682530604,0.0,0.0,0.0,0.02014183749428331,0.007671594112853329,0.45304202182010544,0.5188979846045049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.831235891085234e-07,0.0,0.0,0.0,7.214304762904696e-05,0.00010366033216194425,0.31902368397987735,0.6807996295167426,0.0,0.0,0.0,0.0,599056.9838943263,0.9999999999999895,LOU,LOU,True,LOU
1448,2,0.9999999999681676,8.003144730621682e-10,Kensal Rise,LO,False,523571.0,183243.0,-0.2198,51.534575,Kensal Rise Station,naptan_rse_tmu,11179.220135998206,7.16068886351027,997920.4286917008,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3324874600508065,0.2764366344959969,0.387675277070207,0.0,0.0034006283829895777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39338263485871416,0.3073555179455183,0.2989322738367851,0.0,0.0003295733589823894,0.0,0.0,997920.4286916957,0.9999999999999949,LOU,CRN,False,LOU
1449,2,1.0,1.0982331642891694e-24,Kentish Town West,LO,False,528620.0,184687.0,-0.14652,51.54643,Kentish Town West Station,naptan_rse_tmu,10770.269645071492,4.566296092020315,486445.2978167709,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9484344031828269,0.0,0.0515655968171731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9543244809243243,0.0,0.045675519075675734,0.0,0.0,486445.2978167747,1.0000000000000078,LOU,LOU,True,LOU
1451,1,0.9999999992946867,1.5564299654486485e-08,South Hampstead,LO,False,526356.0,184079.0,-0.17937,51.54147,South Hampstead Station,naptan_rse_tmu,2134.1915767604123,5.288032148162491,539396.469176303,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011603593057739311,0.6942000039397869,0.3056839601296357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002711299239477399,0.6854570391575283,0.3142718309185239,0.0,0.0,0.0,0.0,539396.4691763053,1.0000000000000042,DUN,DUN,True,DUN
1452,0,1.0,7.2040879199572155e-25,South Acton,LO,False,520149.5,179240.5,-0.2704649999999999,51.499345,South Acton Station,naptan_rse_tmu,3246.864884642724,10.049200092544678,795113.9679835084,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03775240522319534,0.0,0.6218960288391209,0.34035156593768384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011651266584971157,0.0,0.5042523424175809,0.48409639099744795,0.0,0.0,0.0,0.0,795113.9679835004,0.99999999999999,DUN,DUN,True,DUN
1524,2,1.0,1.6437024747163847e-27,Upper Holloway,LO,False,529751.5,186655.5,-0.12948,51.56386,Upper Holloway Station,naptan_rse_tmu,6468.477298474721,6.288144281105516,1062344.4107049506,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04829229547325743,0.9517077045267426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023395922182679527,0.9766040778173205,0.0,0.0,0.0,0.0,1062344.4107049643,1.0000000000000129,LOU,LOU,True,LOU
3000,4,1.0,9.158642490717794e-25,Acton Main Line,EZL,False,520341.5,181216.5,-0.2670249999999999,51.51706,Acton Main Line Station,naptan_rse_tmu,13057.448204672,9.828248190801858,1081802.2455420715,True,0.0,0.027505380830471098,0.0,0.0,0.0,0.0,0.0,0.6011519742075472,0.016358182361277392,0.3427103409782756,0.012274121622428804,0.0,0.0,0.0,0.0,0.0,0.030794247732299336,0.0,0.0,0.0,0.0,0.0,0.7400399661291182,0.039957170363446454,0.17820658296238992,0.011002032812746143,0.0,0.0,0.0,0.0,1081802.245542088,1.0000000000000153,DRN,DRN,True,DRN
3174,4,0.9999999999322426,1.6588242658815896e-09,West Drayton,EZL,False,506117.0,180097.0,-0.472285,51.509845,West Drayton Station,naptan_rse_tmu,15917.433870161003,24.01865552024093,2007391.033949385,True,0.0,0.033399570834595604,0.3274961228580303,0.11310634458641124,0.0,0.20832374860961556,0.00179383467181298,0.3075611674703463,0.008137177250180492,0.000182033719007651,0.0,0.0,0.0,0.0,0.0,0.0,0.02621354329219426,0.4332841170390017,0.10005886395916484,0.0,0.27022687982055066,0.0026987440751883025,0.16313715641793572,0.004330818324810647,4.987707115387289e-05,0.0,0.0,0.0,0.0,0.0,2007391.0339493863,1.0000000000000007,OPS,OPS,True,OPS
3186,4,1.0,2.568956687858336e-20,Hayes & Harlington,EZL,False,509734.5,179436.0,-0.42038,51.503215,Hayes & Harlington Station,naptan_rse_tmu,36725.25042095919,20.421284221370602,2007391.033949385,True,0.0,0.20746440653906567,0.29835408619947074,0.09231944399479583,0.0,0.0,0.002956551843523266,0.3041039714529679,0.0944810662103107,0.0003204737598659701,0.0,0.0,0.0,0.0,0.0,0.0,0.12362066643244289,0.22485341941735007,0.10572332405671744,0.0,0.0,0.0021715887047852266,0.47163668471679815,0.07147214968981185,0.0005221669820942083,0.0,0.0,0.0,0.0,0.0,2007391.0339493859,1.0000000000000004,DRN,DRN,True,DRN
