iteration,K,reference_cluster,matched_candidate_cluster,jaccard,recall,precision
2,6,2,4,0.6071428571428571,0.8225806451612904,0.6986301369863014
2,6,3,5,0.7843137254901961,0.7843137254901961,1.0
2,6,4,1,0.746031746031746,0.7704918032786885,0.9591836734693877
2,6,5,3,0.6428571428571429,0.9,0.6923076923076923
2,7,0,5,0.6021505376344086,0.9032258064516129,0.6436781609195402
2,7,1,6,0.3508771929824561,0.5128205128205128,0.5263157894736842
2,7,2,2,0.42592592592592593,0.6764705882352942,0.5348837209302325
2,7,3,0,0.0,0.0,0.0
2,7,4,1,0.8947368421052632,1.0,0.8947368421052632
2,7,5,3,0.16666666666666666,0.17857142857142858,0.7142857142857143
2,7,6,4,0.6857142857142857,0.96,0.7058823529411765
2,8,0,0,0.24528301886792453,0.30952380952380953,0.5416666666666666
2,8,1,6,0.28,0.3783783783783784,0.5185185185185185
2,8,2,2,0.7272727272727273,0.8571428571428571,0.8275862068965517
2,8,3,1,0.4423076923076923,0.696969696969697,0.5476190476190477
2,8,4,3,0.0,0.0,0.0
2,8,5,4,0.3804347826086957,0.5555555555555556,0.546875
2,8,6,5,0.8620689655172413,0.9615384615384616,0.8928571428571429
2,8,7,7,0.603448275862069,0.8974358974358975,0.6481481481481481
3,3,0,1,1.0,1.0,1.0
3,3,1,0,0.9782608695652174,0.9782608695652174,1.0
3,3,2,2,0.9629629629629629,1.0,0.9629629629629629
3,4,0,0,0.7014925373134329,0.7230769230769231,0.9591836734693877
3,4,1,1,0.9629629629629629,1.0,0.9629629629629629
3,4,2,3,0.9782608695652174,0.9782608695652174,1.0
3,4,3,2,0.7468354430379747,0.9672131147540983,0.7662337662337663
3,5,0,3,0.27586206896551724,0.3076923076923077,0.7272727272727273
3,5,1,1,0.9142857142857143,0.9846153846153847,0.927536231884058
3,5,2,0,0.6938775510204082,0.8717948717948718,0.7727272727272727
3,5,3,4,0.9032258064516129,0.9180327868852459,0.9824561403508771
3,5,4,2,0.6582278481012658,0.9811320754716981,0.6666666666666666
3,6,0,4,0.0,0.0,0.0
3,6,1,1,0.8,0.8,1.0
3,6,2,2,0.6521739130434783,0.967741935483871,0.6666666666666666
3,6,3,0,0.9444444444444444,1.0,0.9444444444444444
3,6,4,5,0.7868852459016393,0.7868852459016393,1.0
3,6,5,3,0.8823529411764706,1.0,0.8823529411764706
3,7,0,6,0.15384615384615385,0.22580645161290322,0.32558139534883723
3,7,1,0,0.5967741935483871,0.9487179487179487,0.6166666666666667
3,7,2,3,0.0,0.0,0.0
3,7,3,1,0.3924050632911392,1.0,0.3924050632911392
3,7,4,4,0.43137254901960786,0.43137254901960786,1.0
3,7,5,5,0.6470588235294118,0.7857142857142857,0.7857142857142857
3,7,6,2,0.6666666666666666,0.96,0.6857142857142857
3,8,0,1,0.26666666666666666,0.2857142857142857,0.8
3,8,1,4,0.46551724137931033,0.7297297297297297,0.5625
3,8,2,0,0.7941176470588235,0.9642857142857143,0.8181818181818182
3,8,3,5,0.0,0.0,0.0
3,8,4,3,0.0,0.0,0.0
3,8,5,7,0.40860215053763443,0.6031746031746031,0.5588235294117647
3,8,6,2,0.5777777777777777,1.0,0.5777777777777777
3,8,7,6,0.48936170212765956,0.5897435897435898,0.7419354838709677
4,3,0,1,0.5,0.5,1.0
4,3,1,0,0.6388888888888888,1.0,0.6388888888888888
4,3,2,2,0.0,0.0,0.0
4,4,0,0,0.9242424242424242,0.9384615384615385,0.9838709677419355
4,4,1,3,0.9807692307692307,0.9807692307692307,1.0
4,4,2,1,0.989247311827957,1.0,0.989247311827957
