run,seed,K,ARI,minimum_matched_cluster_jaccard,BIC,converged,n_iter,convergence_warnings
6,10048,5,0.5336363680098226,0.0,63309.90642617778,True,11,0
6,10048,6,0.7561759472355551,0.5135135135135135,59078.49160781251,True,23,0
6,10048,7,0.792791622718672,0.4666666666666667,58111.92973406403,True,15,0
6,10048,8,0.767897255959552,0.2857142857142857,59330.13977220302,True,23,0
7,10049,3,1.0,1.0,76238.15141468882,True,14,0
7,10049,4,1.0,1.0,67853.199219112,True,15,0
7,10049,5,0.5120698051405385,0.0,62940.214981002595,True,11,0
7,10049,6,0.9208531048091453,0.8974358974358975,59398.91772801004,True,13,0
7,10049,7,0.6768007882572235,0.6829268292682927,58506.03249701342,True,11,0
7,10049,8,0.7217661245433085,0.0,59137.94231274861,True,13,0
8,10050,3,1.0,1.0,76238.15141469284,True,11,0
8,10050,4,1.0,1.0,67853.19921911579,True,11,0
8,10050,5,0.5172355320622736,0.0,63502.40139602577,True,13,0
8,10050,6,0.5937776340200067,0.5135135135135135,60354.64472288404,True,23,0
8,10050,7,0.857804163678641,0.40476190476190477,59552.35575398923,True,7,0
8,10050,8,0.5618022771898561,0.0,58131.95706791846,True,11,0
9,10051,3,1.0,1.0,76238.15141469284,True,15,0
9,10051,4,1.0,1.0,67853.19921911579,True,11,0
9,10051,5,0.5120698051405385,0.0,62940.214981002595,True,11,0
9,10051,6,0.9083791597433082,0.84375,59033.343026938106,True,17,0
9,10051,7,0.5964232355659899,0.5227272727272727,58209.731778415895,True,24,0
9,10051,8,0.6664852752944957,0.0,58958.43255350912,True,8,0
10,10052,3,1.0,1.0,76238.15141468919,True,6,0
10,10052,4,1.0,1.0,67853.19921911579,True,11,0
10,10052,5,0.5120698051405385,0.0,62940.214981002595,True,11,0
10,10052,6,0.9508337704813751,0.9230769230769231,58669.18095297525,True,15,0
10,10052,7,0.8867908519065442,0.6904761904761905,58494.37549583107,True,10,0
10,10052,8,0.6302659171205427,0.0,59827.241148118555,True,26,0
11,10053,3,1.0,1.0,76238.15141468919,True,6,0
11,10053,4,1.0,1.0,67853.19921911579,True,11,0
11,10053,5,0.5120698051405385,0.0,62940.214981002595,True,11,0
11,10053,6,0.670675672493781,0.0,63090.57671129741,True,17,0
11,10053,7,0.63722746936071,0.3953488372093023,59519.181973491155,True,11,0
11,10053,8,0.6964976477752999,0.0,58720.26232461493,True,13,0
12,10054,3,1.0,1.0,76238.15141468919,True,6,0
12,10054,4,1.0,1.0,67853.19921911579,True,11,0
12,10054,5,0.5187615428191854,0.0,63499.717233999734,True,17,0
12,10054,6,0.9422848056446737,0.9230769230769231,58635.32966996725,True,13,0
12,10054,7,0.6630073183245507,0.0,57255.455440721715,True,23,0
12,10054,8,0.8558075053242549,0.05555555555555555,58774.9099855251,True,28,0
13,10055,3,1.0,1.0,76238.15141469284,True,11,0
13,10055,4,1.0,1.0,67853.19921911579,True,11,0
13,10055,5,0.5187615428191854,0.0,63499.71723398325,True,11,0
13,10055,6,0.8751967873280715,0.8028169014084507,58598.12011955315,True,15,0
13,10055,7,0.6927747919351702,0.0,58769.36101986712,True,15,0
13,10055,8,0.6988814019763832,0.0,58131.40708937531,True,12,0
14,10056,3,1.0,1.0,76238.15141469284,True,11,0
14,10056,4,1.0,1.0,67853.199219112,True,15,0
14,10056,5,0.5421742068338168,0.0,63382.66780097196,True,11,0
14,10056,6,0.7097857405321696,0.5405405405405406,59124.54812854035,True,11,0
14,10056,7,0.6890949779471991,0.0,58908.6858423094,True,26,0
14,10056,8,0.765278750090353,0.05263157894736842,59441.168912844034,True,23,0
15,10057,3,1.0,1.0,76238.15141469284,True,11,0
15,10057,4,1.0,1.0,67853.19921911579,True,11,0
15,10057,5,0.5323023872143423,0.0,63227.02993357839,True,11,0
15,10057,6,0.9508337704813751,0.9230769230769231,58669.18095297525,True,15,0
15,10057,7,0.7660995365440239,0.1702127659574468,59988.714217903,True,13,0
15,10057,8,0.6553005366252573,0.0,59701.40544674635,True,14,0
16,10058,3,1.0,1.0,76238.15141469282,True,16,0
16,10058,4,1.0,1.0,67853.19921911579,True,11,0
16,10058,5,0.5120698051405385,0.0,62940.214981002595,True,11,0
16,10058,6,0.9508337704813751,0.9230769230769231,58669.18095297525,True,15,0
16,10058,7,0.6903645470524308,0.13793103448275862,59731.690889123405,True,11,0
16,10058,8,0.8527865962556423,0.0,59197.09794261042,True,24,0
17,10059,3,1.0,1.0,76238.15141469284,True,11,0
17,10059,4,1.0,1.0,67853.19921911579,True,11,0
17,10059,5,0.5396786415074603,0.0,63025.000835984734,True,13,0
17,10059,6,0.8072829487686911,0.6891891891891891,59076.50539940287,True,11,0
17,10059,7,0.790107489152689,0.7317073170731707,58984.52186305139,True,11,0
