lsoa,retained_for_fit,min_direction_activity,cluster
E01000483,True,1177.34989,1
E01000485,True,289.4568600000001,0
E01000487,True,1067.7655099999995,0
E01000489,True,380.53071,0
E01000491,True,95.38429000000004,0
E01000493,True,428.71783000000016,1
E01000494,True,351.31747,2
E01000495,True,115.40621000000004,2
E01000497,True,1226.7040499999998,1
E01000498,True,110.36253999999998,0
E01000499,True,1250.64076,1
E01000501,True,136.04439000000002,0
E01000502,True,40.09689,0
E01000503,False,28.37904,-1
E01000506,True,326.8934599999999,1
E01000507,True,227.54568,0
E01000508,True,942.0163500000002,1
E01000510,True,1934.75427,1
E01000511,True,273.85499,2
E01000512,True,42.83108999999999,2
E01000513,True,636.3845699999998,1
E01000515,True,995.04777,1
E01000516,True,1555.3287900000005,1
E01000518,True,1673.2294800000004,1
E01000519,True,946.76091,1
E01000520,True,476.77879,0
E01000521,True,533.26068,1
E01000523,True,1590.9656000000002,1
E01000524,True,3645.402880000001,1
E01000525,True,1368.6988400000002,1
E01000526,True,717.3257000000001,1
E01000528,True,282.25425,1
E01000530,True,72.85477,0
E01000531,True,157.02907000000002,2
E01000532,True,177.23301,2
E01000533,True,1139.97332,1
E01000535,True,1330.7012500000003,1
E01000541,True,995.2728100000002,1
E01000543,True,4378.484159999998,1
E01000544,True,336.1782199999999,2
E01000545,True,914.41473,1
E01000547,True,185.24055000000004,2
E01000548,True,1309.36237,1
E01000550,True,1857.8288,1
E01000551,True,282.42083999999994,0
E01000552,True,302.6368,1
E01000553,True,1292.06691,2
E01000554,True,166.41125,2
E01000555,True,153.28220999999996,0
E01000556,True,612.0422799999999,1
E01000557,True,446.3309599999999,1
E01000563,True,229.05405000000005,1
E01000564,True,718.90651,1
E01000565,True,713.2072299999999,1
E01000568,True,2506.631979999999,1
E01000571,True,575.15581,1
E01000572,False,32.17633,-1
E01000574,True,123.77473,0
E01000575,True,287.13992,0
E01000576,True,406.72148,0
E01000577,True,184.02966,0
E01000578,True,637.8408499999998,1
E01000580,True,190.15109,2
E01000581,True,577.03921,1
E01000583,True,1320.2581999999998,1
E01000586,True,4399.433030000001,1
E01000587,True,74.67495999999998,0
E01000589,True,299.3169,0
E01000590,True,163.77662999999998,0
E01000591,True,276.61475,1
E01000592,True,688.5119999999998,1
E01000594,True,1747.9025499999998,1
E01000595,True,65.22223,0
E01000596,True,511.57421,0
E01000599,True,481.95512,1
E01000601,True,1443.7670599999997,0
E01000602,True,309.67714000000007,2
E01000603,True,259.35837,2
E01000604,True,100.20177000000002,0
E01000605,True,479.19986000000006,2
E01000606,True,175.6366,0
E01000608,True,3353.9991800000003,1
E01000609,True,83.56901,0
E01000612,True,1232.39315,1
E01000615,True,90.11589999999998,0
E01000616,True,784.20563,0
E01000620,True,1524.5274000000004,1
E01000621,True,1713.6578100000004,2
E01000622,True,37.87499999999999,0
E01000623,True,451.01589,1
E01000625,True,272.44333999999986,2
E01000626,True,978.8733100000002,1
E01000627,True,506.2798800000001,1
E01000628,True,953.07492,1
E01000633,True,12446.570720000003,1
E01000634,True,1581.3186900000003,1
E01000636,True,1426.48229,1
E01000638,True,2122.08226,1
E01000640,True,3105.48633,1
E01000642,True,4354.645789999999,1
E01000643,True,1616.76842,1
E01000645,False,23.40018,-1
E01000646,True,130.56477999999998,0
E01000648,True,71.52219,0
E01000649,True,246.10875,0
E01000650,True,81.71968,0
E01000651,True,55.20150999999999,0
E01000653,True,68.75483000000001,0
E01000656,True,65.29619,0
E01000657,True,116.63419,0
E01000659,True,123.95951999999998,0
E01000661,True,397.57049000000006,1
E01000662,True,182.44667000000004,1
E01000663,True,88.57392,0
E01000664,False,22.84735,-1
E01000665,True,396.4163400000001,1
E01000666,True,177.75206999999995,0
E01000667,True,42.89636,0
E01000668,True,668.5211599999999,1
E01000670,True,248.6558899999999,2
E01000671,True,245.84976,1
E01000672,True,75.1704,0
E01000673,True,49.13114,0
E01000674,True,160.52074,0
E01000676,True,3282.81422,1
E01000677,True,155.70787000000004,0
E01000678,True,208.76599,0
E01000679,True,52.500980000000006,0
E01000682,True,89.40790999999999,0
E01000683,True,75.38328999999999,0
E01000684,True,37.7614,0
E01000685,True,51.87781,0
E01000686,True,247.16772000000003,1
E01000687,True,66.02893,0
E01000689,False,25.662719999999997,-1
E01000690,True,141.88030999999995,0
E01000691,True,160.82572999999996,0
E01000692,True,565.26129,0
E01000693,True,330.93279000000007,0
