K,cluster,n,log_total_activity_mean,log_total_activity_median,direction_balance_mean,direction_balance_median,post_midnight_share_mean,post_midnight_share_median,deep_night_share_mean,deep_night_share_median,post_midnight_persistence_mean,post_midnight_persistence_median,weekend_ratio_mean,weekend_ratio_median,zero_bin_count_mean,zero_bin_count_median,post_midnight_zero_bin_count_mean,post_midnight_zero_bin_count_median
5,3,348,5.92821248580742,5.822860704116422,-0.09511339262133975,-0.1117694730125959,0.14679269177392218,0.13252126799696,0.0941668501057455,0.07996309207563325,0.2675476940900495,0.21703163446272936,0.8201539286221149,0.787870285814716,5.764367816091954,5.0,5.522988505747127,4.0
5,4,654,5.6762385908502635,5.57536451824855,-0.19026975980333738,-0.20354223847953984,0.05970645332673919,0.0561148631632412,0.037689784745410536,0.033538232672532906,0.09049427831274473,0.08210126293808864,0.7434863465911686,0.7348784989738054,25.990825688073393,26.0,25.58868501529052,26.0
6,0,63,5.494133204849093,5.412475529172164,-0.1534602204200325,-0.1835683906449423,0.1531297994957002,0.1318935244943498,0.11627868354586901,0.097193118695822,0.2733212949741189,0.2114713687511522,0.774164769213373,0.7628191578604236,17.46031746031746,18.0,16.46031746031746,17.0
6,1,1061,8.1003116518957,7.957119769282257,-0.06424462542266014,-0.0793853993992895,0.12747845131299396,0.1214663586891363,0.07310239593984597,0.0692245040042514,0.2211643750560308,0.2024272917424378,0.8164657696413508,0.8115082854230511,0.2563619227144204,0.0,0.2563619227144204,0.0
6,2,474,6.340344998104351,6.304922034157519,-0.16848977430559675,-0.1839378563447318,0.0874201952198515,0.0837053093484128,0.056799202892610166,0.05199117680554665,0.13748532574836986,0.12938718151445983,0.7673056594427765,0.750889156734396,18.01054852320675,18.0,17.90506329113924,18.0
6,3,891,6.554127589155762,6.584486774171094,-0.1526342801325379,-0.177070336067134,0.12148666347131336,0.1147930645493903,0.07408832866876341,0.0663042757989666,0.20506631277924128,0.1848873853895877,0.7994129054675733,0.789703175835705,2.567901234567901,1.0,2.505050505050505,1.0
6,4,228,6.152377678836064,6.038204002270499,-0.01919413795846027,-0.030723947523209998,0.12320543770871681,0.10513652912666095,0.07608811691986384,0.05999963789697995,0.2214661217996874,0.16543134748471755,0.8169873939618414,0.784973483119752,5.543859649122807,4.0,5.4298245614035086,4.0
6,5,648,5.680733248723148,5.586327479122859,-0.1904423388926649,-0.20354223847953984,0.05893471694017865,0.055903069378998305,0.03713737696824337,0.0331757643087373,0.08905738444789986,0.0819374967920102,0.7433842406465561,0.7348784989738054,26.020061728395063,26.0,25.618827160493826,26.0
7,0,121,6.156693263960991,6.156421457314192,0.005153974200895692,-0.0146713218648557,0.07676665452010809,0.0703485521947998,0.04401404635598717,0.0362792072351786,0.12173252958274441,0.1033939747471266,0.8076475258221637,0.7767783240761532,8.619834710743802,7.0,8.545454545454545,7.0
7,1,549,8.607187771416402,8.535230871913646,-0.015030245369684895,-0.0272503311342005,0.13963768715462704,0.1313269725292549,0.0781789437067898,0.0736169639097587,0.25106935366925187,0.2220055438486368,0.8365243006859379,0.8276657905927635,0.14025500910746813,0.0,0.1384335154826958,0.0
7,2,595,6.283894793967119,6.252380417004445,-0.17146207550780376,-0.1816023900835797,0.08771034260247669,0.0836289085519596,0.05789342081098239,0.0523097589429536,0.13848105067781402,0.1284418234397122,0.7620673374403818,0.7492994901376967,18.921008403361345,19.0,18.73949579831933,19.0
7,3,390,6.379965132612452,6.376683708040828,-0.17751889744962507,-0.20256690892249746,0.15207394222626253,0.1450652431436099,0.10022162215409143,0.09237858451521185,0.2650807166079159,0.24363897128548373,0.7927123384540072,0.7872840621991224,2.5487179487179485,2.0,2.476923076923077,2.0
7,4,552,5.573271017565256,5.46974694838701,-0.19557667910810358,-0.2123843869116431,0.05799613788602058,0.05525419864358065,0.03650552152610147,0.0321791951877655,0.08739216003071472,0.08092036614601075,0.7405901475010411,0.731275853441619,26.568840579710145,26.0,26.117753623188406,26.0
7,5,894,7.299821253576143,7.303364169150543,-0.11296998477325573,-0.12825870945204854,0.11016089794268864,0.10547798273713449,0.06371525761293369,0.058506690004010806,0.1822188659453446,0.1704797112595692,0.7964863550304491,0.789719466282292,0.8098434004474273,0.0,0.8098434004474273,0.0
7,6,264,5.945355846909205,5.938242348827709,-0.1274316860557385,-0.1456911019191342,0.12469728271932702,0.10950957972419224,0.07706207268401308,0.06296857882032714,0.221483633087147,0.18113150949642146,0.8279500941921203,0.7921956668094237,5.909090909090909,5.0,5.681818181818182,5.0
8,0,93,6.416523643552402,6.4184468901635165,0.016498206905455184,0.0171718636535386,0.08494705248298882,0.0755178802675595,0.05133119539651457,0.0415387348789546,0.13668931962487038,0.1121504527598361,0.7951145480128368,0.7482280544698362,8.24731182795699,6.0,8.182795698924732,6.0
8,1,733,6.7795186530632225,6.797036366054775,-0.14341546557575285,-0.1707744635868237,0.1245191445446579,0.1169130723028173,0.07699940054053575,0.0688626963847986,0.21157031092203432,0.1892017519010405,0.8018159257861959,0.7932705761179122,1.6098226466575716,1.0,1.5948158253751705,1.0
8,2,273,5.97578302508735,5.979294693936474,-0.11749740834134853,-0.128032093981871,0.09916352010511537,0.0958019721762578,0.05430059904367406,0.0524996567338606,0.1605504006902123,0.1464738675453697,0.8058309067107384,0.7809766085072053,5.351648351648351,4.0,5.212454212454213,4.0
8,3,648,5.678868716378224,5.580574721739227,-0.19187126453828487,-0.20506295192001506,0.05957584153224368,0.0561148631632412,0.03767801226461939,0.033538232672532906,0.09010812321828175,0.08210126293808864,0.7423666755115798,0.7348784989738054,26.0,26.0,25.59567901234568,26.0
8,4,100,5.78377222177024,5.896012099254893,-0.204194892505118,-0.2485874746812993,0.15378683842345192,0.14380764118821435,0.11583164531894498,0.10156530036746615,0.2658226153663721,0.23357949736634875,0.7434984874105257,0.7374353675474864,9.07,8.0,8.6,7.0
8,5,921,8.159091962832274,8.027399961349477,-0.06250670245045607,-0.0757168987078664,0.12282584070061742,0.1195837322898589,0.06993467545067726,0.0659703164433923,0.20997726902030267,0.1982943002979316,0.8139172744833519,0.8108648457311617,0.23561346362649294,0.0,0.23561346362649294,0.0
8,6,489,6.304789215752535,6.271120880553503,-0.17142902705908,-0.1858765688105917,0.08982394989503739,0.0856794509139761,0.05918297496305515,0.0541527562922939,0.14170376328782489,0.1325993427633199,0.7642835172065022,0.7509963585759959,18.177914110429448,18.0,17.995910020449898,18.0
8,7,108,7.556547310158418,7.520690383863674,0.0031462428357760352,0.011005151266194299,0.21842176401165733,0.20917603837156545,0.12822759694717809,0.11548488994996715,0.45076202856015124,0.4034366686576891,0.9128147118097943,0.8954154794727249,0.49074074074074076,0.0,0.4722222222222222,0.0
