lsoa,cluster,area_km2,distance_centre_km,poi_count,shannon_group,shannon_category,group_richness,category_richness,poi_count_no_transport,shannon_group_no_transport,shannon_category_no_transport,group_richness_no_transport,category_richness_no_transport,log1p_poi_count,poi_density_km2,log1p_poi_count_no_transport,poi_density_km2_no_transport
E01000052,2,0.21610751913555726,15.47580526122663,22,1.6250574330808163,2.3110978862127145,7,12,18,1.4066777022503076,2.12020822394067,6,10,3.1354942159291497,101.80117789515742,2.9444389791664403,83.29187282331061
E01000057,0,0.10951503670516964,17.93092093426009,44,1.664051243353795,2.3411860449856023,7,14,41,1.5186878638059618,2.2453691143376577,6,13,3.8066624897703196,401.7713121756456,3.7376696182833684,374.3778136182152
E01000058,0,0.1988221467338739,18.539303190764496,15,1.0606018056124555,1.430280301911093,3,6,11,0.6554817739013927,1.1595888143086257,2,5,2.772588722239781,75.44431164440499,2.4849066497880004,55.32582853923032
E01000060,1,0.5865668924754178,20.416256678248438,77,1.9146969639815323,2.741744212026463,9,25,63,1.760681573351183,2.62668230736773,8,23,4.356708826689592,131.2723254376771,4.1588830833596715,107.404629903554
E01000061,1,0.5937643689810719,20.642269791549364,46,1.7692666088304267,2.5750478118672557,7,18,34,1.61717345300314,2.270871009179849,6,14,3.8501476017100584,77.47180936258975,3.5553480614894135,57.26177213756634
E01000062,3,0.155552379273384,19.945482210890127,10,1.4708084763221112,1.6957425341696346,5,6,8,1.2130075659799042,1.4941751382893083,4,5,2.3978952727983707,64.28702695974168,2.1972245773362196,51.42962156779334
E01000063,2,0.11450729396370588,19.633612588241284,5,1.3321790402101223,1.3321790402101223,4,4,3,1.0986122886681096,1.0986122886681096,3,3,1.791759469228055,43.665340668907916,1.3862943611198906,26.199204401344748
E01000064,3,0.22404669449992018,20.312939559134403,65,1.7612313586917607,2.43173159929384,8,18,60,1.6142121511207428,2.3405874117729955,7,17,4.189654742026425,290.11809411016844,4.110873864173311,267.8013176401555
E01000065,0,0.2504553978288609,19.42812086178714,29,1.3469074400767185,2.145458633056215,4,11,25,1.097032390352067,1.9333781510692731,3,9,3.4011973816621555,115.78907961814438,3.258096538021482,99.81817208460723
E01000067,1,0.17948636580386496,16.363983048363217,13,1.2047933096947843,1.6715952780212544,4,6,11,0.9164648855394713,1.4681399390162087,3,5,2.6390573296152584,72.42889977618604,2.4849066497880004,61.28599211831126
E01000068,2,0.37679260725457925,15.390554627793128,29,1.6358963491850746,2.246456451182312,6,14,25,1.4322595249177599,1.9741539199001683,5,11,3.4011973816621555,76.96541662879866,3.258096538021482,66.34949709379195
E01000070,1,0.43393563340061786,15.777824155677656,101,1.988554272018849,2.7043084031614164,9,23,86,1.8419933693868764,2.516320137117236,8,19,4.624972813284271,232.75341369984895,4.465908118654584,198.18607503155454
E01000071,0,0.3190458196751722,16.155449987988433,38,1.7700918721544354,2.6567019558627014,7,18,28,1.6200997959682875,2.29806759660018,6,13,3.6635616461296463,119.10514934403047,3.367295829986474,87.76168899033824
E01000072,0,0.5218868669341776,16.948383864022507,67,1.9143033326001533,2.730664386268968,8,21,56,1.756079651195821,2.5292582933886503,7,18,4.219507705176107,128.3803142884036,4.04305126783455,107.30294925597914
E01000073,0,0.2892679999049606,17.24752593200004,21,1.5834783417800256,1.8724509888392689,5,8,17,1.35458107521317,1.7115472862863528,4,7,3.091042453358316,72.59703806469979,2.8903717578961645,58.76903081428078
E01000074,0,0.14676603716702247,17.69700164252242,9,1.310783678099714,1.6769877743224173,4,6,8,1.0821955300387671,1.4941751382893083,3,5,2.302585092994046,61.322089045422906,2.1972245773362196,54.50852359593147
E01000075,0,0.462198474542636,18.04062955925185,52,1.9475181764213072,2.9018048116178288,8,22,44,1.7942306371253618,2.758341014854244,7,19,3.970291913552122,112.50578023100594,3.8066624897703196,95.19719865700502
E01000077,0,0.16633462416841094,18.108487608023257,30,1.9159984284150138,2.3040853307303735,8,12,27,1.767683838915073,2.198891508154362,7,11,3.4339872044851463,180.35932175868277,3.332204510175204,162.32338958281449
E01000078,0,0.1377765657938738,18.637400874024344,40,1.721904941357862,2.336964977736943,8,14,36,1.552024408851571,2.2354244492727724,7,13,3.713572066704308,290.325134535895,3.6109179126442243,261.2926210823055
E01000079,0,0.33258112600990547,18.83613231876258,8,1.2130075659799042,1.2130075659799042,4,4,6,0.8675632284814612,0.8675632284814612,3,3,2.1972245773362196,24.054281419931602,1.9459101490553132,18.040711064948702
E01000080,0,0.2588864774771383,18.451848267073878,16,1.4226300262075475,1.715263227902811,5,8,13,1.1569876443452742,1.5171515848932913,4,7,2.833213344056216,61.803150770642034,2.6390573296152584,50.215060001146654
E01000082,1,0.16602420666857712,19.06712484658234,47,1.5114759845357066,2.3712270251659677,6,14,43,1.333935265397865,2.273663147016988,5,13,3.871201010907891,283.09124881905274,3.784189633918261,258.9983765791334
E01000083,1,0.1743372005137006,18.407388679355318,22,1.4514626599095037,1.70351618011312,6,9,16,1.190076307208185,1.5366498974881577,5,8,3.1354942159291497,126.19222939897494,2.833213344056216,91.77616683561814
E01000084,3,0.16647684135252372,19.17278529949767,37,1.783295292112886,2.2594876278843667,7,11,32,1.6040219216281946,2.1546193098639694,6,10,3.6375861597263857,222.25313562773874,3.4965075614664802,192.21892811047675
E01000085,0,0.13953347631228766,19.49828759568744,49,1.75827326306231,2.2701040288321206,9,15,46,1.6275986171116346,2.1728096502142584,8,14,3.912023005428146,351.1702087199052,3.8501476017100584,329.66999185950283
E01000086,3,0.08877653576994968,19.224225935298445,6,1.5607104090414063,1.791759469228055,5,6,5,1.3321790402101223,1.6094379124341005,4,5,1.9459101490553132,67.585426125976,1.791759469228055,56.321188438313335
E01000087,3,0.37956316752612107,19.360560427794127,89,1.7764856326866778,2.8937974390931265,8,27,75,1.5916932737705438,2.750441186392152,7,23,4.499809670330265,234.48007502960658,4.330733340286331,197.59556884517409
E01000088,0,0.2154005492901085,19.74884401717181,22,1.4161071302294732,2.1466556192008057,5,11,19,1.1785052821753768,2.0244035325632357,4,10,3.1354942159291497,102.13530129103655,2.995732273553991,88.2077602058952
E01000090,0,2.0201721954383416,19.54473355090098,141,1.5951636828719034,2.488021073121901,9,29,94,1.4379742718656356,2.1165588506624107,8,24,4.955827057601261,69.79603041680588,4.553876891600541,46.53068694453725
