NLC,cluster,area_km2,distance_centre_km,poi_count,shannon_group,shannon_category,group_richness,category_richness,poi_count_no_transport,shannon_group_no_transport,shannon_category_no_transport,group_richness_no_transport,category_richness_no_transport,log1p_poi_count,poi_density_km2,log1p_poi_count_no_transport,poi_density_km2_no_transport
565,4,2.007391036554998,9.27380479915263,444,1.9334280562625554,3.084447474585485,9,40,397,1.7845732795311189,2.9492067940020545,8,36,6.09807428216624,221.1826156013801,5.986452005284438,197.7691405264592
566,4,1.8046333893148732,12.930399608679867,916,1.7515088330500712,2.9117477879538525,9,36,866,1.6286057530240625,2.8041546282079,8,32,6.821107472256465,507.58231861583715,6.7650389767805414,479.875860176108
567,4,1.7631663800466226,7.964836327839547,808,1.8341114550260413,3.1275430971724036,9,41,760,1.7103889081482389,3.0245924643676902,8,37,6.695798917058491,458.26645127990383,6.634633357861686,431.0427016989195
568,4,1.948979174626622,15.674120498872526,778,1.778363396572269,3.0657068094720534,9,41,721,1.6362388723598533,2.938910390817779,8,36,6.658011045870748,399.1833315248462,6.582025138892826,369.9372519658279
569,2,0.3243895448239823,3.1980953705326263,487,1.7482999141035185,3.062549165160063,9,41,461,1.6267775228572796,2.9460890413824696,8,37,6.1903154058531475,1501.281430831108,6.135564891081739,1421.1308821625069
570,4,0.9294097487914406,2.163549896222538,563,1.937118301327756,3.1336784529997526,9,41,511,1.794932890342873,3.0329800020108024,8,37,6.335054251498059,605.7608075793244,6.238324625039508,549.8113191350528
571,0,1.9883062050055043,23.034830243064807,320,1.911835393366734,3.007639511277919,9,36,279,1.753724548696722,2.8436501346187044,8,31,5.771441123130016,160.9410055626287,5.634789603169249,140.3204392249169
573,3,1.166432685502161,13.671693339809002,588,1.915217579212477,3.0344930838013386,9,41,536,1.7731214084192686,2.8955213870686256,8,36,6.3784261836515865,504.1011001392336,6.285998094508865,459.5207307391653
574,2,0.4360653525324688,2.375869428356733,341,1.9547138475571209,3.1831153325466803,9,42,314,1.8222372300019345,3.0585432575077425,8,38,5.834810737062605,781.9928779473705,5.752572638825633,720.0755533005113
575,2,0.18668338253457842,2.1383165680974168,205,1.9094748809732025,2.9126209727015393,9,31,193,1.791416534363895,2.782394550163613,8,27,5.327876168789581,1098.1159502079886,5.267858159063328,1033.8359921470333
576,0,1.498422231063525,17.98458340590833,198,2.009643534014768,3.0731133703917197,9,30,172,1.8657680677783635,2.9207444166061607,8,26,5.293304824724492,132.13898986233465,5.153291594497779,114.78740533495738
577,2,0.5981451396548421,2.0659812925518346,2005,1.5789483895125884,3.0635218341979273,9,45,1957,1.5019035286205402,2.9960389651881765,8,41,7.603897968521881,3352.029243532731,7.579678823090456,3271.7811618920473
578,4,1.7140940961590017,11.377657246121775,795,1.7033480093973739,3.1306181426402615,9,43,749,1.5733413741169748,3.0357922652196967,8,38,6.679599185844383,463.8018424901306,6.620073206530356,436.9655094655444
579,4,0.370978778931959,5.841856027839908,237,1.8571247969828761,3.044932029214859,9,37,216,1.7092751420735515,2.919708555346705,8,33,5.472270673671475,638.8505581972063,5.37989735354046,582.2435467113778
580,4,1.0259058575702407,6.507166594741436,692,1.8356875087886324,2.936255014298358,9,41,658,1.7244610599442471,2.831599565000785,8,37,6.541029999189903,674.5258299225774,6.490723534502507,641.3843874119304
581,4,0.9694841180043081,5.600560163156435,733,1.8562504716586636,3.0161258627209553,9,43,698,1.74787666493288,2.928470298875199,8,40,6.598509028614515,756.0722103513023,6.54965074223381,719.970535914337
582,4,1.9706109897229824,15.410161554442913,543,1.834449303880713,2.9542442294686437,9,39,499,1.690121035982989,2.8126649653335076,8,34,6.298949246855942,275.54905703450476,6.214608098422191,253.22095664865174
583,4,0.8896551739099726,4.238029573155711,606,1.8265941022700396,3.09644972519012,9,40,570,1.702396775218174,3.005324084517364,8,36,6.408528791059498,681.1627895521274,6.3473892096560105,640.69767334111
584,4,1.9750272395673782,8.615797560624362,631,1.9087414643005889,3.11239729738131,9,42,559,1.7538522017406482,2.9966827079675196,8,37,6.448889394146858,319.48926443071133,6.327936783729195,283.03407102498835
585,4,0.7220751081556922,6.992738263098967,415,1.8820987501166757,3.103435341404369,9,40,394,1.771453362584412,3.0118278070445603,8,37,6.030685260261263,574.732455547434,5.978885764901122,545.6496083992506
586,1,0.388843300749672,1.5750113137216588,989,1.6807347158585797,3.006088311253288,9,42,981,1.6470347147567104,2.9743712505416804,8,39,6.897704943128636,2543.441016196636,6.889591308354466,2522.8671758229525
588,2,0.37470990769046564,2.21873278263018,548,1.6003995381963885,3.138483493900881,9,39,532,1.5126237698678562,3.0656624358965967,8,35,6.3080984415095305,1462.464666006865,6.278521424165844,1419.7649677292923
589,4,2.0073910365838983,15.775312185088664,298,1.948541246016329,3.240820016072366,9,44,258,1.7951557496456987,3.0732577428141767,8,39,5.700443573390687,148.45139515374396,5.556828061699537,128.52503338814074
590,1,0.784210129529913,1.129908430656019,1783,1.6264242809353346,2.924817130774693,9,43,1756,1.5717449533749246,2.8737901206245318,8,40,7.486613313139955,2273.625311456767,7.471363088187097,2239.195763835156
591,2,1.3657228302198057,10.479695722939528,485,1.8535355878861748,3.284379797170771,9,44,441,1.7039131110761405,3.135073158138591,8,39,6.186208623900494,355.1233012059569,6.091309882077698,322.90592955015876
592,0,1.4734532301589653,18.628363037046356,221,1.8891495825181492,3.0322045525665478,9,32,191,1.7263259000411446,2.8707500297445545,8,28,5.402677381872279,149.98779430288204,5.2574953720277815,129.6274602346175
593,2,0.6448344151680079,6.9318125236418915,452,1.8819408698540614,3.225244139074838,9,42,409,1.7325037449540255,3.0984562344340176,8,37,6.115892125483034,700.9551434723502,6.016157159698354,634.2713576995382
594,4,1.2772605704339521,6.566459523475367,509,1.9339156091495997,2.880644403658358,9,39,487,1.8351839148830276,2.7772923196855266,8,35,6.234410725718371,398.50913101237137,6.1903154058531475,381.28476778590345
595,4,1.458803518169805,11.823745197978909,267,1.81314507703129,3.1707564130139105,9,40,222,1.6351735792333253,3.074543056321185,8,35,5.5909869805108565,183.02670419589788,5.407171771460119,152.17950685951058
596,4,1.7475255342727636,9.743859686814453,512,1.933860608667113,3.1255247210943518,9,40,456,1.7837518408707504,2.9775881191319242,8,36,6.240275845170769,292.9857046198011,6.124683390894205,260.9403931770103
597,4,1.9596895689374927,17.26319886995577,712,1.8368895315273988,3.1820222554473396,9,40,674,1.7203846325618377,3.0860556105816523,8,36,6.569481420414296,363.32285035636187,6.51471269087253,343.9320240732976
598,4,1.686047612267087,16.653690359916087,1048,1.7796138241407884,3.114853592986797,9,42,991,1.6585810122016742,3.0141499068293234,8,38,6.955592608396297,621.5720080353141,6.899723107284872,587.7651335524773
599,2,0.27542571200489835,6.761501307674094,566,1.5388994579947264,2.275978424144201,9,32,549,1.447510958469402,2.1665479096074445,8,28,6.340359303727752,2055.000587562914,6.309918278226516,1993.277955074275
601,4,1.8258383464475534,10.921314943502148,760,1.794547828766923,3.066315652347208,9,43,710,1.6612304500933646,2.9568254041966386,8,39,6.634633357861686,416.2471455803827,6.566672429803241,388.86246495009436
602,4,2.0073910365728,16.60515980720593,511,1.8784991890122675,3.1106026536071116,9,43,449,1.7172913885528809,2.99454675568972,8,39,6.238324625039508,254.55927155698848,6.1092475827643655,223.67341082013274
603,3,1.0498460863041414,4.722797845622974,571,1.9467297794496994,3.0605318881710457,9,40,545,1.845618776939859,2.9688081348186572,8,36,6.349138991379798,543.8892495281262,6.302618975744905,519.123714523343
604,4,2.0073910365493886,7.964006311039488,448,1.953230755088054,3.0572563994854804,9,41,405,1.8108787094086578,2.961866561699614,8,37,6.1070228877422545,223.17525177859272,6.0063531596017325,201.75441288020102
605,2,1.0829544542897376,4.640751006648813,947,1.8430772465816405,3.0505290789135833,9,39,915,1.7546874097074217,2.979784108541955,8,36,6.854354502255021,874.4596748725651,6.82001636467413,844.910879100736
606,0,1.7641259910011913,23.007794282173233,159,1.898499544689182,3.0232890882760004,9,30,133,1.7370872443204128,2.854625809243802,8,26,5.075173815233827,90.12961705176342,4.897839799950911,75.39144067851909
607,1,0.42288049993214094,1.2068177184692557,1038,1.7194441554258724,3.0227153928291215,9,41,1010,1.639608338022974,2.953852329808989,8,37,6.946013991099227,2454.594146967208,6.918695219020472,2388.38158808948
608,4,0.8946978346197311,5.51012391612464,287,1.9099252062197534,3.2046489815399872,9,37,275,1.8120293451557128,3.1213760578464855,8,34,5.662960480135946,320.7786907430956,5.62040086571715,307.3663413043599
609,4,0.8235439047784,5.129371749921237,518,1.9045697629512215,2.9472230175177123,9,38,487,1.7848422854180315,2.8283623907397186,8,34,6.251903883165888,628.9889306379894,6.1903154058531475,591.346735947299
610,0,1.8749273869030358,24.521308764719308,257,1.7857588916362532,2.966789280290937,9,38,237,1.6399678491668839,2.8529992366495294,8,35,5.552959584921617,137.0719750509949,5.472270673671475,126.40489528048947
611,4,1.5023043546072457,17.14262729372868,678,1.8763393777180908,3.0441859042590282,9,43,628,1.7415487447176963,2.925525815445197,8,39,6.520621127558696,451.30668623885646,6.444131256700441,418.02448223894083
612,4,1.2596055008311247,16.419393622346746,435,1.8844759671060176,2.981601758919446,9,36,395,1.7371812087798497,2.844674642272306,8,32,6.077642243349034,345.3462212676701,5.981414211254481,313.59024689822917
613,3,1.947103226992766,18.4076088813779,371,1.9731552064588915,2.98956532623465,9,36,328,1.8261270880905873,2.8757671034751384,8,32,5.918893854273146,190.5394613171058,5.796057750765372,168.45537280865418
614,2,0.8012721145750895,2.001369455125401,364,1.935435598863251,3.148538881296039,9,37,327,1.7885488954669355,3.034190305530677,8,34,5.8998973535824915,454.2776335016068,5.793013608384144,408.10106086545443
615,0,1.4430164564590553,22.731745322563768,196,1.8226241317876573,2.9880567427720814,9,34,171,1.651580236285727,2.809386205315516,8,30,5.2832037287379885,135.82658681589427,5.147494476813453,118.50176706896899
616,4,1.2529372691605367,2.543567799931915,686,1.9198542905468596,3.157406144236343,9,40,627,1.7797227764951629,3.0377111537942487,8,36,6.532334292222349,547.5134445155562,6.4425401664681985,500.4240957889996
617,4,1.3871229910885485,7.287166721383853,283,1.8713219133502736,3.0921708454267534,9,42,258,1.7250313875060987,2.944816176497754,8,37,5.648974238161206,204.01939973463706,5.556828061699537,185.99648456373274
618,2,0.9298059500897127,5.918691108172045,390,1.8319686208695385,3.04561523447237,9,35,361,1.6930943376971133,2.9229919170253,8,31,5.968707559985366,419.4423577977434,5.8916442118257715,388.2530542691932
619,3,0.802619972705818,4.8796122043038865,444,1.8905825172273925,3.1654440285606475,9,38,419,1.7737764749358833,3.0666385521491164,8,34,6.09807428216624,553.1883271022687,6.040254711277414,522.0403357113752
620,2,1.2788317360005683,15.578599596012253,245,1.8210452487506346,2.914522075620938,8,33,226,1.6784649327440104,2.761964240297176,7,29,5.5053315359323625,191.58110727390576,5.424950017481403,176.72379691388858
621,0,2.007391036559753,11.529977061491424,359,2.0049108702630636,3.1023046324274124,9,41,325,1.8685837140038826,2.9780319032389158,8,37,5.886104031450156,178.83909684843997,5.786897381366708,161.9016893474735
622,4,0.919849131605114,7.0005741546707165,217,1.8859653200265196,3.1250823198106117,9,37,198,1.7416058657028053,3.020494056619901,8,34,5.384495062789089,235.90825119478058,5.293304824724492,215.25269003026062
623,4,0.5519915113643332,5.613322771293239,158,1.9456379225524787,2.94614850081427,9,32,140,1.7955529096604603,2.8531316746667814,8,29,5.0689042022202315,286.2362857890302,4.948759890378168,253.62708867382423
624,0,1.8554145767448198,13.622075184549514,323,1.9395157849161226,2.9737212390578085,9,36,287,1.789407581304602,2.85159940558987,8,32,5.780743515792329,174.08508268091668,5.662960480135946,154.68241092700646
625,2,1.1326221638731166,2.49610813013596,1303,1.8574998057594374,3.1810458668165094,9,45,1225,1.7347584179932454,3.0503436042360756,8,40,7.1731917424865985,1150.427778619711,7.111512116496157,1081.5610351566738
626,2,1.067495438356664,2.5356285140232373,980,1.7145780245666065,2.7342677736792917,9,44,948,1.6237516464887145,2.6335101699359376,8,39,6.8885724595653635,918.0367098417233,6.855408798609928,888.0600009489324
627,4,1.0095057640695584,5.976737825037362,735,1.8819763091415198,2.9785149252190664,9,40,696,1.7683764915077507,2.87055447768402,8,36,6.601230118728877,728.0790523048029,6.546785410760524,689.4462862641399
628,4,0.8144166370227446,1.3604174231714383,538,1.9443714011802289,3.182016665026054,9,40,494,1.8092323843140898,3.077158000194002,8,36,6.289715570908998,660.5955423095993,6.20455776256869,606.5691410798179
629,4,1.0122093340533493,3.446129152294315,220,1.9096509765047138,3.0253062653369347,9,36,199,1.7629536982205194,2.8858930114106762,8,32,5.3981627015177525,217.34634585814314,5.298317366548036,196.59964920804765
630,2,0.6305756150131737,6.392099500638216,255,1.8893116639906413,3.2465216380217417,9,37,236,1.7549191393746666,3.1242992023951492,8,33,5.545177444479562,404.3924216680543,5.4680601411351315,374.26122162219923
631,1,0.1938016437350068,0.47120916807830465,1001,1.7741028395999037,2.6451612826235764,9,39,969,1.6864988298830874,2.5421252656018556,8,34,6.90975328164481,5165.074870926842,6.877296071497429,4999.957592335773
632,4,1.7140217832978901,10.012174207410762,533,1.909034397982417,2.9505418655861804,9,37,486,1.7664974146918637,2.803712408876904,8,33,6.280395838960195,310.96454268770907,6.18826412308259,283.5436543081175
633,4,1.2727967128605397,11.532434110549659,452,1.9164457722512465,3.0453634206486515,9,38,404,1.7654415915675203,2.9099478318503307,8,34,6.115892125483034,355.12348156851783,6.003887067106539,317.4112534373478
634,2,0.40307802551894295,3.189338549266131,1422,1.5319524307818606,2.790181990878867,9,41,1385,1.4490343597067756,2.7132056047631816,8,37,7.260522598089852,3527.8529465089186,7.234177179749849,3436.0593044408242
635,2,0.7555216452998895,2.5561300503887145,1317,1.8018630116952208,3.061348301770444,9,44,1254,1.6906431334491427,2.9400070960660547,8,39,7.183870715062453,1743.1664707332675,7.134890851565884,1659.7803753223368
637,4,0.9278743433591882,4.823426405874174,253,1.974151201797533,2.97980105006395,9,34,229,1.834534253925698,2.8601453567742054,8,30,5.537334267018537,272.66623095112516,5.438079308923196,246.8006596356034
638,4,1.2549061811456235,7.356067247872191,265,2.0096408685010556,3.036589794534763,9,35,220,1.8719286295618853,2.872881003997448,8,30,5.583496308781699,211.1711648101672,5.3981627015177525,175.3119104084407
639,1,0.2866901115177191,2.2878972473329626,568,1.5841257617278348,2.8451120777546466,9,38,544,1.4712502739812128,2.7199957239837933,8,33,6.343880434126331,1981.2333149303417,6.300785794663244,1897.5192312008908
640,2,0.9197719486624827,2.265690954687721,812,1.7534716720982262,3.0249401621918657,9,43,758,1.6164747577359706,2.89024654423992,8,39,6.70073110954781,882.8275326082701,6.63200177739563,824.1173272377694
641,4,0.5946860016329439,3.1060816960702904,528,1.8626022850027142,3.2200056280550555,9,42,495,1.737398001382672,3.1037971148652783,8,38,6.270988431858299,887.8635087258968,6.206575926724928,832.3720394305283
642,4,1.1941146389573176,6.721761619619362,473,1.9646743157817557,3.010446527702995,9,40,417,1.8159603879600832,2.8367927271273063,8,35,6.161207321695077,396.10937222327016,6.035481432524756,349.2127023617414
643,0,1.9617268518678503,12.635049770149331,221,1.8734637252832822,3.064298365831366,9,38,176,1.7178779626054608,2.9026252359283027,8,33,5.402677381872279,112.6558469593133,5.176149732573829,89.71687359655719
645,1,0.35764694930949054,2.842960220295008,756,1.5901305642106287,2.9089505037771515,9,42,718,1.4644468674063176,2.7881426188759666,8,38,6.6293632534374485,2113.816436739109,6.577861357721047,2007.5664042046035
