unit,cluster
E01001573,4
E01001574,3
E01001575,6
E01001576,3
E01001577,0
E01001579,9
E01001580,0
E01001581,0
E01001582,9
E01001583,4
E01001587,3
E01001588,0
E01001590,8
E01001591,0
E01001593,8
E01001594,0
E01001596,3
E01001597,11
E01001600,3
E01001601,5
E01001602,9
E01001603,4
E01001604,9
E01001605,3
E01001606,7
E01001607,9
E01001609,9
E01001611,9
E01001613,4
E01001614,4
E01001615,0
E01001617,4
E01001618,3
E01001619,3
E01001620,8
E01001621,2
E01001624,1
E01001625,9
E01001629,4
E01001631,0
E01001632,4
E01001633,3
E01001634,3
E01001637,8
E01001638,4
E01001641,0
E01001642,4
E01001644,0
E01001645,9
E01001646,0
E01001648,0
E01001651,4
E01001652,2
E01001653,3
E01001655,3
E01001658,4
E01001659,0
E01001660,3
E01001661,4
E01001665,0
E01001666,0
E01001669,9
E01001671,9
E01001673,0
E01001674,3
E01001676,0
E01001677,0
E01001678,9
E01001680,3
E01001682,4
E01001683,0
E01001684,8
E01001686,3
E01001688,4
E01001690,4
E01001693,0
E01001694,8
E01001695,8
E01001696,0
E01001697,4
E01001698,3
E01001699,4
E01001700,0
E01001701,4
E01001703,3
E01001704,8
E01001705,0
E01001708,4
E01001710,3
E01001712,0
E01001714,0
E01001716,0
E01001717,4
E01001718,0
E01001719,9
E01001720,1
E01001722,0
E01001724,0
E01001726,0
E01001727,3
E01001728,4
E01001729,0
E01001730,8
E01001731,6
E01001733,8
E01001734,0
E01001735,6
E01001737,8
E01001738,4
E01001739,2
E01001740,9
E01001741,4
E01001742,4
E01001744,6
E01001745,10
E01001746,1
E01001747,0
E01001749,0
E01001750,0
E01001751,4
E01001755,0
E01001756,0
E01001757,9
E01001758,0
E01001760,0
E01001761,6
E01001762,0
E01001765,6
E01001767,9
E01001769,1
E01001770,0
E01001772,9
E01001774,0
E01001775,11
E01001776,3
E01001777,0
E01001781,4
E01001784,3
E01001786,4
E01001787,4
E01001788,4
E01001791,8
E01001792,0
E01001793,4
E01001795,0
E01001796,3
E01001798,0
E01001800,0
E01001801,9
E01001802,9
E01001803,4
E01001805,6
E01001806,8
E01001807,4
E01001808,0
E01001809,4
E01001811,4
