OA21CD,LSOA21CD,LSOA21NM,MSOA21CD,MSOA21NM,LAD22CD,LAD22NM
E00000134,E01000025,Barking and Dagenham 008E,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham
E00000135,E01000032,Barking and Dagenham 002B,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham
E00000136,E01000031,Barking and Dagenham 002A,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham
E00000137,E01000028,Barking and Dagenham 001B,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham
E00000138,E01000027,Barking and Dagenham 001A,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham
E00000139,E01000030,Barking and Dagenham 001D,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham
E00000140,E01000029,Barking and Dagenham 001C,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham
E00000141,E01000030,Barking and Dagenham 001D,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham
E00000142,E01000030,Barking and Dagenham 001D,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham
E00000143,E01000029,Barking and Dagenham 001C,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham
E00000144,E01000029,Barking and Dagenham 001C,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham
E00000145,E01000029,Barking and Dagenham 001C,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham
E00000146,E01000031,Barking and Dagenham 002A,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham
E00000147,E01000029,Barking and Dagenham 001C,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham
E00000148,E01000029,Barking and Dagenham 001C,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham
E00000149,E01000031,Barking and Dagenham 002A,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham
E00000150,E01000032,Barking and Dagenham 002B,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham
E00000151,E01000031,Barking and Dagenham 002A,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham
E00000152,E01000031,Barking and Dagenham 002A,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham
E00000153,E01000032,Barking and Dagenham 002B,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham
E00000154,E01000032,Barking and Dagenham 002B,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham
E00000155,E01000032,Barking and Dagenham 002B,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham
E00000156,E01000027,Barking and Dagenham 001A,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham
E00000157,E01000027,Barking and Dagenham 001A,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham
E00000158,E01000027,Barking and Dagenham 001A,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham
E00000159,E01000030,Barking and Dagenham 001D,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham
E00000160,E01000027,Barking and Dagenham 001A,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham
E00000161,E01000028,Barking and Dagenham 001B,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham
E00000162,E01000028,Barking and Dagenham 001B,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham
E00000163,E01000030,Barking and Dagenham 001D,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham
E00000164,E01000028,Barking and Dagenham 001B,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham
E00000165,E01000030,Barking and Dagenham 001D,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham
E00000166,E01000028,Barking and Dagenham 001B,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham
E00000167,E01000035,Barking and Dagenham 010A,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham
E00000168,E01000033,Barking and Dagenham 006A,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham
E00000169,E01000033,Barking and Dagenham 006A,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham
E00000170,E01000034,Barking and Dagenham 003A,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham
E00000171,E01000034,Barking and Dagenham 003A,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham
E00000172,E01000033,Barking and Dagenham 006A,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham
E00000173,E01000035,Barking and Dagenham 010A,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham
E00000174,E01000036,Barking and Dagenham 010B,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham
E00000001,E01000001,City of London 001A,E02000001,City of London 001,E09000001,City of London
E00000003,E01000001,City of London 001A,E02000001,City of London 001,E09000001,City of London
E00000005,E01000001,City of London 001A,E02000001,City of London 001,E09000001,City of London
E00000007,E01000001,City of London 001A,E02000001,City of London 001,E09000001,City of London
E00000010,E01000003,City of London 001C,E02000001,City of London 001,E09000001,City of London
E00000013,E01000003,City of London 001C,E02000001,City of London 001,E09000001,City of London
E00000018,E01000002,City of London 001B,E02000001,City of London 001,E09000001,City of London
E00000019,E01000002,City of London 001B,E02000001,City of London 001,E09000001,City of London
E00000020,E01000002,City of London 001B,E02000001,City of London 001,E09000001,City of London
E00000021,E01000002,City of London 001B,E02000001,City of London 001,E09000001,City of London
E00000022,E01000003,City of London 001C,E02000001,City of London 001,E09000001,City of London
E00000023,E01000003,City of London 001C,E02000001,City of London 001,E09000001,City of London
E00000024,E01032739,City of London 001F,E02000001,City of London 001,E09000001,City of London
E00000025,E01032740,City of London 001G,E02000001,City of London 001,E09000001,City of London
E00000286,E01000054,Barking and Dagenham 018A,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham
E00000287,E01000057,Barking and Dagenham 012A,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham
E00000288,E01000057,Barking and Dagenham 012A,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham
E00000289,E01000059,Barking and Dagenham 013C,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham
E00000290,E01000057,Barking and Dagenham 012A,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham
E00000291,E01000055,Barking and Dagenham 018B,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham
E00000292,E01000054,Barking and Dagenham 018A,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham
E00000293,E01000059,Barking and Dagenham 013C,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham
E00000294,E01000054,Barking and Dagenham 018A,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham
E00000295,E01000056,Barking and Dagenham 018C,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham
E00000296,E01000055,Barking and Dagenham 018B,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham
E00000297,E01000054,Barking and Dagenham 018A,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham
E00000298,E01000063,Barking and Dagenham 004A,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham
E00000299,E01000060,Barking and Dagenham 006B,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham
E00000225,E01000040,Barking and Dagenham 019A,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham
E00000496,E01000101,Barking and Dagenham 004C,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham
E00000300,E01000060,Barking and Dagenham 006B,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham
E00000301,E01000060,Barking and Dagenham 006B,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham
E00000302,E01000063,Barking and Dagenham 004A,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham
E00000303,E01000063,Barking and Dagenham 004A,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham
E00000304,E01000060,Barking and Dagenham 006B,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham
E00000305,E01000061,Barking and Dagenham 006C,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham
E00000306,E01000063,Barking and Dagenham 004A,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham
E00000307,E01000064,Barking and Dagenham 006E,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham
E00000308,E01000060,Barking and Dagenham 006B,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham
E00000309,E01000060,Barking and Dagenham 006B,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham
E00000310,E01000064,Barking and Dagenham 006E,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham
E00000311,E01000064,Barking and Dagenham 006E,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham
E00000312,E01000062,Barking and Dagenham 006D,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham
E00000313,E01000062,Barking and Dagenham 006D,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham
E00000314,E01000064,Barking and Dagenham 006E,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham
E00000315,E01000063,Barking and Dagenham 004A,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham
E00000316,E01000065,Barking and Dagenham 007A,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham
E00000317,E01000062,Barking and Dagenham 006D,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham
E00000318,E01000065,Barking and Dagenham 007A,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham
E00000319,E01000062,Barking and Dagenham 006D,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham
E00000320,E01000062,Barking and Dagenham 006D,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham
E00000321,E01000065,Barking and Dagenham 007A,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham
E00000322,E01000062,Barking and Dagenham 006D,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham
E00000323,E01000065,Barking and Dagenham 007A,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham
E00000324,E01000065,Barking and Dagenham 007A,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham
E00000325,E01000065,Barking and Dagenham 007A,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham
E00000326,E01000064,Barking and Dagenham 006E,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham
E00000327,E01000061,Barking and Dagenham 006C,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham
E00000328,E01000061,Barking and Dagenham 006C,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham
E00000329,E01000061,Barking and Dagenham 006C,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham
E00000330,E01000061,Barking and Dagenham 006C,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham
E00000331,E01000066,Barking and Dagenham 011A,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham
E00000332,E01000067,Barking and Dagenham 011B,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham
E00000333,E01000067,Barking and Dagenham 011B,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham
E00000334,E01000069,Barking and Dagenham 011C,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham
E00000335,E01000067,Barking and Dagenham 011B,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham
E00000175,E01000035,Barking and Dagenham 010A,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham
E00000547,E01000114,Barking and Dagenham 004E,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham
E00000336,E01000069,Barking and Dagenham 011C,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham
E00000389,E01000076,Barking and Dagenham 012E,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham
E00000439,E01000084,Barking and Dagenham 013D,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham
E00000176,E01000035,Barking and Dagenham 010A,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham
E00000177,E01000035,Barking and Dagenham 010A,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham
E00000178,E01000036,Barking and Dagenham 010B,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham
E00000179,E01000036,Barking and Dagenham 010B,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham
E00000180,E01000036,Barking and Dagenham 010B,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham
E00000181,E01000037,Barking and Dagenham 003B,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham
E00000182,E01000038,Barking and Dagenham 003C,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham
E00000183,E01000038,Barking and Dagenham 003C,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham
E00000184,E01000037,Barking and Dagenham 003B,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham
E00000185,E01000037,Barking and Dagenham 003B,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham
E00000186,E01000038,Barking and Dagenham 003C,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham
E00000187,E01000034,Barking and Dagenham 003A,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham
E00000188,E01000038,Barking and Dagenham 003C,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham
E00000189,E01000037,Barking and Dagenham 003B,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham
