LSOA21CD,n_oas,loac_dominant_supergroup,loac_A_share,loac_B_share,loac_C_share,loac_D_share,loac_E_share,loac_F_share,loac_G_share
E01000296,5,B,0.2,0.8,0.0,0.0,0.0,0.0,0.0
E01000297,4,B,0.0,0.5,0.5,0.0,0.0,0.0,0.0
E01000298,5,B,0.2,0.6,0.0,0.0,0.0,0.0,0.2
E01000299,7,B,0.0,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0
E01000300,5,A,0.4,0.4,0.0,0.0,0.0,0.0,0.2
E01000301,4,G,0.25,0.0,0.0,0.0,0.0,0.0,0.75
E01000302,6,B,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0
E01000303,4,G,0.25,0.0,0.0,0.0,0.0,0.0,0.75
E01000304,5,B,0.0,0.8,0.0,0.0,0.0,0.0,0.2
E01000305,6,C,0.0,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0
E01000306,5,C,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E01000307,4,C,0.0,0.0,0.75,0.0,0.0,0.25,0.0
E01000308,6,D,0.0,0.0,0.0,0.5,0.16666666666666666,0.3333333333333333,0.0
E01000309,5,C,0.0,0.2,0.6,0.0,0.0,0.0,0.2
E01000310,6,C,0.0,0.0,0.5,0.0,0.3333333333333333,0.16666666666666666,0.0
E01000311,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000312,5,F,0.0,0.0,0.2,0.0,0.0,0.8,0.0
E01000313,5,C,0.0,0.0,0.8,0.0,0.2,0.0,0.0
E01000314,5,C,0.0,0.0,0.8,0.0,0.2,0.0,0.0
E01000315,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000316,6,C,0.16666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.16666666666666666,0.0
E01000317,5,B,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E01000318,5,C,0.0,0.0,0.6,0.0,0.0,0.0,0.4
E01000319,4,A,0.75,0.0,0.0,0.0,0.0,0.25,0.0
E01000320,6,A,0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666
E01000321,5,B,0.2,0.8,0.0,0.0,0.0,0.0,0.0
E01000322,6,B,0.0,0.5,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
E01000323,6,B,0.0,0.5,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
E01000324,5,C,0.0,0.2,0.4,0.0,0.0,0.0,0.4
E01000325,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000326,4,G,0.0,0.0,0.0,0.0,0.0,0.25,0.75
E01000327,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000328,5,G,0.0,0.0,0.0,0.0,0.0,0.2,0.8
E01000329,4,G,0.0,0.0,0.0,0.0,0.0,0.25,0.75
E01000330,6,F,0.0,0.0,0.0,0.0,0.0,0.5,0.5
E01000331,5,F,0.0,0.0,0.0,0.0,0.0,0.6,0.4
E01000332,5,G,0.0,0.0,0.0,0.0,0.0,0.2,0.8
E01000333,6,F,0.0,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.0
E01000334,5,G,0.0,0.0,0.0,0.0,0.0,0.2,0.8
E01000335,8,F,0.0,0.125,0.0,0.125,0.125,0.625,0.0
E01000336,6,F,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0
E01000337,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000338,5,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E01000339,5,G,0.0,0.0,0.0,0.0,0.0,0.2,0.8
E01000340,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000341,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000342,5,G,0.0,0.2,0.0,0.0,0.0,0.0,0.8
E01000343,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000344,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000345,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000346,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000347,5,G,0.2,0.0,0.2,0.0,0.0,0.0,0.6
E01000348,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000349,5,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E01000350,4,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0
