unit,cluster,max_posterior,normalized_entropy
E01002172,1,0.9999999999998863,5.938720567051773e-12
E01002174,0,0.9836745412525739,0.12027923365777687
E01002175,1,0.7267649628126408,0.8460685050821053
E01002176,0,0.9795809723571067,0.14378684282265541
E01002177,1,1.0,8.774541835673857e-49
E01002179,0,0.9999999892262394,3.007027235368908e-07
E01002181,1,0.9932238354229611,0.058567145054325614
E01002184,1,0.9999999999645297,1.282233925872962e-09
E01002185,1,0.9999999999999432,1.5683930051125409e-12
E01002186,1,0.9968516839017908,0.03070119957817345
E01002187,1,1.0,1.5445081296566138e-33
E01002189,0,0.9308093143088165,0.36289616491576127
E01002191,1,0.9999999998390194,5.46905903781788e-09
E01002192,1,0.7435213264151002,0.8213860164360668
E01002193,1,0.9999999993460733,2.0894369578840297e-08
E01002195,1,0.9999996757273337,7.457942423432034e-06
E01002196,1,1.0,2.9908841404914516e-21
E01002198,1,1.0,2.6046737343688702e-23
E01002199,1,0.9999999996037445,1.2948608065951864e-08
E01002200,1,0.9999999999980673,7.721890505222349e-11
E01002201,1,0.9999997597277859,5.629943519951796e-06
E01002202,0,0.9999996858076013,7.240420848262396e-06
E01002203,0,1.0,1.9570366381458165e-26
E01002204,1,0.7041552999506528,0.8761520238580325
E01002207,1,0.9999983956013035,3.319858663136468e-05
E01002208,1,1.0,1.0122885838997404e-23
E01002209,0,0.9998982013773197,0.0014969096500265758
E01002211,1,0.9999999991266009,2.7543157541601993e-08
E01002212,0,0.8857777359379426,0.5125216689200087
E01002214,1,0.6897677426217786,0.8934413777149527
E01002215,1,1.0,3.583169519372755e-35
E01002216,1,0.9999968948085788,6.129517235006457e-05
E01002217,1,1.0,1.2581110889198991e-14
E01002218,0,0.8740044942028042,0.5463526600808627
E01002219,0,0.9999972642505572,5.450249081627493e-05
E01002221,0,0.9999999992968469,2.239339716889946e-08
E01002225,1,1.0,6.560563924364299e-13
E01002226,0,0.9742821088855113,0.17244016336224935
E01002227,1,0.9999999822631481,4.822897346218468e-07
E01002228,1,0.9999803183293563,0.0003360737496939605
E01002232,0,0.9999994860222798,1.1479427883779992e-05
E01002233,0,0.9999999997760938,7.501231461980048e-09
E01002235,1,0.9999999999999432,1.5702607104204966e-12
E01002240,0,1.0,1.8281524616464082e-19
E01002242,1,1.0,3.844524436575574e-22
E01002243,1,0.5528472923682034,0.9919265064569273
E01002244,1,0.999999999984027,5.957333782677133e-10
E01002245,1,0.9999242133828768,0.0011466771125068689
E01002246,0,0.9627725258457417,0.22943254984584638
E01002247,0,0.9999999999970441,1.1776758784448162e-10
E01002248,0,0.9981277855635424,0.01966271172072056
E01002250,0,1.0,2.766265024375882e-54
E01002251,0,0.9999999798562274,5.440390657468277e-07
E01002253,1,1.0,4.69938077791864e-22
E01002254,1,1.0,1.416657132601823e-13
E01002258,1,0.9999999998868816,3.901599473642891e-09
E01002259,1,1.0,4.673125418578287e-51
E01002260,1,0.9999999999913598,3.305612878856631e-10
E01002261,0,1.0,2.742736595194547e-18
E01002262,1,0.9999999999996021,1.6117708097804957e-11
E01002263,1,0.9999995027726057,1.1129085324072726e-05
E01002265,1,0.99964599228937,0.00456895493651449
E01002266,0,0.9993341002483335,0.007987215788831359
E01002269,1,1.0,2.1230384744376323e-19
E01002272,1,0.9999999999997158,1.3077831389889312e-11
E01002273,1,1.0,3.210015799435796e-52
E01002274,1,0.9999993604127779,1.4083103023489464e-05
E01002276,1,0.9999999999996589,1.475686989931772e-11
E01002277,0,0.9998613409352559,0.001977107082734242
E01002278,0,0.9999999999965894,1.3391938255591485e-10
E01002279,1,0.9948831319298945,0.046305204734583966
E01002281,0,0.985246338699645,0.11087056259964151
E01002282,0,0.9890880533688603,0.08677990330142442
E01002283,1,0.9999999999405418,2.104824094982535e-09
E01002284,1,1.0,1.8224510052317433e-16
E01002285,1,1.0,5.783649273465025e-23
E01002288,1,0.999984220654775,0.000274470456310068
E01002291,0,0.9999303784035253,0.0010619208332278654
E01002292,1,1.0,3.306579355968422e-17
E01002294,1,1.0,2.375539522261691e-40
E01002295,1,0.9999999977302423,6.844997982669275e-08
E01002296,1,1.0,2.862181800579372e-38
E01002297,1,1.0,3.72355747011863e-35
E01002298,1,1.0,2.427606813675408e-34
E01002299,1,0.9999999483820274,1.3240133828815525e-06
E01002300,1,0.9999939523721484,0.0001135616894857361
E01002301,0,0.999999742421584,6.009608074554216e-06
E01002302,0,0.8923616202027893,0.492751243939097
E01002303,1,0.9999949897886496,9.544146285168373e-05
E01002304,1,1.0,1.717040452800721e-30
E01002305,1,1.0,7.702661296107499e-20
E01002306,1,0.9999999880122346,3.3273966828345827e-07
E01002307,0,1.0,8.712199269387062e-27
E01002308,1,1.0,5.186381900652622e-14
E01002310,0,0.999818839564043,0.0025132403252193123
E01002312,1,1.0,3.1244204115835595e-36
E01002313,1,1.0,2.4984529170003183e-26
E01002314,1,0.9999907537984997,0.00016796091316195362
E01002315,1,0.9999427580518009,0.0008892663416010269
E01002316,0,0.7326376969952353,0.8376541915914095
E01002317,1,1.0,5.043418944941887e-31
E01002319,0,0.9999995867260908,9.360279501518015e-06
E01002321,1,0.9979458634950199,0.02129824144299392
E01002322,1,0.9999999992778612,2.2970306491703233e-08
E01002323,1,1.0,2.860819124213304e-25
E01002325,1,0.9983425703772482,0.017698589528479813
E01002326,0,0.9994422285513798,0.006832884818708175
E01002328,1,0.9993830711362252,0.007467836392372261
E01002329,1,0.9647136196727313,0.22024633863159754
E01002331,1,1.0,7.612660329871319e-41
E01002334,1,1.0,1.2010874052891592e-23
E01002335,1,0.9940363520813063,0.052646927574267456
E01002336,1,0.9999999286575897,1.7966413879799e-06
E01002337,0,1.0,2.7656269032099206e-13
E01002338,1,0.9909984622218079,0.07409881396308163
E01002341,1,1.0,1.3398211151274845e-30
E01002342,1,0.9999997052678261,6.819155715828061e-06
E01002344,1,0.9999999999975557,9.88331677144227e-11
E01002345,0,0.9986854425337915,0.014477160177105472
E01002346,1,1.0,1.4759207880184905e-21
E01002348,1,1.0,2.668071070452688e-23
E01002349,1,0.9999999999999432,2.0079481755002333e-12
E01002350,0,1.0,7.45550015258936e-19
E01002352,1,0.9999991835305118,1.7690274941268566e-05
E01002353,0,1.0,4.77712109303209e-13
E01002356,0,0.9999999999999432,3.2563521958071334e-12
E01002358,1,0.9999999999919282,3.0938211577782976e-10
E01002360,1,0.9999994834895088,1.1532333179792279e-05
E01002361,0,0.9797601845888403,0.14278492811071203
E01002362,1,0.9999999997932605,6.9487603458220195e-09
E01002363,0,1.0,2.5465453594520885e-53
E01002364,1,1.0,1.0087389488530964e-43
E01002365,1,0.7368729107382869,0.8314286252001856
E01002366,0,0.9986051484658779,0.015242046412068269
E01002367,1,1.0,1.8801953081422113e-18
E01002368,1,1.0,1.5270773080415867e-27
E01002369,0,1.0,6.550587107483716e-92
E01002370,1,0.9999999063523476,2.3216071017784357e-06
E01002371,0,0.9999976512934565,4.7308576133338826e-05
E01002372,1,0.9950515215977366,0.0450208550257492
E01002373,1,0.9897509263034422,0.0824398506720602
E01002374,1,0.9831637130090007,0.1232881507516911
E01002375,1,1.0,6.886111714065541e-16
E01002377,1,0.9999871955149714,0.00022658403201954668
E01002379,0,0.9997393469510332,0.0034792200039542058
E01002380,1,1.0,5.640253864807672e-20
E01002382,1,1.0,1.566282553241421e-16
E01002383,1,1.0,2.961176005567277e-33
E01002384,1,1.0,3.329462654718131e-32
E01002385,1,1.0,1.0540394262787633e-26
E01002386,0,0.9999999534973096,1.1998066534065123e-06
E01002388,1,1.0,1.1203467025458526e-17
E01002390,1,1.0,7.136026303989198e-24
E01002392,1,0.9999999999999432,2.032930458894384e-12
E01002393,0,1.0,1.8506758027861594e-26
E01002396,0,0.9999999999994884,2.170892469820396e-11
E01002400,0,0.9999999999901661,3.7314641849151195e-10
E01002401,0,1.0,9.106415698715956e-22
E01002402,1,0.9997561732405895,0.003278098401964091
E01002403,1,0.9999999964600192,1.0448656627123423e-07
E01002404,1,0.9999999252515891,1.877386388006401e-06
E01002405,0,1.0,5.748886956978437e-51
E01002408,0,0.9999937367679226,0.00011729374995514019
E01002409,1,0.9999976229464494,4.783841106234237e-05
E01002410,0,0.9999999813739466,5.051535203408402e-07
E01002411,1,0.996090841463822,0.03689775655231825
E01002412,1,0.9999207586556204,0.0011938520753565973
E01002413,0,0.9983749466803372,0.01739915241994825
E01002414,0,0.5433185388818017,0.9945787837529145
E01002417,0,0.9957779474115435,0.039381131827528074
E01002419,1,1.0,4.985358023363877e-46
E01002421,1,1.0,1.9803639202730502e-26
E01002422,1,0.9999990702160405,1.997110450529457e-05
E01002423,0,0.9998384708466944,0.0022676264250592014
E01002424,0,0.9999459509688184,0.0008441392695878781
E01002425,1,0.9999999369392774,1.5993070453382452e-06
E01002426,0,0.9998873864777076,0.001639534202504907
E01002428,1,1.0,9.675170855439965e-31
E01002429,1,0.9999999999947136,2.056223660355795e-10
E01002431,1,1.0,1.1508015267881859e-59
E01002432,1,0.9999999999999432,1.6007472578788887e-12
E01002433,1,0.9999999992154471,2.486217556252048e-08
E01002436,1,1.0,5.781831801061478e-13
E01002437,1,1.0,5.035721004746998e-84
E01002439,1,1.0,1.6158123990216629e-46
E01002440,1,1.0,2.795574953669404e-23
E01002441,1,1.0,8.609831902170001e-14
E01002442,1,1.0,3.557022596645399e-47
E01002443,0,1.0,1.0478111823995159e-82
E01002444,0,1.0,-0.0
E01002445,0,1.0,2.99138264787116e-20
E01002446,0,0.9999999999668034,1.2032072661827892e-09
E01002447,0,1.0,1.3821601263796507e-71
E01002448,0,1.0,3.754992691011881e-22
E01002451,1,1.0,4.985168029637776e-27
E01002452,1,0.9996199992793048,0.004865579053028614
E01002453,1,1.0,6.513447651507989e-24
E01002455,0,0.997087853144916,0.02872627130322912
E01002456,0,1.0,4.1862739539198104e-17
E01002457,0,0.9995255341222153,0.005923118514210283
E01002458,1,1.0,1.0535581989284825e-19
E01002460,0,1.0,3.6804937932250447e-22
E01002461,1,1.0,2.4074189399841548e-20
E01002465,1,1.0,9.429100467589181e-27
E01002468,1,1.0,6.948712396269367e-26
E01002469,1,0.9999999999863576,5.125364322873805e-10
E01002470,1,0.9873595719358365,0.09782868562151327
E01002472,1,0.9999999961023605,1.1450237315765678e-07
E01002473,1,1.0,4.842246006279147e-50
E01002474,1,1.0,2.916303597136453e-20
E01002475,1,0.9999998896477739,2.7095965239237013e-06
E01002478,1,0.9991428060696821,0.009969308796396029
E01002479,1,1.0,2.662217721055185e-27
E01002481,1,1.0,8.080678368591193e-69
E01002482,1,1.0,6.656624003501979e-42
E01002483,1,0.9999999999881766,4.4656699524131805e-10
E01002485,1,0.9999931811659616,0.0001268625907671251
E01002486,1,1.0,2.816964660312315e-88
E01002487,1,1.0,5.1395823683786615e-23
E01002488,1,1.0,3.378155882913283e-14
E01002489,0,1.0,1.8830743211054783e-18
E01002490,0,0.9999999993931965,1.9453813051136464e-08
E01002492,1,0.9999999431137797,1.451169723172494e-06
E01002495,1,0.9996365979633137,0.00467646772472291
E01002496,0,0.9935065875567661,0.05652391052444134
E01002497,0,0.5918946323093681,0.9754949049317421
E01002499,1,0.9999999747335554,6.741308827465277e-07
E01002501,0,0.999999999986926,4.911051434264388e-10
E01002503,0,0.9999999999803322,7.286712789057904e-10
E01002505,0,1.0,2.0037854722623935e-21
E01002506,0,0.999999995100211,1.4232623277521297e-07
E01002508,0,0.9999999792103156,5.605369294737609e-07
E01002509,0,1.0,1.9347419262701872e-14
E01002511,0,1.0,5.308909075484879e-15
E01002512,1,1.0,2.9798280718987843e-18
